Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,117.5,117.55,115.58,116.49,6692,0
2017-11-17,15:40:00,116.48,116.5,116.02,116.36,3492,0
2017-11-17,15:45:00,116.19,117.36,116.18,116.28,2230,0
2017-11-17,15:50:00,117.19,117.1926,116.315,117.1251,1700,0
2017-11-17,15:55:00,117.32,117.36,117.12,117.18,1155,0
2017-11-17,16:00:00,117.12,117.1201,116.34,116.3975,3775,0
2017-11-17,16:05:00,116.415,116.415,116.15,116.15,630,0
2017-11-17,16:10:00,116.5,116.5,116.06,116.28,3000,0
2017-11-17,16:15:00,117.1859,117.1859,116.36,116.36,2324,0
2017-11-17,16:20:00,116.39,116.39,116.39,116.39,200,0
2017-11-17,16:25:00,116.57,116.72,116.51,116.61,1050,0
2017-11-17,16:30:00,116.7745,116.7745,116.6,116.754,2450,0
2017-11-17,16:35:00,116.85,116.85,116.25,116.25,3300,0
2017-11-17,16:40:00,116.16,116.399,115.91,116.16,4675,0
2017-11-17,16:45:00,116.3,116.4,116.19,116.37,13437,0
2017-11-17,16:50:00,116.4,116.4,116.3,116.4,500,0
2017-11-17,16:55:00,116.51,116.7,116.48,116.53,4900,0
2017-11-17,17:00:00,116.54,116.54,116.39,116.496,1300,0
2017-11-17,17:05:00,116.41,116.535,116.41,116.49,300,0
2017-11-17,17:10:00,116.52,116.52,116.39,116.4,2100,0
2017-11-17,17:15:00,116.45,116.45,116.12,116.12,3200,0
2017-11-17,17:20:00,116.22,116.22,115.93,115.93,2407,0
2017-11-17,17:25:00,115.84,116.08,115.76,116.08,3600,0
2017-11-17,17:30:00,115.91,116.45,115.85,116.45,5300,0
2017-11-17,17:35:00,116.65,116.95,116.54,116.63,2900,0
2017-11-17,17:40:00,116.68,116.855,116.2,116.31,3500,0
2017-11-17,17:45:00,116.2,116.505,116.2,116.34,1400,0
2017-11-17,17:50:00,116.32,116.495,116.31,116.495,1600,0
2017-11-17,17:55:00,116.495,117.23,116.36,117.23,4900,0
2017-11-17,18:00:00,117.06,117.1403,116.96,117.015,3664,0
2017-11-17,18:05:00,117.015,117.11,117,117.055,4458,0
2017-11-17,18:10:00,117.04,117.16,117,117.04,3905,0
2017-11-17,18:15:00,117.05,117.05,117.01,117.045,900,0
2017-11-17,18:20:00,117.045,117.05,116.86,116.86,4175,0
2017-11-17,18:25:00,116.95,116.95,116.84,116.95,1600,0
2017-11-17,18:30:00,117,117.31,116.92,117.31,4900,0
2017-11-17,18:35:00,117.43,117.58,117.43,117.58,1757,0
2017-11-17,18:40:00,117.585,117.625,116.975,117.09,13400,0
2017-11-17,18:45:00,117.2499,117.2499,116.94,117.135,2234,0
2017-11-17,18:50:00,117.135,117.14,117.04,117.05,1000,0
2017-11-17,18:55:00,117.13,117.13,117.05,117.05,1300,0
2017-11-17,19:00:00,117.115,117.115,117,117.055,1710,0
2017-11-17,19:05:00,117.055,117.055,116.88,117.005,1200,0
2017-11-17,19:10:00,117.005,117.005,116.36,116.8,4457,0
2017-11-17,19:15:00,116.91,117.32,116.65,116.65,5707,0
2017-11-17,19:20:00,116.91,116.92,116.79,116.89,1300,0
2017-11-17,19:25:00,116.93,117.018,116.91,116.97,950,0
2017-11-17,19:30:00,116.97,116.97,116.685,116.685,2200,0
2017-11-17,19:35:00,116.6871,116.6871,116.39,116.39,1500,0
2017-11-17,19:40:00,116.505,116.95,116.4,116.84,25384,0
2017-11-17,19:45:00,116.79,116.83,116.63,116.715,1050,0
2017-11-17,19:50:00,116.62,116.72,116.39,116.565,3500,0
2017-11-17,19:55:00,116.42,116.69,116.42,116.525,2300,0
2017-11-17,20:00:00,116.53,116.62,116.45,116.595,5300,0
2017-11-17,20:05:00,116.49,116.71,116.49,116.6606,2710,0
2017-11-17,20:10:00,116.59,116.77,116.59,116.76,8831,0
2017-11-17,20:15:00,116.74,116.875,116.54,116.71,3601,0
2017-11-17,20:20:00,116.33,116.56,116.31,116.535,5892,0
2017-11-17,20:25:00,116.39,116.47,116.27,116.38,1900,0
2017-11-17,20:30:00,116.3825,116.3825,116.047,116.047,1650,0
2017-11-17,20:35:00,116.04,116.04,115.87,115.87,1285,0
2017-11-17,20:40:00,115.84,116.09,115.84,115.89,1400,0
2017-11-17,20:45:00,115.88,115.94,115.83,115.86,6290,0
2017-11-17,20:50:00,115.86,116.205,115.85,116.205,4745,0
2017-11-17,20:55:00,116.19,116.66,116.19,116.66,3728,0
2017-11-17,21:00:00,116.41,116.43,115.91,116.09,2300,0
2017-11-17,21:05:00,116.145,116.16,115.9201,115.9201,700,0
2017-11-17,21:10:00,115.95,116.13,115.95,116.075,1100,0
2017-11-17,21:15:00,115.99,116.17,115.99,116.03,1100,0
2017-11-17,21:20:00,116.03,116.17,115.96,116.15,2100,0
2017-11-17,21:25:00,116.16,116.59,116.09,116.21,5300,0
2017-11-17,21:30:00,116.29,116.57,116.14,116.28,2100,0
2017-11-17,21:35:00,116.28,116.35,116.19,116.35,2000,0
2017-11-17,21:40:00,116.23,116.455,116.22,116.455,8098,0
2017-11-17,21:45:00,116.36,116.425,116.21,116.365,6099,0
2017-11-17,21:50:00,116.33,116.345,116.12,116.13,5712,0
2017-11-17,21:55:00,116.15,116.33,116.02,116.18,8871,0
2017-11-17,22:00:00,116.16,116.24,115.81,115.88,27142,0
2017-11-20,15:35:00,115.26,116.19,115.26,115.81,4167,0
2017-11-20,15:40:00,116.9,116.96,115.35,115.35,25350,0
2017-11-20,15:45:00,116.39,116.74,115.53,116.1622,800,0
2017-11-20,15:50:00,116.55,116.55,116.55,116.55,100,0
