Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-16,15:35:00,4.85,4.8568,4.82,4.8568,4183,0
2017-11-16,15:40:00,4.86,4.88,4.85,4.88,850,0
2017-11-16,15:45:00,4.88,4.88,4.88,4.88,100,0
2017-11-16,15:50:00,4.85,4.87,4.85,4.87,200,0
2017-11-16,15:55:00,4.88,4.88,4.88,4.88,100,0
2017-11-16,16:00:00,4.87,4.89,4.87,4.89,4900,0
2017-11-16,16:05:00,4.89,4.89,4.88,4.88,300,0
2017-11-16,16:10:00,4.9,4.9,4.88,4.89,1700,0
2017-11-16,16:20:00,4.9,4.99,4.9,4.99,13828,0
2017-11-16,16:25:00,4.995,5,4.995,5,900,0
2017-11-16,16:30:00,4.995,4.995,4.99,4.995,1500,0
2017-11-16,16:35:00,5,5,4.99,4.99,1000,0
2017-11-16,16:40:00,4.995,5,4.99,5,6800,0
2017-11-16,16:45:00,5,5,4.99,5,2600,0
2017-11-16,16:50:00,5,5,4.99,5,1900,0
2017-11-16,16:55:00,5,5,4.99,4.995,1200,0
2017-11-16,17:00:00,5,5.04,5,5.03,7070,0
2017-11-16,17:05:00,5.03,5.03,5.025,5.03,600,0
2017-11-16,17:10:00,5.03,5.04,5.02,5.02,4300,0
2017-11-16,17:15:00,5.04,5.04,5.03,5.03,700,0
2017-11-16,17:20:00,5.04,5.04,5.03,5.04,500,0
2017-11-16,17:25:00,5.03,5.03,5.03,5.03,800,0
2017-11-16,17:30:00,5.025,5.05,5.025,5.05,6032,0
2017-11-16,17:35:00,5.04,5.045,5.04,5.045,600,0
2017-11-16,17:40:00,5.045,5.06,5.045,5.06,2050,0
2017-11-16,17:45:00,5.06,5.06,5.05,5.0507,1100,0
2017-11-16,17:50:00,5.055,5.0601,5.055,5.0601,3900,0
2017-11-16,17:55:00,5.06,5.07,5.06,5.06,5800,0
2017-11-16,18:00:00,5.08,5.08,5.06,5.08,1800,0
2017-11-16,18:05:00,5.08,5.1,5.08,5.1,1400,0
2017-11-16,18:10:00,5.1,5.1,5.09,5.1,400,0
