Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-14,15:35:00,1.3,1.3,1.3,1.3,16223,0
2017-11-14,15:50:00,1.3,1.3,1.3,1.3,100,0
2017-11-14,15:55:00,1.305,1.325,1.305,1.325,10100,0
2017-11-14,16:10:00,1.325,1.325,1.3115,1.3115,778,0
2017-11-14,16:30:00,1.325,1.325,1.325,1.325,100,0
2017-11-14,16:35:00,1.3,1.3,1.3,1.3,1000,0
2017-11-14,16:40:00,1.3115,1.3115,1.3115,1.3115,500,0
2017-11-14,16:45:00,1.3267,1.3267,1.3267,1.3267,100,0
2017-11-14,16:50:00,1.3,1.3,1.3,1.3,100,0
2017-11-14,16:55:00,1.325,1.325,1.3,1.3,300,0
2017-11-14,17:00:00,1.35,1.35,1.35,1.35,1300,0
2017-11-14,17:05:00,1.3,1.35,1.3,1.3,4280,0
2017-11-14,17:10:00,1.3,1.325,1.3,1.325,300,0
2017-11-14,17:20:00,1.35,1.35,1.35,1.35,100,0
2017-11-14,17:25:00,1.325,1.325,1.325,1.325,100,0
2017-11-14,17:30:00,1.35,1.35,1.35,1.35,100,0
2017-11-14,17:35:00,1.325,1.325,1.325,1.325,100,0
2017-11-14,17:40:00,1.325,1.35,1.3,1.3,6400,0
2017-11-14,17:45:00,1.3,1.3,1.3,1.3,400,0
2017-11-14,17:50:00,1.3,1.35,1.3,1.325,6800,0
2017-11-14,17:55:00,1.3,1.3,1.3,1.3,500,0
2017-11-14,18:05:00,1.325,1.325,1.325,1.325,200,0
2017-11-14,18:20:00,1.3,1.35,1.3,1.325,20800,0
2017-11-14,18:25:00,1.325,1.325,1.325,1.325,200,0
2017-11-14,18:30:00,1.325,1.325,1.325,1.325,100,0
2017-11-14,18:40:00,1.325,1.325,1.325,1.325,1700,0
2017-11-14,18:50:00,1.325,1.325,1.325,1.325,100,0
2017-11-14,19:00:00,1.325,1.325,1.325,1.325,100,0
2017-11-14,19:05:00,1.325,1.325,1.325,1.325,200,0
2017-11-14,19:15:00,1.325,1.325,1.325,1.325,100,0
2017-11-14,19:20:00,1.35,1.35,1.35,1.35,1000,0
2017-11-14,19:30:00,1.325,1.325,1.325,1.325,5400,0
2017-11-14,19:35:00,1.325,1.325,1.325,1.325,100,0
2017-11-14,19:45:00,1.325,1.325,1.325,1.325,855,0
2017-11-14,20:00:00,1.3,1.305,1.3,1.305,329,0
2017-11-14,20:05:00,1.325,1.35,1.325,1.325,1568,0
2017-11-14,20:10:00,1.305,1.305,1.305,1.305,1000,0
2017-11-14,20:15:00,1.31,1.35,1.31,1.325,629,0
2017-11-14,20:20:00,1.305,1.305,1.305,1.305,210,0
2017-11-14,20:25:00,1.3,1.325,1.3,1.325,1800,0
2017-11-14,20:30:00,1.35,1.35,1.3115,1.3115,8056,0
2017-11-14,20:35:00,1.3115,1.325,1.3115,1.325,335,0
2017-11-14,20:45:00,1.325,1.325,1.325,1.325,3802,0
