Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,149.34,149.5,148.83,149.3,262205,0
2017-11-17,15:40:00,149.32,149.52,149.13,149.13,60571,0
2017-11-17,15:45:00,149.14,149.27,148.95,148.98,29576,0
2017-11-17,15:50:00,148.95,149.11,148.87,148.99,32574,0
2017-11-17,15:55:00,148.99,149.15,148.94,149.11,27609,0
2017-11-17,16:00:00,149.1,149.25,149.08,149.25,25661,0
2017-11-17,16:05:00,149.25,149.53,149.1,149.5175,52740,0
2017-11-17,16:10:00,149.53,149.58,149.43,149.57,67508,0
2017-11-17,16:15:00,149.59,149.59,149.52,149.59,42875,0
2017-11-17,16:20:00,149.58,149.83,149.575,149.82,57146,0
2017-11-17,16:25:00,149.81,149.97,149.74,149.96,94542,0
2017-11-17,16:30:00,149.95,150.06,149.86,149.995,150321,0
2017-11-17,16:35:00,150,150.05,149.85,149.92,74105,0
2017-11-17,16:40:00,149.93,150.01,149.89,149.92,42878,0
2017-11-17,16:45:00,149.92,150.15,149.91,150.1,75230,0
2017-11-17,16:50:00,150.12,150.12,149.94,149.9439,137942,0
2017-11-17,16:55:00,149.94,149.945,149.7748,149.83,41864,0
2017-11-17,17:00:00,149.8199,149.85,149.57,149.6184,34551,0
2017-11-17,17:05:00,149.629,149.7,149.48,149.5368,27917,0
2017-11-17,17:10:00,149.56,149.6,149.43,149.58,35947,0
2017-11-17,17:15:00,149.6,149.74,149.59,149.61,50140,0
2017-11-17,17:20:00,149.62,149.67,149.49,149.515,25533,0
2017-11-17,17:25:00,149.515,149.579,149.39,149.57,27994,0
2017-11-17,17:30:00,149.57,149.58,149.47,149.5158,22965,0
2017-11-17,17:35:00,149.49,149.5199,149.35,149.41,28143,0
2017-11-17,17:40:00,149.42,149.57,149.415,149.55,62812,0
2017-11-17,17:45:00,149.58,149.6,149.52,149.58,43767,0
2017-11-17,17:50:00,149.585,149.59,149.5,149.53,35164,0
2017-11-17,17:55:00,149.54,149.6,149.515,149.595,13423,0
2017-11-17,18:00:00,149.595,149.6,149.5,149.59,22930,0
2017-11-17,18:05:00,149.59,149.7,149.5001,149.62,63663,0
2017-11-17,18:10:00,149.62,149.67,149.59,149.6434,22322,0
2017-11-17,18:15:00,149.63,149.665,149.595,149.61,20919,0
2017-11-17,18:20:00,149.615,149.67,149.61,149.6374,32393,0
2017-11-17,18:25:00,149.63,149.655,149.59,149.61,35386,0
2017-11-17,18:30:00,149.59,149.68,149.59,149.63,21678,0
2017-11-17,18:35:00,149.6312,149.65,149.53,149.5628,31410,0
2017-11-17,18:40:00,149.5721,149.585,149.52,149.57,21221,0
2017-11-17,18:45:00,149.57,149.59,149.54,149.565,24381,0
2017-11-17,18:50:00,149.58,149.6,149.5,149.5245,28871,0
2017-11-17,18:55:00,149.535,149.575,149.5281,149.55,16434,0
2017-11-17,19:00:00,149.5395,149.55,149.49,149.505,20320,0
2017-11-17,19:05:00,149.51,149.52,149.33,149.38,26781,0
2017-11-17,19:10:00,149.37,149.38,149.28,149.2996,10699,0
2017-11-17,19:15:00,149.29,149.385,149.29,149.385,16941,0
2017-11-17,19:20:00,149.39,149.48,149.39,149.45,14235,0
2017-11-17,19:25:00,149.43,149.5338,149.4201,149.48,19089,0
2017-11-17,19:30:00,149.4744,149.51,149.47,149.49,9510,0
2017-11-17,19:35:00,149.495,149.54,149.48,149.49,23113,0
2017-11-17,19:40:00,149.5,149.5,149.4247,149.49,10316,0
2017-11-17,19:45:00,149.48,149.495,149.45,149.4613,12513,0
2017-11-17,19:50:00,149.4801,149.5,149.44,149.5,14981,0
2017-11-17,19:55:00,149.5,149.53,149.44,149.44,21026,0
2017-11-17,20:00:00,149.45,149.4535,149.41,149.42,14247,0
2017-11-17,20:05:00,149.41,149.46,149.41,149.445,9842,0
2017-11-17,20:10:00,149.435,149.44,149.37,149.435,25234,0
2017-11-17,20:15:00,149.43,149.45,149.42,149.4385,28233,0
2017-11-17,20:20:00,149.45,149.45,149.35,149.355,15424,0
2017-11-17,20:25:00,149.36,149.4,149.32,149.4,20537,0
2017-11-17,20:30:00,149.4,149.4,149.29,149.29,20291,0
2017-11-17,20:35:00,149.29,149.34,149.29,149.3205,27570,0
2017-11-17,20:40:00,149.3157,149.37,149.29,149.34,17249,0
2017-11-17,20:45:00,149.33,149.35,149.3,149.3,27184,0
2017-11-17,20:50:00,149.3,149.3,149.23,149.24,17059,0
2017-11-17,20:55:00,149.24,149.34,149.225,149.3,48130,0
2017-11-17,21:00:00,149.29,149.31,149.24,149.26,27176,0
2017-11-17,21:05:00,149.25,149.33,149.24,149.33,43208,0
2017-11-17,21:10:00,149.325,149.325,149.27,149.27,18738,0
2017-11-17,21:15:00,149.2738,149.3433,149.26,149.3001,33561,0
2017-11-17,21:20:00,149.3,149.3044,149.17,149.1746,30748,0
2017-11-17,21:25:00,149.17,149.2,149.1,149.1,26453,0
2017-11-17,21:30:00,149.11,149.135,149.04,149.1,33243,0
2017-11-17,21:35:00,149.1,149.17,149.08,149.16,38904,0
2017-11-17,21:40:00,149.17,149.27,149.16,149.21,64643,0
2017-11-17,21:45:00,149.2133,149.23,149.15,149.155,59320,0
2017-11-17,21:50:00,149.16,149.185,149.03,149.08,122440,0
2017-11-17,21:55:00,149.08,149.23,149.08,149.23,85473,0
2017-11-17,22:00:00,149.23,149.24,148.97,148.97,1149395,0
