Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,74.15,74.15,73.55,73.8,5718,0
2017-11-17,15:40:00,74.05,74.15,74.05,74.05,500,0
2017-11-17,15:45:00,73.9,74.2,73.9,74.2,2743,0
2017-11-17,15:50:00,74.1,74.15,74.05,74.125,1270,0
2017-11-17,15:55:00,74.2,74.3,74.2,74.2,300,0
2017-11-17,16:00:00,74.225,74.225,74.05,74.225,1200,0
2017-11-17,16:05:00,74.2,74.25,74.05,74.15,2841,0
2017-11-17,16:10:00,74.2,74.25,74.15,74.15,2957,0
2017-11-17,16:15:00,74.05,74.05,74.05,74.05,400,0
2017-11-17,16:20:00,73.95,73.95,73.8848,73.9172,1460,0
2017-11-17,16:25:00,73.95,73.95,73.9,73.9,2560,0
2017-11-17,16:30:00,73.9,73.9,73.9,73.9,1600,0
2017-11-17,16:35:00,73.9,73.9,73.8,73.8,1362,0
2017-11-17,16:40:00,73.8,73.85,73.8,73.85,200,0
2017-11-17,16:45:00,73.8,73.85,73.8,73.85,900,0
2017-11-17,16:50:00,73.95,73.95,73.9,73.9,300,0
2017-11-17,16:55:00,73.95,74,73.9,74,1488,0
2017-11-17,17:00:00,73.9,73.9,73.85,73.85,226,0
2017-11-17,17:05:00,73.8053,73.8053,73.79,73.8,600,0
2017-11-17,17:10:00,73.75,73.8,73.725,73.8,700,0
2017-11-17,17:15:00,73.75,73.75,73.7,73.75,1287,0
2017-11-17,17:20:00,73.75,73.8,73.725,73.725,500,0
2017-11-17,17:25:00,73.7,73.85,73.7,73.85,1300,0
2017-11-17,17:30:00,73.9,73.9,73.85,73.85,1088,0
2017-11-17,17:35:00,73.85,73.9,73.85,73.9,600,0
2017-11-17,17:40:00,73.85,73.9,73.85,73.85,390,0
2017-11-17,17:45:00,73.9,74.05,73.9,74.05,1500,0
2017-11-17,17:50:00,74.1,74.1,74.05,74.05,1094,0
2017-11-17,17:55:00,74.0943,74.15,74.0943,74.1,931,0
2017-11-17,18:00:00,74.15,74.2,74.1,74.1,1257,0
2017-11-17,18:05:00,74.15,74.2,74.1,74.2,1235,0
2017-11-17,18:10:00,74.2,74.25,74.15,74.2,1800,0
2017-11-17,18:15:00,74.15,74.15,74.05,74.1,900,0
2017-11-17,18:20:00,74.15,74.15,74.05,74.1,1100,0
2017-11-17,18:25:00,74.05,74.05,74,74,800,0
2017-11-17,18:30:00,73.95,73.95,73.95,73.95,100,0
2017-11-17,18:35:00,74,74,74,74,300,0
2017-11-17,18:40:00,74.1,74.1,74.1,74.1,690,0
2017-11-17,18:45:00,74.05,74.05,74.05,74.05,200,0
2017-11-17,18:50:00,74.07,74.07,74.05,74.05,701,0
2017-11-17,18:55:00,74,74,74,74,100,0
2017-11-17,19:00:00,74,74.1,74,74.05,800,0
2017-11-17,19:05:00,74.1,74.15,74.1,74.15,2871,0
2017-11-17,19:10:00,74.15,74.15,74.1,74.1,600,0
2017-11-17,19:15:00,74.1,74.1,74.05,74.095,540,0
2017-11-17,19:25:00,74,74,73.95,73.95,1200,0
2017-11-17,19:30:00,74,74.05,74,74.05,914,0
2017-11-17,19:40:00,73.95,73.95,73.9,73.9,1800,0
2017-11-17,19:45:00,73.9,73.9,73.9,73.9,200,0
2017-11-17,19:50:00,73.85,73.8656,73.85,73.85,548,0
2017-11-17,19:55:00,73.85,73.9,73.75,73.75,28269,0
2017-11-17,20:00:00,73.75,74,73.75,73.95,3760,0
2017-11-17,20:05:00,73.95,74.05,73.95,74.05,700,0
2017-11-17,20:10:00,74,74,73.925,73.95,800,0
2017-11-17,20:15:00,73.9,73.9,73.9,73.9,100,0
2017-11-17,20:20:00,73.95,73.95,73.95,73.95,100,0
2017-11-17,20:25:00,73.9,74,73.9,73.95,800,0
2017-11-17,20:30:00,73.9,74,73.85,74,2100,0
2017-11-17,20:45:00,73.9,73.95,73.9,73.95,1500,0
2017-11-17,20:50:00,74,74.025,74,74,1300,0
2017-11-17,20:55:00,74.05,74.0666,74,74.025,2527,0
2017-11-17,21:00:00,73.95,74,73.95,74,200,0
2017-11-17,21:10:00,74,74.1,74,74.1,2400,0
2017-11-17,21:15:00,74.1,74.1,73.95,73.95,900,0
2017-11-17,21:20:00,73.95,74,73.95,73.95,1670,0
2017-11-17,21:30:00,74,74.05,73.975,74.05,1600,0
2017-11-17,21:35:00,74.025,74.025,73.95,73.95,1400,0
2017-11-17,21:40:00,73.975,74.1,73.975,74.1,3041,0
2017-11-17,21:45:00,74.1,74.1,74.05,74.05,2525,0
2017-11-17,21:50:00,74,74.075,74,74.05,2486,0
2017-11-17,21:55:00,74.1,74.15,74.1,74.125,3560,0
2017-11-17,22:00:00,74.125,74.25,74.125,74.2,32888,0
2017-11-20,15:35:00,74.5,74.72,74.4716,74.675,2969,0
2017-11-20,15:40:00,74.65,74.8,74.65,74.8,2100,0
2017-11-20,15:45:00,74.7,74.9,74.7,74.9,1135,0
2017-11-20,15:50:00,74.65,74.845,74.5,74.75,4588,0
2017-11-20,15:55:00,74.7875,74.8,74.7,74.7,1669,0
2017-11-20,16:00:00,74.75,74.9,74.65,74.9,2900,0
2017-11-20,16:05:00,74.85,74.85,74.7,74.7,2200,0
2017-11-20,16:10:00,74.7,74.7439,74.7,74.7,2650,0
2017-11-20,16:15:00,74.7,74.7,74.45,74.45,2400,0
2017-11-20,16:20:00,74.45,74.65,74.45,74.65,5662,0
2017-11-20,16:25:00,74.5,74.65,74.5,74.65,6458,0
2017-11-20,16:30:00,74.55,74.645,74.55,74.5502,3737,0
2017-11-20,16:35:00,74.5,74.55,74.45,74.45,4000,0
2017-11-20,16:40:00,74.45,74.6,74.45,74.55,3700,0
2017-11-20,16:45:00,74.55,74.5879,74.45,74.545,1400,0
2017-11-20,16:50:00,74.55,74.55,74.45,74.5,6073,0
2017-11-20,16:55:00,74.5,74.65,74.5,74.65,2699,0
