Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-11-04,17:35:00,28.13,28.13,28.13,28.13,200,0
2015-11-04,17:45:00,28.13,28.13,28.13,28.13,200,0
2015-11-04,18:25:00,28.13,28.13,28.13,28.13,100,0
2015-11-04,18:30:00,28.13,28.13,28.13,28.13,100,0
2015-11-04,18:40:00,28.13,28.13,28.13,28.13,100,0
2015-11-04,18:45:00,28.13,28.13,28.13,28.13,600,0
2015-11-04,18:50:00,28.13,28.13,28.13,28.13,400,0
2015-11-04,18:55:00,28.14,28.14,28.13,28.13,300,0
2015-11-04,19:00:00,28.13,28.13,28.13,28.13,300,0
2015-11-04,19:35:00,28.13,28.13,28.13,28.13,100,0
2015-11-04,20:20:00,27.22,27.22,27.2,27.2,400,0
2015-11-06,16:45:00,26.01,26.01,26.01,26.01,100,0
2015-11-06,18:50:00,26.01,26.01,26.01,26.01,100,0
2015-11-09,17:50:00,26.01,26.01,26.01,26.01,150,0
2015-11-09,18:50:00,25.229,25.229,25.229,25.229,100,0
2015-11-09,21:45:00,25.2601,25.27,25.26,25.26,700,0
2015-11-10,15:50:00,25.01,25.01,25.01,25.01,200,0
2015-11-10,18:55:00,25.1151,25.1151,25.1151,25.1151,100,0
2015-11-10,19:55:00,25.2475,25.2639,25.2475,25.2639,200,0
2015-11-11,19:05:00,25.418,25.418,25.418,25.418,100,0
2015-11-12,18:55:00,25.403,25.403,25.403,25.403,100,0
2015-11-12,19:40:00,24.06,24.06,24.06,24.06,1000,0
2015-11-12,20:05:00,24.5,24.5,24.5,24.5,100,0
2015-11-12,21:25:00,24.6,24.6,24.6,24.6,100,0
2015-11-12,21:45:00,24.315,24.315,24.315,24.315,100,0
2015-11-12,21:55:00,24.46,24.46,24.46,24.46,100,0
2015-11-13,19:30:00,24.5,24.5,24.5,24.5,200,0
2015-11-13,21:25:00,24.5,24.5,24.5,24.5,300,0
2015-11-13,21:30:00,25,25,24.51,25,600,0
2015-11-13,21:35:00,24.51,24.51,24.5,24.5,400,0
2015-11-16,15:50:00,25.5,25.5,25.5,25.5,200,0
2015-11-17,21:25:00,25.01,25.01,25.01,25.01,173,0
2015-11-17,22:00:00,25.96,25.96,25.96,25.96,100,0
2015-11-19,17:30:00,25.1,25.1,25.1,25.1,200,0
2015-11-19,19:55:00,25.16,25.16,25,25,200,0
2015-11-19,20:25:00,25,25,25,25,200,0
2015-11-19,21:35:00,25.15,25.15,25.15,25.15,100,0
2015-11-19,21:55:00,25.05,25.05,25,25,400,0
2015-11-20,21:10:00,25,25,25,25,500,0
2015-11-23,17:40:00,25,25,25,25,500,0
2015-11-23,18:00:00,25,25,25,25,500,0
2015-11-23,19:05:00,25,25,25,25,1000,0
2015-11-23,19:10:00,25.5,25.5,25.5,25.5,200,0
2015-11-23,19:15:00,25.01,25.01,25.01,25.01,100,0
2015-11-23,21:05:00,25.01,25.01,25,25,668,0
2015-11-23,21:40:00,25,25,25,25,600,0
2015-11-24,16:30:00,25.604,25.604,25.604,25.604,182,0
2015-11-25,15:40:00,25.25,25.25,25.1535,25.1535,1300,0
2015-11-25,15:45:00,25.665,25.665,25.23,25.23,200,0
2015-11-25,15:50:00,25.94,25.94,25.94,25.94,200,0
2015-11-25,20:05:00,25.98,26,25.9686,26,1599,0
2015-11-25,21:05:00,26.456,26.456,26.456,26.456,100,0
2015-11-27,17:05:00,26,26,26,26,261,0
