Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-08,15:35:00,2.06,2.06,2.06,2.06,1036,0
2017-11-08,15:40:00,2.07,2.07,2.07,2.07,200,0
2017-11-08,15:50:00,2.0853,2.0853,2.0853,2.0853,110,0
2017-11-08,16:00:00,2.0612,2.0612,2.0612,2.0612,100,0
2017-11-08,16:05:00,2.0899,2.1025,2.07,2.07,6885,0
2017-11-08,16:15:00,2.06,2.06,2.06,2.06,842,0
2017-11-08,16:25:00,2.06,2.1088,2.06,2.1088,1700,0
2017-11-08,16:35:00,2.1071,2.15,2.0672,2.08,5000,0
2017-11-08,16:40:00,2.1164,2.1164,2.1164,2.1164,210,0
2017-11-08,17:00:00,2.07,2.07,2.07,2.07,100,0
2017-11-08,17:15:00,2.07,2.07,2.07,2.07,300,0
2017-11-08,17:30:00,2.0601,2.0601,2.0601,2.0601,110,0
2017-11-08,17:35:00,2.09,2.09,2.09,2.09,200,0
2017-11-08,17:55:00,2.0814,2.0814,2.07,2.07,1114,0
2017-11-08,18:10:00,2.09,2.09,2.0856,2.0856,1100,0
2017-11-08,18:15:00,2.07,2.07,2.07,2.07,100,0
2017-11-08,18:30:00,2.0895,2.0895,2.0895,2.0895,500,0
2017-11-08,18:35:00,2.1,2.1,2.08,2.08,221,0
2017-11-08,18:40:00,2.0814,2.0814,2.0814,2.0814,450,0
2017-11-08,18:50:00,2.07,2.07,2.07,2.07,100,0
2017-11-08,18:55:00,2.08,2.08,2.08,2.08,200,0
2017-11-08,19:00:00,2.0975,2.0975,2.0975,2.0975,500,0
2017-11-08,19:15:00,2.09,2.09,2.09,2.09,400,0
2017-11-08,19:40:00,2.08,2.08,2.08,2.08,303,0
2017-11-08,19:45:00,2.08,2.08,2.08,2.08,300,0
2017-11-08,19:50:00,2.09,2.11,2.0806,2.09,5179,0
2017-11-08,19:55:00,2.09,2.09,2.09,2.09,289,0
2017-11-08,20:05:00,2.08,2.08,2.08,2.08,100,0
2017-11-08,20:15:00,2.09,2.0965,2.08,2.08,3725,0
2017-11-08,20:20:00,2.08,2.08,2.08,2.08,104,0
2017-11-08,20:35:00,2.08,2.115,2.08,2.115,300,0
2017-11-08,20:40:00,2.1205,2.1205,2.1205,2.1205,120,0
2017-11-08,20:55:00,2.13,2.14,2.13,2.13,900,0
2017-11-08,21:05:00,2.1467,2.1467,2.13,2.13,2175,0
2017-11-08,21:15:00,2.1447,2.1447,2.13,2.13,400,0
2017-11-08,21:30:00,2.1,2.1,2.1,2.1,100,0
2017-11-08,21:50:00,2.1,2.1,2.1,2.1,100,0
2017-11-08,21:55:00,2.12,2.12,2.12,2.12,100,0
2017-11-08,22:00:00,2.1399,2.1399,2.11,2.11,651,0
2017-11-09,15:35:00,2.14,2.14,2.14,2.14,306,0
2017-11-09,15:45:00,2.1516,2.1516,2.1516,2.1516,173,0
2017-11-09,15:55:00,2.14,2.14,2.128,2.128,5800,0
2017-11-09,16:00:00,2.132,2.132,2.132,2.132,143,0
2017-11-09,16:25:00,2.1174,2.1174,2.1174,2.1174,150,0
2017-11-09,16:40:00,2.1348,2.15,2.1348,2.15,200,0
2017-11-09,16:45:00,2.12,2.12,2.12,2.12,100,0
2017-11-09,16:50:00,2.13,2.13,2.13,2.13,250,0
2017-11-09,17:00:00,2.1514,2.1514,2.14,2.14,1297,0
2017-11-09,17:25:00,2.15,2.15,2.15,2.15,400,0
2017-11-09,17:30:00,2.15,2.15,2.15,2.15,300,0
2017-11-09,17:45:00,2.11,2.11,2.11,2.11,100,0
2017-11-09,18:10:00,2.101,2.15,2.101,2.15,300,0
2017-11-09,18:20:00,2.105,2.105,2.105,2.105,100,0
2017-11-09,18:45:00,2.14,2.14,2.14,2.14,500,0
2017-11-09,18:50:00,2.14,2.15,2.11,2.1499,1600,0
2017-11-09,19:00:00,2.15,2.15,2.11,2.11,5300,0
2017-11-09,19:10:00,2.15,2.15,2.15,2.15,100,0
2017-11-09,19:20:00,2.12,2.15,2.12,2.12,400,0
2017-11-09,19:25:00,2.1233,2.1294,2.1233,2.1294,600,0
2017-11-09,19:30:00,2.15,2.15,2.15,2.15,100,0
2017-11-09,19:55:00,2.138,2.138,2.138,2.138,500,0
2017-11-09,20:00:00,2.15,2.15,2.12,2.12,300,0
2017-11-09,20:05:00,2.0942,2.0942,2.0942,2.0942,100,0
2017-11-09,20:20:00,2.15,2.15,2.15,2.15,100,0
2017-11-09,20:30:00,2.15,2.15,2.15,2.15,1100,0
2017-11-09,20:45:00,2.15,2.15,2.14,2.14,200,0
2017-11-09,20:55:00,2.1434,2.1434,2.1434,2.1434,200,0
2017-11-09,21:00:00,2.13,2.13,2.08,2.08,9600,0
2017-11-09,21:15:00,2.1,2.1,2.1,2.1,2100,0
2017-11-09,21:20:00,2.09,2.09,2.08,2.08,200,0
2017-11-09,21:40:00,2.1399,2.1399,2.1399,2.1399,1000,0
2017-11-09,21:45:00,2.09,2.09,2.09,2.09,200,0
2017-11-09,21:55:00,2.117,2.12,2.09,2.09,500,0
2017-11-09,22:00:00,2.11,2.11,2.08,2.08,1027,0
2017-11-10,15:35:00,2.08,2.1647,2.08,2.1216,3666,0
2017-11-10,15:40:00,2.111,2.1216,2.1,2.1216,15730,0
2017-11-10,15:45:00,2.1242,2.1242,2.1242,2.1242,1245,0
2017-11-10,15:50:00,2.1268,2.1304,2.1268,2.1304,5750,0
2017-11-10,15:55:00,2.1,2.17,2.1,2.17,1000,0
2017-11-10,16:10:00,2.155,2.155,2.155,2.155,600,0
2017-11-10,16:15:00,2.1302,2.1302,2.1302,2.1302,100,0
2017-11-10,16:20:00,2.13,2.13,2.13,2.13,200,0
2017-11-10,16:35:00,2.11,2.1599,2.11,2.1599,4360,0
2017-11-10,16:40:00,2.14,2.14,2.14,2.14,100,0
2017-11-10,16:45:00,2.14,2.14,2.1274,2.14,400,0
2017-11-10,16:50:00,2.14,2.14,2.14,2.14,900,0
2017-11-10,17:20:00,2.13,2.13,2.13,2.13,100,0
2017-11-10,17:25:00,2.1334,2.1334,2.1334,2.1334,100,0
2017-11-10,17:30:00,2.13,2.14,2.13,2.14,500,0
2017-11-10,17:35:00,2.14,2.14,2.14,2.14,150,0
