Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,11.25,11.445,11.25,11.4,21602,0
2017-11-17,15:40:00,11.4,11.4,11.395,11.4,10591,0
2017-11-17,15:45:00,11.4,11.4,11.35,11.4,700,0
2017-11-17,15:50:00,11.4,11.4,11.375,11.4,1900,0
2017-11-17,15:55:00,11.4,11.45,11.4,11.4,10195,0
2017-11-17,16:05:00,11.425,11.425,11.3666,11.4,20270,0
2017-11-17,16:15:00,11.4,11.4,11.4,11.4,2600,0
2017-11-17,16:20:00,11.375,11.375,11.375,11.375,300,0
2017-11-17,16:25:00,11.35,11.375,11.35,11.375,600,0
2017-11-17,16:30:00,11.375,11.4,11.375,11.4,200,0
2017-11-17,16:35:00,11.4,11.4,11.37,11.375,800,0
2017-11-17,16:45:00,11.375,11.375,11.375,11.375,700,0
2017-11-17,16:50:00,11.375,11.4,11.375,11.4,500,0
2017-11-17,16:55:00,11.375,11.375,11.35,11.35,1800,0
2017-11-17,17:00:00,11.4,11.4,11.375,11.375,500,0
2017-11-17,17:05:00,11.4,11.4,11.3,11.3,7798,0
2017-11-17,17:10:00,11.3,11.3,11.2,11.25,15628,0
2017-11-17,17:15:00,11.25,11.25,11.225,11.25,6830,0
2017-11-17,17:20:00,11.25,11.275,11.25,11.25,3300,0
2017-11-17,17:25:00,11.25,11.3,11.225,11.25,6181,0
2017-11-17,17:30:00,11.225,11.25,11.225,11.225,880,0
2017-11-17,17:35:00,11.25,11.25,11.25,11.25,2955,0
2017-11-17,17:40:00,11.275,11.3,11.275,11.3,500,0
2017-11-17,17:45:00,11.25,11.29,11.25,11.25,2524,0
2017-11-17,17:50:00,11.25,11.29,11.25,11.25,1868,0
2017-11-17,17:55:00,11.25,11.275,11.25,11.25,6575,0
2017-11-17,18:00:00,11.3,11.325,11.3,11.3,6774,0
2017-11-17,18:05:00,11.3,11.333,11.3,11.333,2032,0
2017-11-17,18:10:00,11.3235,11.35,11.3,11.35,500,0
2017-11-17,18:15:00,11.325,11.35,11.3,11.3,700,0
2017-11-17,18:20:00,11.3,11.35,11.3,11.3,700,0
2017-11-17,18:25:00,11.3,11.375,11.3,11.375,10937,0
2017-11-17,18:30:00,11.375,11.45,11.375,11.425,10623,0
2017-11-17,18:35:00,11.425,11.45,11.35,11.375,16209,0
2017-11-17,18:40:00,11.35,11.35,11.35,11.35,3270,0
2017-11-17,18:45:00,11.35,11.375,11.35,11.375,2100,0
2017-11-17,18:50:00,11.375,11.375,11.35,11.375,2900,0
2017-11-17,18:55:00,11.375,11.375,11.35,11.375,1210,0
2017-11-17,19:00:00,11.35,11.44,11.35,11.375,11444,0
2017-11-17,19:05:00,11.4,11.4,11.375,11.3941,5139,0
2017-11-17,19:10:00,11.4,11.4,11.35,11.375,2197,0
2017-11-17,19:15:00,11.375,11.4,11.35,11.35,700,0
2017-11-17,19:20:00,11.375,11.4,11.35,11.35,1700,0
2017-11-17,19:25:00,11.375,11.4,11.35,11.35,2000,0
2017-11-17,19:30:00,11.35,11.4,11.35,11.4,1200,0
2017-11-17,19:35:00,11.375,11.375,11.35,11.375,900,0
2017-11-17,19:40:00,11.35,11.4,11.35,11.4,1400,0
2017-11-17,19:45:00,11.35,11.4,11.35,11.35,1300,0
2017-11-17,19:50:00,11.375,11.375,11.35,11.35,2910,0
2017-11-17,19:55:00,11.35,11.375,11.325,11.375,8472,0
2017-11-17,20:00:00,11.375,11.4,11.375,11.375,1604,0
2017-11-17,20:05:00,11.3747,11.4,11.35,11.35,2836,0
2017-11-17,20:10:00,11.35,11.375,11.35,11.35,2044,0
2017-11-17,20:15:00,11.35,11.375,11.325,11.375,13997,0
2017-11-17,20:20:00,11.35,11.35,11.35,11.35,900,0
2017-11-17,20:25:00,11.375,11.375,11.35,11.35,800,0
2017-11-17,20:30:00,11.375,11.38,11.375,11.375,1340,0
2017-11-17,20:35:00,11.4,11.4,11.35,11.35,800,0
2017-11-17,20:40:00,11.4,11.4,11.35,11.35,10271,0
2017-11-17,20:45:00,11.375,11.3762,11.325,11.3689,11907,0
2017-11-17,20:50:00,11.3689,11.375,11.3689,11.375,757,0
2017-11-17,20:55:00,11.35,11.375,11.35,11.375,1000,0
2017-11-17,21:00:00,11.35,11.375,11.35,11.375,1986,0
2017-11-17,21:05:00,11.375,11.375,11.35,11.375,1800,0
2017-11-17,21:10:00,11.35,11.425,11.35,11.425,42131,0
2017-11-17,21:15:00,11.425,11.45,11.4,11.425,30546,0
2017-11-17,21:20:00,11.4,11.425,11.35,11.35,20765,0
2017-11-17,21:25:00,11.35,11.375,11.35,11.375,2000,0
2017-11-17,21:30:00,11.375,11.375,11.35,11.375,1298,0
2017-11-17,21:35:00,11.375,11.375,11.35,11.35,1099,0
2017-11-17,21:40:00,11.375,11.375,11.35,11.35,2100,0
2017-11-17,21:45:00,11.375,11.45,11.35,11.425,21767,0
2017-11-17,21:50:00,11.425,11.45,11.4,11.4,8102,0
2017-11-17,21:55:00,11.4,11.425,11.35,11.375,34927,0
2017-11-17,22:00:00,11.375,11.4,11.35,11.4,64372,0
2017-11-20,15:35:00,11.6,11.7,11.5831,11.6747,61754,0
2017-11-20,15:40:00,11.6767,11.745,11.6,11.675,15691,0
2017-11-20,15:45:00,11.675,11.8,11.675,11.75,18006,0
2017-11-20,15:50:00,11.725,11.75,11.65,11.65,21134,0
2017-11-20,15:55:00,11.6767,11.7,11.66,11.7,4098,0
2017-11-20,16:00:00,11.695,11.7,11.675,11.7,5572,0
2017-11-20,16:05:00,11.7267,11.75,11.7001,11.725,5895,0
2017-11-20,16:10:00,11.725,11.775,11.7,11.7308,56741,0
2017-11-20,16:15:00,11.7427,11.7427,11.65,11.65,13328,0
2017-11-20,16:20:00,11.675,11.83,11.6621,11.795,22822,0
2017-11-20,16:25:00,11.8,11.8,11.75,11.775,3499,0
2017-11-20,16:30:00,11.775,11.8,11.675,11.675,25714,0
2017-11-20,16:35:00,11.675,11.7,11.65,11.65,10249,0
2017-11-20,16:40:00,11.7,11.7,11.65,11.675,10960,0
2017-11-20,16:45:00,11.7,11.7,11.65,11.65,4141,0
2017-11-20,16:50:00,11.675,11.7,11.675,11.6795,3819,0
2017-11-20,16:55:00,11.65,11.7,11.625,11.625,26512,0
2017-11-20,17:00:00,11.6291,11.6291,11.575,11.625,18477,0
2017-11-20,17:05:00,11.625,11.64,11.6,11.625,4846,0
2017-11-20,17:10:00,11.6,11.64,11.56,11.5776,5207,0
2017-11-20,17:15:00,11.575,11.64,11.575,11.6,25793,0
2017-11-20,17:20:00,11.6,11.625,11.55,11.575,5509,0
2017-11-20,17:25:00,11.6,11.65,11.55,11.55,19649,0
2017-11-20,17:30:00,11.5938,11.5938,11.55,11.575,2266,0
2017-11-20,17:35:00,11.575,11.575,11.525,11.5391,11782,0
2017-11-20,17:40:00,11.55,11.55,11.5,11.525,21490,0
2017-11-20,17:45:00,11.5,11.55,11.5,11.51,20866,0
2017-11-20,17:50:00,11.525,11.55,11.5,11.5,9810,0
2017-11-20,17:55:00,11.525,11.55,11.5,11.55,1530,0
2017-11-20,18:00:00,11.525,11.55,11.5,11.5,1084,0
2017-11-20,18:05:00,11.5315,11.55,11.45,11.475,7211,0
2017-11-20,18:10:00,11.475,11.531,11.4675,11.5,21733,0
2017-11-20,18:15:00,11.525,11.55,11.525,11.531,8065,0
2017-11-20,18:20:00,11.533,11.533,11.5,11.525,2470,0
2017-11-20,18:25:00,11.525,11.5322,11.468,11.5,22855,0
2017-11-20,18:30:00,11.475,11.5,11.475,11.5,2500,0
2017-11-20,18:35:00,11.475,11.5,11.45,11.45,600,0
2017-11-20,18:40:00,11.4771,11.4771,11.45,11.4762,9390,0
2017-11-20,18:45:00,11.45,11.481,11.45,11.471,1900,0
2017-11-20,18:50:00,11.45,11.475,11.45,11.475,3420,0
2017-11-20,18:55:00,11.45,11.5,11.45,11.495,550,0
2017-11-20,19:00:00,11.45,11.48,11.45,11.45,1475,0
