Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-05,20:25:00,100.01,100.01,100.01,100.01,5000,0
2016-12-06,17:45:00,100.01,100.01,100.01,100.01,4500,0
2016-12-07,20:05:00,100.01,100.01,100.01,100.01,6000,0
2016-12-08,18:05:00,100.01,100.01,100.01,100.01,5000,0
2016-12-09,20:15:00,100.01,100.01,100.01,100.01,4500,0
2016-12-12,21:20:00,100.01,100.01,100.01,100.01,3500,0
2016-12-13,18:15:00,100.01,100.01,100.01,100.01,5000,0
2016-12-14,19:45:00,100.01,100.01,100.01,100.01,4500,0
2016-12-15,16:25:00,100.01,100.01,100.01,100.01,6500,0
2016-12-16,18:40:00,100.01,100.01,100.01,100.01,5500,0
2016-12-19,19:55:00,100.01,100.01,100.01,100.01,5300,0
2016-12-20,17:50:00,100.01,100.01,100.01,100.01,3700,0
2016-12-21,16:50:00,100.01,100.01,100.01,100.01,6500,0
2016-12-22,17:50:00,100.01,100.01,100.01,100.01,4600,0
2016-12-23,15:50:00,100.01,100.01,100.01,100.01,4900,0
2017-01-03,20:35:00,100.01,100.01,100.01,100.01,6400,0
2017-01-04,19:20:00,100.01,100.01,100.01,100.01,5900,0
2017-01-05,17:50:00,100.01,100.01,100.01,100.01,5700,0
2017-01-06,19:40:00,100.01,100.01,100.01,100.01,7000,0
2017-01-09,20:40:00,100.01,100.01,100.01,100.01,5200,0
2017-01-11,16:15:00,100.01,100.01,100.01,100.01,5900,0
2017-01-12,18:45:00,100.01,100.01,100.01,100.01,6500,0
2017-01-13,17:15:00,100.01,100.01,100.01,100.01,7400,0
2017-01-17,21:30:00,100.01,100.01,100.01,100.01,7100,0
2017-01-18,18:00:00,100.01,100.01,100.01,100.01,5900,0
2017-01-19,19:25:00,100.01,100.01,100.01,100.01,6500,0
2017-01-20,15:40:00,100.01,100.01,100.01,100.01,5500,0
2017-01-23,20:05:00,100.01,100.01,100.01,100.01,5600,0
2017-01-24,17:05:00,100.01,100.01,100.01,100.01,5100,0
2017-01-25,17:50:00,100.01,100.01,100.01,100.01,4800,0
2017-01-26,20:10:00,100.01,100.01,100.01,100.01,6000,0
2017-01-27,17:35:00,100.01,100.01,100.01,100.01,3500,0
2017-01-30,19:40:00,100.01,100.01,100.01,100.01,6200,0
2017-01-31,21:20:00,100.01,100.01,100.01,100.01,5100,0
2017-02-01,18:40:00,100.01,100.01,100.01,100.01,3400,0
2017-02-03,18:35:00,100.01,100.01,100.01,100.01,5800,0
2017-02-06,18:05:00,100.01,100.01,100.01,100.01,5300,0
2017-02-07,19:25:00,100.01,100.01,100.01,100.01,4800,0
2017-02-08,17:05:00,100.01,100.01,100.01,100.01,5600,0
2017-02-09,18:35:00,100.01,100.01,100.01,100.01,5000,0
2017-02-10,19:05:00,100.01,100.01,100.01,100.01,4300,0
2017-02-13,19:50:00,100.01,100.01,100.01,100.01,4900,0
2017-02-14,19:50:00,100.01,100.01,100.01,100.01,6100,0
2017-02-15,17:15:00,100.01,100.01,100.01,100.01,5300,0
2017-02-16,21:55:00,100.01,100.01,100.01,100.01,4500,0
2017-02-17,19:25:00,100.01,100.01,100.01,100.01,4200,0
2017-03-08,21:55:00,99.99,99.99,99.99,99.99,1000,0
2017-08-02,20:10:00,100.06,100.06,100.06,100.06,205,0
2017-09-27,17:15:00,99.99,99.99,99.99,99.99,355,0
