Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-09,18:30:00,25.139,25.139,25.139,25.139,102,0
2016-05-09,21:10:00,25.169,25.179,25.169,25.179,11254,0
2016-05-09,21:15:00,25.179,25.179,25.179,25.179,5525,0
2016-05-09,21:35:00,25.179,25.179,25.179,25.179,7264,0
2016-05-09,21:40:00,25.17,25.17,25.17,25.17,754,0
2016-05-10,18:15:00,25.325,25.325,25.325,25.325,788,0
2016-05-10,20:15:00,25.315,25.315,25.315,25.315,102,0
2016-05-10,20:25:00,25.325,25.325,25.325,25.325,473,0
2016-05-10,21:10:00,25.345,25.345,25.345,25.345,3069,0
2016-05-10,22:00:00,25.403,25.403,25.403,25.403,205,0
2016-05-11,21:50:00,25.227,25.227,25.227,25.227,102,0
2016-05-12,21:50:00,25.354,25.354,25.354,25.354,205,0
2016-05-13,18:15:00,25.197,25.197,25.197,25.197,1990,0
2016-05-13,18:20:00,25.187,25.187,25.187,25.187,2046,0
2016-05-13,18:25:00,25.197,25.197,25.195,25.197,2046,0
2016-05-13,18:45:00,25.187,25.187,25.187,25.187,2046,0
2016-05-13,21:50:00,25.051,25.051,25.021,25.051,3597,0
2016-05-13,21:55:00,25.061,25.061,25.021,25.06,2136,0
2016-05-13,22:00:00,25.051,25.061,25.051,25.061,1825,0
2016-05-16,16:15:00,25.08,25.08,25.08,25.08,102,0
2016-05-16,16:25:00,25.08,25.08,25.08,25.08,205,0
2016-05-16,16:35:00,25.071,25.071,25.071,25.071,205,0
2016-05-16,16:50:00,25.1,25.1,25.1,25.1,205,0
2016-05-16,17:00:00,25.12,25.12,25.12,25.12,205,0
2016-05-16,17:10:00,25.129,25.129,25.129,25.129,205,0
2016-05-16,17:20:00,25.12,25.12,25.12,25.12,3990,0
2016-05-16,20:25:00,25.227,25.227,25.227,25.227,716,0
2016-05-16,21:50:00,25.169,25.169,25.169,25.169,1585,0
2016-05-16,21:55:00,25.169,25.169,25.169,25.169,1981,0
2016-05-16,22:00:00,25.169,25.169,25.169,25.169,1981,0
2016-05-17,16:30:00,24.891,24.895,24.875,24.875,410,0
2016-05-19,15:45:00,24.533,24.533,24.533,24.533,410,0
2016-05-23,15:35:00,24.885,24.885,24.885,24.885,102,0
2016-05-23,22:00:00,24.569,24.569,24.569,24.569,402,0
2016-05-24,20:10:00,24.777,24.777,24.776,24.776,1221,0
2016-05-24,20:40:00,24.767,24.767,24.767,24.767,307,0
2016-05-27,20:00:00,24.914,24.914,24.914,24.914,102,0
2016-05-27,20:25:00,24.904,24.904,24.904,24.904,102,0
2016-05-27,20:30:00,24.934,24.934,24.934,24.934,802,0
2016-05-27,20:35:00,24.944,24.944,24.944,24.944,512,0
2016-05-27,20:40:00,24.938,24.938,24.938,24.938,722,0
2016-05-27,20:50:00,24.924,24.924,24.924,24.924,201,0
2016-05-27,21:00:00,24.934,24.934,24.934,24.934,801,0
2016-05-27,21:30:00,24.957,24.957,24.957,24.957,2006,0
2016-05-27,21:35:00,24.971,24.972,24.961,24.961,6370,0
2016-05-31,20:55:00,24.782,24.782,24.782,24.782,102,0
2016-06-01,21:50:00,25.041,25.041,25.041,25.041,504,0
2016-06-02,20:50:00,25.071,25.071,25.071,25.071,727,0
2016-06-02,20:55:00,25.071,25.071,25.071,25.071,102,0
2016-06-03,19:40:00,25.187,25.187,25.187,25.187,512,0
2016-06-06,16:40:00,25.256,25.256,25.256,25.256,102,0
2016-06-06,18:10:00,25.187,25.187,25.187,25.187,102,0
2016-06-06,21:50:00,25.217,25.217,25.207,25.207,410,0
2016-06-06,21:55:00,25.207,25.207,25.197,25.197,2796,0
2016-06-07,15:45:00,25.217,25.217,25.217,25.217,102,0
2016-06-07,16:10:00,25.276,25.276,25.276,25.276,102,0
2016-06-07,16:40:00,25.266,25.266,25.266,25.266,102,0
2016-06-07,17:10:00,25.285,25.285,25.285,25.285,102,0
2016-06-07,17:50:00,25.305,25.305,25.305,25.305,102,0
2016-06-07,18:35:00,25.315,25.315,25.315,25.315,102,0
2016-06-07,19:30:00,25.295,25.295,25.295,25.295,102,0
2016-06-07,19:50:00,25.276,25.276,25.276,25.276,312,0
2016-06-07,20:55:00,25.246,25.246,25.246,25.246,102,0
2016-06-07,21:20:00,25.227,25.227,25.227,25.227,102,0
2016-06-07,21:40:00,25.217,25.217,25.217,25.217,102,0
2016-06-07,21:55:00,25.187,25.187,25.187,25.187,102,0
2016-06-08,20:15:00,25.328,25.328,25.328,25.328,205,0
2016-06-09,21:35:00,25.461,25.461,25.461,25.461,3948,0
2016-06-10,19:20:00,25.452,25.452,25.452,25.452,1769,0
2016-06-10,19:25:00,25.426,25.426,25.426,25.426,102,0
2016-06-10,19:50:00,25.403,25.403,25.387,25.403,4706,0
2016-06-10,21:20:00,25.393,25.393,25.393,25.393,15746,0
2016-06-16,15:45:00,25.227,25.227,25.227,25.227,410,0
2016-06-16,16:00:00,25.159,25.159,25.159,25.159,102,0
2016-06-16,16:55:00,25.197,25.197,25.197,25.197,102,0
2016-06-16,17:20:00,25.217,25.217,25.217,25.217,205,0
2016-06-16,17:45:00,25.236,25.236,25.236,25.236,102,0
2016-06-16,18:00:00,25.236,25.236,25.236,25.236,205,0
2016-06-16,18:30:00,25.305,25.305,25.305,25.305,205,0
2016-06-16,18:55:00,25.325,25.325,25.325,25.325,205,0
2016-06-16,19:20:00,25.305,25.305,25.305,25.305,205,0
2016-06-16,19:35:00,25.266,25.266,25.266,25.266,102,0
2016-06-16,20:05:00,25.276,25.276,25.276,25.276,205,0
2016-06-16,20:30:00,25.325,25.325,25.325,25.325,205,0
2016-06-16,20:55:00,25.354,25.354,25.354,25.354,205,0
2016-06-16,21:05:00,25.335,25.335,25.335,25.335,745,0
2016-06-17,21:50:00,25.266,25.266,25.266,25.266,142,0
2016-06-21,19:20:00,25.413,25.418,25.413,25.418,10026,0
2016-06-22,15:35:00,27.689,27.689,27.689,27.689,102,0
2016-06-24,15:35:00,25.514,25.514,25.141,25.151,306,0
2016-06-24,18:00:00,25.362,25.362,25.362,25.362,102,0
2016-06-24,21:15:00,25.151,25.151,25.141,25.141,306,0
2016-06-27,15:35:00,25.053,25.053,25.053,25.053,102,0
2016-06-27,15:50:00,25.102,25.102,25.102,25.102,102,0
2016-06-27,18:40:00,25.057,25.057,25.057,25.057,204,0
2016-06-28,19:40:00,25.063,25.063,25.063,25.063,102,0
2016-06-29,20:35:00,25.416,25.416,25.416,25.416,118,0
2016-06-30,16:00:00,25.622,25.622,25.622,25.622,102,0
2016-06-30,20:55:00,26.074,26.074,26.074,26.074,102,0
2016-07-05,21:50:00,26.205,26.205,26.205,26.205,205,0
2016-07-08,15:35:00,26.535,26.535,26.535,26.535,509,0
2016-07-12,15:35:00,26.456,26.456,26.456,26.456,102,0
2016-07-12,18:00:00,26.373,26.373,26.373,26.373,509,0
2016-07-14,21:50:00,26.456,26.456,26.437,26.437,6608,0
2016-07-18,15:45:00,26.358,26.358,26.358,26.358,204,0
2016-07-18,18:40:00,26.398,26.398,26.398,26.398,102,0
2016-07-26,16:30:00,26.358,26.358,26.358,26.358,102,0
2016-08-04,15:50:00,26.014,26.014,26.014,26.014,509,0
2016-08-04,16:00:00,26.014,26.014,26.014,26.014,509,0
2016-08-05,20:10:00,25.983,25.983,25.983,25.983,254,0
2016-08-08,21:00:00,25.946,25.946,25.936,25.936,672,0
2016-08-09,21:35:00,26.015,26.044,26.015,26.044,642,0
2016-08-12,17:00:00,26.142,26.142,26.142,26.142,238,0
2016-08-17,18:15:00,25.828,25.828,25.828,25.828,204,0
2016-08-18,18:40:00,26.084,26.084,26.084,26.084,574822,0
2016-08-18,21:20:00,26.084,26.084,26.084,26.084,102,0
2016-08-18,21:35:00,26.094,26.094,26.094,26.094,102,0
2016-08-22,15:35:00,26.32,26.32,26.32,26.32,1019,0
2016-08-22,22:00:00,26.094,26.094,26.094,26.094,3056,0
2016-08-25,16:05:00,25.926,25.926,25.926,25.926,5806,0
2016-09-02,15:35:00,25.848,25.848,25.848,25.848,102,0
2016-09-14,20:30:00,24.88,24.88,24.866,24.866,458,0
2016-09-14,21:20:00,24.857,24.879,24.857,24.857,2648,0
2016-09-15,16:05:00,24.905,24.905,24.905,24.905,102,0
2016-09-15,16:10:00,24.905,24.905,24.905,24.905,102,0
2016-09-15,21:50:00,25.073,25.09,25.073,25.073,2648,0
2016-09-15,22:00:00,25.053,25.071,25.053,25.053,2495,0
2016-09-16,21:30:00,24.965,24.98,24.965,24.98,4686,0
2016-09-16,21:35:00,24.965,25.002,24.965,25.002,5773,0
2016-09-16,21:40:00,24.984,25.009,24.974,24.984,11907,0
2016-09-16,22:00:00,24.965,24.965,24.965,24.965,1223,0
2016-09-19,19:15:00,25.004,25.025,25.004,25.004,7003,0
2016-09-21,16:05:00,25.059,25.059,25.059,25.059,800,0
2016-09-21,21:15:00,25.066,25.082,25.066,25.082,204,0
2016-09-21,21:20:00,25.092,25.102,25.092,25.092,306,0
2016-09-21,21:25:00,25.092,25.092,25.092,25.092,276,0
2016-09-21,21:40:00,25.171,25.171,25.171,25.171,268,0
2016-09-22,15:35:00,25.406,25.406,25.318,25.318,499,0
2016-09-22,15:45:00,25.347,25.347,25.347,25.347,102,0
2016-09-23,18:45:00,25.308,25.308,25.302,25.302,1273,0
2016-09-26,16:05:00,25.113,25.113,25.113,25.113,351,0
2016-09-27,18:30:00,25.2,25.2,25.2,25.2,570,0
2016-09-28,18:55:00,25.082,25.082,25.082,25.082,311,0
2016-09-29,21:35:00,25.042,25.042,25.042,25.042,744,0
2016-09-29,21:50:00,25.033,25.033,25.033,25.033,586,0
2016-09-30,16:15:00,25.173,25.173,25.173,25.173,199,0
2016-09-30,16:45:00,25.163,25.163,25.163,25.163,397,0
2016-10-05,20:35:00,24.857,24.876,24.857,24.876,739,0
2016-10-05,20:40:00,24.847,24.847,24.847,24.847,102,0
2016-10-10,22:00:00,24.866,24.866,24.866,24.866,102,0
2016-10-13,16:55:00,24.788,24.788,24.788,24.788,102,0
2016-10-19,21:40:00,24.729,24.739,24.729,24.739,472,0
2016-10-26,15:35:00,25.013,25.013,25.013,25.013,102,0
2016-10-26,21:40:00,24.955,24.955,24.955,24.955,102,0
2016-11-02,17:55:00,24.866,24.866,24.866,24.866,118,0
2016-11-03,15:50:00,24.749,24.749,24.749,24.749,204,0
2016-11-08,22:00:00,24.935,24.935,24.935,24.935,204,0
2016-11-09,20:35:00,24.621,24.621,24.621,24.621,102,0
2016-11-14,16:20:00,23.993,23.993,23.993,23.993,204,0
2016-11-15,16:35:00,24.091,24.091,24.091,24.091,102,0
2016-11-15,18:05:00,24.149,24.149,24.149,24.149,102,0
2016-11-15,21:55:00,24.189,24.189,24.184,24.184,204,0
2016-11-17,16:40:00,24.091,24.091,24.091,24.091,102,0
2016-11-17,17:05:00,24.059,24.061,24.051,24.051,408,0
2016-11-17,17:30:00,24.051,24.051,24.051,24.051,102,0
2016-11-17,18:05:00,24.091,24.091,24.091,24.091,306,0
2016-11-17,18:10:00,24.101,24.101,24.101,24.101,322,0
2016-11-17,21:05:00,24.139,24.139,24.139,24.139,102,0
2016-11-17,21:15:00,24.169,24.179,24.169,24.179,207,0
2016-11-18,17:05:00,24.13,24.149,24.13,24.149,2037,0
2016-11-18,17:30:00,24.13,24.13,24.13,24.13,110,0
2016-11-18,19:45:00,24.081,24.081,24.081,24.081,102,0
2016-11-18,20:40:00,24.101,24.101,24.101,24.101,509,0
2016-11-18,21:10:00,24.101,24.101,24.101,24.101,2343,0
2016-11-18,21:20:00,24.111,24.111,24.111,24.111,111,0
2016-11-21,21:55:00,24.229,24.229,24.229,24.229,102,0
2016-11-22,20:45:00,24.365,24.365,24.365,24.365,102,0
2016-11-22,21:10:00,24.365,24.365,24.365,24.365,204,0
2016-11-22,21:35:00,24.385,24.385,24.385,24.385,204,0
2016-11-25,18:40:00,24.408,24.408,24.408,24.408,540,0
2016-11-25,18:45:00,24.405,24.408,24.405,24.405,6929,0
2016-11-28,16:35:00,24.395,24.395,24.395,24.395,102,0
2016-11-28,17:05:00,24.365,24.365,24.365,24.365,102,0
2016-11-29,21:35:00,24.493,24.493,24.493,24.493,102,0
2016-12-01,19:30:00,23.869,23.869,23.869,23.869,408,0
2016-12-01,20:25:00,23.875,23.88,23.875,23.875,2648,0
2016-12-01,21:50:00,23.89,23.89,23.885,23.885,1216,0
2016-12-02,21:55:00,24.061,24.061,24.061,24.061,102,0
2016-12-05,22:00:00,24.121,24.121,24.121,24.121,102,0
2016-12-06,21:50:00,24.179,24.179,24.179,24.179,204,0
2016-12-06,22:00:00,24.209,24.229,24.209,24.229,611,0
2016-12-07,21:30:00,24.543,24.543,24.543,24.543,2037,0
2016-12-08,21:00:00,24.533,24.562,24.533,24.562,7233,0
2016-12-08,21:10:00,24.611,24.641,24.611,24.641,611,0
2016-12-09,15:35:00,25.524,25.799,25.524,25.799,374,0
2016-12-09,15:50:00,24.707,24.707,24.707,24.707,204,0
2016-12-09,16:10:00,24.729,24.729,24.729,24.729,102,0
2016-12-09,16:55:00,24.719,24.719,24.719,24.719,102,0
2016-12-12,21:55:00,24.925,24.925,24.925,24.925,3056,0
2016-12-13,15:35:00,24.896,24.896,24.896,24.896,102,0
2016-12-14,18:45:00,25.033,25.033,25.033,25.033,306,0
2016-12-14,21:00:00,24.848,24.848,24.848,24.848,102,0
2016-12-23,17:35:00,25.04,25.04,25.04,25.04,101,0
2016-12-30,20:50:00,24.862,24.862,24.862,24.862,404,0
2016-12-30,21:55:00,24.822,24.822,24.822,24.822,3534,0
2017-01-05,17:15:00,25.01,25.01,25.002,25.002,868,0
2017-01-09,17:25:00,24.862,24.862,24.862,24.862,101,0
2017-01-09,21:55:00,24.862,24.862,24.862,24.862,4937,0
2017-01-13,15:45:00,24.772,24.772,24.772,24.772,101,0
2017-01-13,21:20:00,24.772,24.772,24.772,24.772,404,0
2017-01-17,15:45:00,24.931,24.931,24.921,24.921,1312,0
2017-01-24,16:50:00,25.17,25.17,25.17,25.17,404,0
2017-01-24,19:45:00,25.268,25.268,25.268,25.268,101,0
2017-01-25,15:35:00,25.694,25.694,25.694,25.694,3937,0
2017-01-25,15:40:00,25.367,25.377,25.367,25.377,2322,0
2017-01-25,22:00:00,25.297,25.297,25.297,25.297,101,0
2017-01-26,15:35:00,25.337,25.347,25.337,25.347,3130,0
2017-01-27,15:35:00,25.208,25.208,25.169,25.169,2423,0
2017-01-27,15:45:00,25.119,25.119,25.119,25.119,403,0
2017-01-27,21:35:00,25.02,25.026,25.02,25.026,396,0
2017-01-27,21:50:00,25.01,25.01,25.01,25.01,303,0
2017-01-27,22:00:00,25.03,25.03,25.03,25.03,101,0
2017-01-30,15:50:00,24.961,24.961,24.961,24.961,101,0
2017-01-31,21:25:00,25.089,25.089,25.089,25.089,101,0
2017-02-01,16:45:00,24.961,24.961,24.961,24.961,101,0
2017-02-02,15:35:00,25.079,25.079,25.07,25.07,2019,0
2017-02-02,15:40:00,25.07,25.07,25.07,25.07,404,0
2017-02-02,15:45:00,25.079,25.079,25.079,25.079,404,0
2017-02-03,21:10:00,25.323,25.337,25.323,25.337,354,0
2017-02-03,22:00:00,25.268,25.268,25.268,25.268,2,0
2017-02-06,15:40:00,25.258,25.258,25.238,25.238,404,0
2017-02-13,15:50:00,25.565,25.565,25.565,25.565,909,0
2017-02-13,16:05:00,25.555,25.555,25.555,25.555,101,0
2017-02-13,19:10:00,25.584,25.584,25.584,25.584,101,0
2017-02-15,22:00:00,25.832,25.832,25.81,25.81,479,0
2017-02-17,20:20:00,25.892,25.892,25.892,25.892,101,0
