Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,63.15,63.65,62.7,62.9,5357,0
2017-11-17,15:40:00,62.75,63.05,62.75,62.95,300,0
2017-11-17,15:45:00,63,63.1,62.95,63,700,0
2017-11-17,15:50:00,62.95,63,62.65,62.85,3600,0
2017-11-17,15:55:00,62.95,62.95,62.85,62.95,500,0
2017-11-17,16:00:00,62.85,62.85,62.85,62.85,1100,0
2017-11-17,16:05:00,62.8,63.1,62.8,63.05,24227,0
2017-11-17,16:10:00,63,63,62.9,62.95,700,0
2017-11-17,16:15:00,63,63,62.85,62.95,2093,0
2017-11-17,16:20:00,62.9,62.95,62.9,62.9,500,0
2017-11-17,16:25:00,62.9,63.1,62.9,63.1,3000,0
2017-11-17,16:30:00,63,63.1,63,63.05,3000,0
2017-11-17,16:35:00,63,63.1,62.95,63.1,4725,0
2017-11-17,16:40:00,63,63.2,62.95,63.2,2449,0
2017-11-17,16:45:00,63.15,63.15,63.05,63.05,600,0
2017-11-17,16:50:00,63.075,63.2,63.075,63.15,2500,0
2017-11-17,16:55:00,63.15,63.3,63.15,63.275,4055,0
2017-11-17,17:00:00,63.25,63.3,63.225,63.275,9100,0
2017-11-17,17:05:00,63.275,63.5,63.275,63.4,7999,0
2017-11-17,17:10:00,63.55,63.55,63.4,63.4,4000,0
2017-11-17,17:15:00,63.35,63.6,63.3,63.3,7450,0
2017-11-17,17:20:00,63.35,63.35,63.2,63.2,1202,0
2017-11-17,17:25:00,63.2,63.25,63.2,63.2,1300,0
2017-11-17,17:30:00,63.2,63.25,63.2,63.2,1600,0
2017-11-17,17:35:00,63.2,63.35,63.2,63.3,4061,0
2017-11-17,17:40:00,63.3,63.3,63.2,63.25,2240,0
2017-11-17,17:45:00,63.25,63.3,63.25,63.3,1500,0
2017-11-17,17:50:00,63.35,63.35,63.3,63.3,1200,0
2017-11-17,17:55:00,63.3,63.3,63.3,63.3,100,0
2017-11-17,18:00:00,63.3,63.3,63.25,63.25,2470,0
2017-11-17,18:05:00,63.25,63.3,63.25,63.25,1040,0
2017-11-17,18:10:00,63.25,63.3,63.25,63.25,1100,0
2017-11-17,18:15:00,63.25,63.25,63.25,63.25,400,0
2017-11-17,18:20:00,63.25,63.3,63.25,63.3,2113,0
2017-11-17,18:25:00,63.3,63.3,63.3,63.3,100,0
2017-11-17,18:30:00,63.35,63.35,63.25,63.25,1050,0
2017-11-17,18:35:00,63.25,63.275,63.25,63.275,698,0
2017-11-17,18:40:00,63.25,63.3,63.25,63.3,700,0
2017-11-17,18:45:00,63.275,63.3,63.275,63.3,2000,0
2017-11-17,18:50:00,63.325,63.325,63.325,63.325,100,0
2017-11-17,18:55:00,63.3,63.325,63.3,63.3,1200,0
2017-11-17,19:00:00,63.3,63.3,63.3,63.3,2200,0
2017-11-17,19:05:00,63.3,63.3,63.25,63.3,3300,0
2017-11-17,19:10:00,63.3,63.3,63.275,63.275,2518,0
2017-11-17,19:15:00,63.25,63.25,63.2,63.2,2150,0
2017-11-17,19:20:00,63.2,63.25,63.2,63.2,2100,0
2017-11-17,19:25:00,63.2,63.25,63.2,63.2,500,0
2017-11-17,19:30:00,63.15,63.2,63.1,63.2,4035,0
2017-11-17,19:35:00,63.2,63.25,63.15,63.15,1150,0
2017-11-17,19:40:00,63.15,63.175,63.15,63.175,500,0
2017-11-17,19:45:00,63.15,63.15,63.1,63.125,800,0
