Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,89.44,90.02,89.44,89.8,5480,0
2017-11-17,15:40:00,89.94,90.08,89.85,89.87,2101,0
2017-11-17,15:45:00,89.86,90.01,89.67,89.99,3814,0
2017-11-17,15:50:00,90.05,90.31,89.95,90.25,7161,0
2017-11-17,15:55:00,90.3,90.3,90.19,90.22,6590,0
2017-11-17,16:00:00,90.2093,90.45,90.2093,90.44,4169,0
2017-11-17,16:05:00,90.47,90.56,90.37,90.53,3017,0
2017-11-17,16:10:00,90.54,91,90.54,91,9239,0
2017-11-17,16:15:00,91.02,91.06,90.83,90.88,7695,0
2017-11-17,16:20:00,90.79,91.025,90.72,91.025,1900,0
2017-11-17,16:25:00,90.99,91.04,90.86,90.87,3750,0
2017-11-17,16:30:00,90.925,91.07,90.925,91.04,4152,0
2017-11-17,16:35:00,91.005,91.22,90.98,91.01,12800,0
2017-11-17,16:40:00,91.04,91.18,91.01,91.15,2500,0
2017-11-17,16:45:00,91.22,91.38,91.22,91.38,10191,0
2017-11-17,16:50:00,91.335,91.51,91.335,91.51,2537,0
2017-11-17,16:55:00,91.44,91.69,91.37,91.49,14061,0
2017-11-17,17:00:00,91.5,91.57,91.47,91.47,3878,0
2017-11-17,17:05:00,91.49,91.71,91.49,91.6,9996,0
2017-11-17,17:10:00,91.6,91.77,91.545,91.75,5700,0
2017-11-17,17:15:00,91.74,91.75,91.58,91.615,11300,0
2017-11-17,17:20:00,91.58,91.72,91.58,91.65,3250,0
2017-11-17,17:25:00,91.67,91.67,91.53,91.54,5200,0
2017-11-17,17:30:00,91.52,91.52,91.34,91.42,5700,0
2017-11-17,17:35:00,91.39,91.42,91.33,91.38,4000,0
2017-11-17,17:40:00,91.415,91.415,91.15,91.15,3009,0
2017-11-17,17:45:00,91.05,91.15,91.05,91.15,2500,0
2017-11-17,17:50:00,91.13,91.19,91.07,91.19,4400,0
2017-11-17,17:55:00,91.19,91.19,91.12,91.14,7900,0
2017-11-17,18:00:00,91.12,91.14,91.06,91.08,7344,0
2017-11-17,18:05:00,91.12,91.16,91.12,91.13,1001,0
2017-11-17,18:10:00,91.125,91.125,91.08,91.11,1900,0
2017-11-17,18:15:00,91.125,91.13,91.07,91.095,3002,0
2017-11-17,18:20:00,91.0975,91.14,91.0975,91.14,1000,0
2017-11-17,18:25:00,91.1,91.14,91.07,91.14,5754,0
2017-11-17,18:30:00,91.13,91.2,91.09,91.16,4357,0
2017-11-17,18:35:00,91.11,91.19,91.1,91.16,7722,0
2017-11-17,18:40:00,91.16,91.19,91.13,91.19,1241,0
2017-11-17,18:45:00,91.16,91.17,91.13,91.17,600,0
2017-11-17,18:50:00,91.125,91.13,91.06,91.09,11884,0
2017-11-17,18:55:00,91.08,91.08,91.01,91.05,6500,0
2017-11-17,19:00:00,91.05,91.05,90.99,91.02,10800,0
2017-11-17,19:05:00,91.02,91.03,90.99,91.02,600,0
2017-11-17,19:10:00,91.05,91.05,90.98,91,10686,0
2017-11-17,19:15:00,90.98,91,90.94,90.94,4729,0
2017-11-17,19:20:00,90.94,90.99,90.9,90.99,2605,0
2017-11-17,19:25:00,91.04,91.06,91,91.06,2498,0
2017-11-17,19:30:00,91.035,91.09,91.01,91.09,1499,0
2017-11-17,19:35:00,91.04,91.06,90.98,90.98,500,0
2017-11-17,19:40:00,91.02,91.06,91.02,91.06,2200,0
2017-11-17,19:45:00,91.03,91.08,91.03,91.08,1200,0
2017-11-17,19:50:00,91.05,91.1,91.04,91.08,2331,0
2017-11-17,19:55:00,91.08,91.08,91.01,91.025,2000,0
2017-11-17,20:00:00,91.04,91.07,91.02,91.05,5202,0
2017-11-17,20:05:00,91.04,91.1,91.04,91.055,3304,0
2017-11-17,20:10:00,91.02,91.155,91.02,91.06,9364,0
2017-11-17,20:15:00,91.06,91.08,91.02,91.045,2400,0
2017-11-17,20:20:00,91.07,91.08,91.02,91.07,5757,0
2017-11-17,20:25:00,91.055,91.12,91.045,91.12,4754,0
2017-11-17,20:30:00,91.07,91.14,91.07,91.11,3700,0
2017-11-17,20:35:00,91.125,91.2,91.1,91.195,3971,0
2017-11-17,20:40:00,91.18,91.2,91.05,91.12,9573,0
2017-11-17,20:45:00,91.12,91.12,91.06,91.0869,2777,0
2017-11-17,20:50:00,91.12,91.12,91.08,91.1,1300,0
2017-11-17,20:55:00,91.085,91.17,91.085,91.17,2529,0
2017-11-17,21:00:00,91.17,91.18,91.11,91.17,3873,0
2017-11-17,21:05:00,91.15,91.19,91.145,91.19,3596,0
2017-11-17,21:10:00,91.19,91.22,91.075,91.125,9124,0
2017-11-17,21:15:00,91.14,91.2,91.12,91.2,6064,0
2017-11-17,21:20:00,91.2,91.2,91.125,91.19,5072,0
2017-11-17,21:25:00,91.19,91.25,91.18,91.19,7873,0
2017-11-17,21:30:00,91.23,91.25,91.2,91.22,2522,0
2017-11-17,21:35:00,91.22,91.26,91.16,91.19,12947,0
2017-11-17,21:40:00,91.19,91.25,91.19,91.25,8485,0
2017-11-17,21:45:00,91.25,91.26,91.17,91.17,20596,0
2017-11-17,21:50:00,91.17,91.34,91.17,91.34,14214,0
2017-11-17,21:55:00,91.32,91.32,91.21,91.24,37638,0
2017-11-17,22:00:00,91.24,91.24,91.07,91.09,58016,0
2017-11-20,15:35:00,90.98,90.98,90.66,90.66,3526,0
2017-11-20,15:40:00,90.7,90.9,90.7,90.71,1400,0
