Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-06,15:35:00,16.264,16.264,16.264,16.264,307,0
2017-03-06,16:40:00,16.215,16.215,16.215,16.215,102,0
2017-03-06,17:50:00,16.312,16.312,16.312,16.312,102,0
2017-03-06,19:20:00,16.215,16.215,16.215,16.215,205,0
2017-03-06,20:45:00,16.361,16.361,16.361,16.361,102,0
2017-03-06,20:50:00,16.41,16.41,16.41,16.41,221,0
2017-03-07,16:55:00,16.606,16.606,16.606,16.606,512,0
2017-03-07,17:30:00,16.485,16.485,16.459,16.459,819,0
2017-03-07,19:15:00,16.505,16.557,16.505,16.557,3788,0
2017-03-07,19:30:00,16.557,16.557,16.557,16.557,102,0
2017-03-08,16:10:00,16.508,16.557,16.508,16.557,307,0
2017-03-08,16:50:00,16.606,16.606,16.606,16.606,307,0
2017-03-08,17:00:00,16.508,16.508,16.508,16.508,410,0
2017-03-08,18:00:00,16.361,16.361,16.264,16.264,819,0
2017-03-08,19:10:00,16.166,16.166,16.166,16.166,205,0
2017-03-08,19:15:00,16.264,16.264,16.264,16.264,307,0
2017-03-08,20:10:00,16.166,16.264,16.166,16.264,205,0
2017-03-08,21:10:00,16.166,16.166,16.166,16.166,172,0
2017-03-08,21:20:00,16.264,16.264,16.264,16.264,102,0
2017-03-08,22:00:00,16.166,16.166,16.166,16.166,102,0
2017-03-09,17:45:00,16.264,16.264,16.264,16.264,427,0
2017-03-09,17:55:00,16.264,16.264,16.264,16.264,1024,0
2017-03-09,19:35:00,16.167,16.167,16.167,16.167,1131,0
2017-03-09,20:25:00,16.166,16.166,16.166,16.166,1341,0
2017-03-09,21:20:00,16.166,16.166,16.166,16.166,102,0
2017-03-09,22:00:00,16.264,16.264,16.264,16.264,102,0
2017-03-10,15:35:00,16.264,16.264,16.264,16.264,102,0
2017-03-10,16:35:00,16.215,16.215,16.215,16.215,102,0
2017-03-10,16:50:00,16.215,16.215,16.215,16.215,102,0
2017-03-10,16:55:00,16.264,16.264,16.264,16.264,120,0
2017-03-10,17:15:00,16.264,16.264,16.264,16.264,102,0
2017-03-10,17:35:00,16.264,16.264,16.264,16.264,164,0
2017-03-10,17:50:00,16.264,16.264,16.264,16.264,307,0
2017-03-10,18:50:00,16.215,16.215,16.215,16.215,102,0
2017-03-10,18:55:00,16.229,16.229,16.229,16.229,232,0
2017-03-10,19:35:00,16.215,16.264,16.215,16.264,307,0
2017-03-10,19:55:00,16.21,16.21,16.21,16.21,1413,0
2017-03-10,20:35:00,16.215,16.215,16.215,16.215,511,0
2017-03-10,22:00:00,16.24,16.24,16.215,16.215,344,0
2017-03-13,15:10:00,16.41,16.41,16.41,16.41,102,0
2017-03-13,15:20:00,16.361,16.361,16.361,16.361,102,0
2017-03-13,18:45:00,16.354,16.361,16.354,16.361,592,0
