Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-10,15:35:00,34.811,34.811,34.811,34.811,735,0
2017-11-10,15:40:00,34.841,34.89,34.811,34.89,1205,0
2017-11-10,15:50:00,34.89,34.89,34.848,34.848,301,0
2017-11-10,15:55:00,34.781,34.781,34.781,34.781,100,0
2017-11-10,16:00:00,34.781,34.801,34.751,34.751,904,0
2017-11-10,16:05:00,34.741,34.741,34.412,34.651,10247,0
2017-11-10,16:10:00,34.615,34.651,34.532,34.532,506,0
2017-11-10,16:15:00,34.532,34.532,34.532,34.532,402,0
2017-11-10,16:25:00,34.622,34.622,34.577,34.577,703,0
2017-11-10,16:30:00,34.602,34.731,34.602,34.731,904,0
2017-11-10,16:35:00,34.711,34.711,34.582,34.582,201,0
2017-11-10,16:45:00,34.771,34.771,34.771,34.771,502,0
2017-11-10,16:55:00,34.771,34.771,34.771,34.771,100,0
2017-11-10,17:10:00,34.831,34.85,34.811,34.85,1005,0
2017-11-10,17:15:00,34.796,34.9,34.796,34.9,1151,0
2017-11-10,17:20:00,34.88,35.04,34.87,35.04,2311,0
2017-11-10,17:25:00,35.02,35.02,34.99,34.99,301,0
2017-11-10,17:50:00,34.94,35,34.94,35,201,0
2017-11-10,17:55:00,35,35,35,35,100,0
2017-11-10,18:10:00,35.01,35.024,35.01,35.024,201,0
2017-11-10,18:20:00,35.01,35.01,34.94,34.96,1427,0
2017-11-10,18:25:00,34.98,35.039,34.97,35.039,3315,0
2017-11-10,18:30:00,34.99,34.99,34.93,34.95,1910,0
2017-11-10,18:40:00,34.89,34.89,34.89,34.89,100,0
2017-11-10,18:50:00,34.906,34.939,34.906,34.939,947,0
2017-11-10,18:55:00,34.9,34.94,34.89,34.94,1105,0
2017-11-10,19:00:00,34.9,34.9,34.87,34.87,301,0
2017-11-10,19:15:00,34.811,34.93,34.811,34.93,1266,0
2017-11-10,19:20:00,34.88,34.88,34.842,34.842,347,0
2017-11-10,19:25:00,34.811,34.831,34.761,34.831,785,0
2017-11-10,19:30:00,34.88,34.92,34.841,34.92,1541,0
2017-11-10,19:35:00,34.91,34.92,34.91,34.92,502,0
2017-11-10,19:45:00,34.94,34.94,34.88,34.88,1105,0
2017-11-10,19:55:00,34.88,34.92,34.87,34.92,1909,0
2017-11-10,20:00:00,34.92,34.92,34.87,34.87,502,0
2017-11-10,20:05:00,34.86,34.87,34.86,34.87,201,0
2017-11-10,20:10:00,34.93,34.93,34.821,34.87,1306,0
2017-11-10,20:15:00,34.88,34.92,34.88,34.92,1205,0
2017-11-10,20:20:00,34.96,34.96,34.96,34.96,100,0
2017-11-10,20:25:00,34.97,35.02,34.97,34.98,1205,0
2017-11-10,20:35:00,34.98,35.04,34.98,35.04,904,0
2017-11-10,20:40:00,35.089,35.109,35.079,35.079,804,0
