Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,44.56,44.7,44.56,44.7,2791,0
2017-11-17,15:40:00,44.7,44.7,44.47,44.49,1500,0
2017-11-17,15:45:00,44.53,44.54,44.48,44.54,1800,0
2017-11-17,15:50:00,44.53,44.57,44.465,44.465,2591,0
2017-11-17,15:55:00,44.49,44.53,44.45,44.45,5208,0
2017-11-17,16:00:00,44.45,44.45,44.36,44.41,1784,0
2017-11-17,16:05:00,44.4,44.42,44.34,44.4,3000,0
2017-11-17,16:10:00,44.41,44.44,44.41,44.44,1200,0
2017-11-17,16:15:00,44.41,44.425,44.29,44.29,1200,0
2017-11-17,16:20:00,44.34,44.35,44.32,44.35,605,0
2017-11-17,16:25:00,44.3,44.39,44.3,44.39,1039,0
2017-11-17,16:30:00,44.38,44.38,44.37,44.38,900,0
2017-11-17,16:35:00,44.34,44.35,44.31,44.35,900,0
2017-11-17,16:40:00,44.325,44.34,44.3,44.3,725,0
2017-11-17,16:45:00,44.32,44.36,44.31,44.34,2437,0
2017-11-17,16:50:00,44.34,44.35,44.29,44.32,3407,0
2017-11-17,16:55:00,44.29,44.345,44.28,44.345,1449,0
2017-11-17,17:00:00,44.34,44.36,44.3,44.32,1600,0
2017-11-17,17:05:00,44.33,44.33,44.3,44.3205,1000,0
2017-11-17,17:10:00,44.34,44.34,44.29,44.29,2200,0
2017-11-17,17:15:00,44.28,44.28,44.22,44.27,2200,0
2017-11-17,17:20:00,44.31,44.31,44.3,44.3,1600,0
2017-11-17,17:25:00,44.3,44.36,44.3,44.36,1833,0
2017-11-17,17:30:00,44.39,44.41,44.39,44.3929,1503,0
2017-11-17,17:35:00,44.42,44.46,44.39,44.435,6125,0
2017-11-17,17:40:00,44.41,44.41,44.4,44.4,569,0
2017-11-17,17:45:00,44.4,44.47,44.39,44.39,8818,0
2017-11-17,17:50:00,44.41,44.475,44.4,44.46,13260,0
2017-11-17,17:55:00,44.475,44.51,44.37,44.43,11799,0
