Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-09,15:35:00,24.51,24.51,24.501,24.51,2180,0
2017-06-09,15:40:00,24.54,24.54,24.376,24.376,1038,0
2017-06-09,15:50:00,24.51,24.51,24.51,24.51,208,0
2017-06-09,16:10:00,24.52,24.52,24.51,24.513,520,0
2017-06-09,17:25:00,24.402,24.402,24.402,24.402,250,0
2017-06-09,17:30:00,24.471,24.471,24.471,24.471,124,0
2017-06-09,18:30:00,24.486,24.486,24.486,24.486,208,0
2017-06-09,18:40:00,24.462,24.462,24.462,24.462,208,0
2017-06-09,18:55:00,24.496,24.496,24.496,24.496,416,0
2017-06-09,22:00:00,24.462,24.482,24.462,24.482,787,0
2017-06-12,18:20:00,24.501,24.501,24.501,24.501,571,0
2017-06-12,21:25:00,24.482,24.482,24.482,24.482,208,0
2017-06-12,22:00:00,24.486,24.486,24.486,24.486,520,0
2017-06-13,18:25:00,24.568,24.637,24.568,24.637,830,0
2017-06-13,18:30:00,24.507,24.507,24.507,24.507,1038,0
2017-06-13,18:35:00,24.645,24.645,24.645,24.645,706,0
2017-06-13,20:50:00,24.588,24.588,24.588,24.588,459,0
2017-06-13,21:40:00,24.615,24.615,24.615,24.615,208,0
2017-06-13,21:55:00,24.636,24.636,24.588,24.588,3115,0
2017-06-14,17:10:00,24.452,24.462,24.452,24.462,239,0
2017-06-14,17:30:00,24.525,24.525,24.525,24.525,114,0
2017-06-14,18:20:00,24.569,24.569,24.569,24.569,506,0
2017-06-14,19:10:00,24.57,24.57,24.568,24.57,416,0
2017-06-14,20:25:00,24.588,24.588,24.585,24.585,2129,0
2017-06-14,21:00:00,24.558,24.558,24.558,24.558,520,0
2017-06-14,21:05:00,24.588,24.588,24.588,24.588,134,0
2017-06-14,21:25:00,24.568,24.568,24.568,24.568,131,0
2017-06-14,21:40:00,24.57,24.57,24.57,24.57,156,0
2017-06-14,21:45:00,24.573,24.588,24.562,24.562,602,0
2017-06-14,22:00:00,24.558,24.558,24.558,24.558,114,0
2017-06-15,15:35:00,24.558,24.558,24.558,24.558,241,0
2017-06-15,16:20:00,24.523,24.523,24.523,24.523,104,0
2017-06-15,19:10:00,24.526,24.526,24.526,24.526,1038,0
2017-06-15,20:30:00,24.54,24.54,24.54,24.54,460,0
2017-06-15,21:05:00,24.549,24.558,24.549,24.558,2803,0
2017-06-16,15:35:00,24.848,24.848,24.848,24.848,208,0
2017-06-16,17:25:00,24.569,24.569,24.568,24.568,1038,0
2017-06-16,17:35:00,24.819,24.848,24.819,24.838,844,0
2017-06-16,20:20:00,24.626,24.626,24.626,24.626,104,0
2017-06-16,21:05:00,24.673,24.673,24.673,24.673,168,0
2017-06-16,21:35:00,24.742,24.751,24.742,24.751,517,0
2017-06-16,21:45:00,24.751,24.751,24.751,24.751,581,0
2017-06-19,15:35:00,24.756,24.756,24.751,24.751,1869,0
2017-06-19,15:50:00,24.751,24.751,24.751,24.751,311,0
2017-06-19,16:35:00,24.655,24.655,24.655,24.655,623,0
2017-06-19,17:10:00,24.655,24.655,24.655,24.655,257,0
2017-06-19,18:05:00,24.645,24.645,24.645,24.645,121,0
2017-06-19,19:50:00,24.645,24.645,24.645,24.645,1631,0
2017-06-19,20:20:00,24.655,24.655,24.655,24.655,1038,0
2017-06-19,21:35:00,24.798,24.798,24.798,24.798,583,0
2017-06-19,21:50:00,24.645,24.655,24.645,24.655,316,0
2017-06-19,21:55:00,24.8,24.8,24.8,24.8,647,0
2017-06-20,15:35:00,24.732,24.732,24.732,24.732,104,0
2017-06-20,16:30:00,24.703,24.703,24.703,24.703,312,0
2017-06-20,19:35:00,24.741,24.741,24.741,24.741,830,0
2017-06-20,20:15:00,24.772,24.772,24.772,24.772,1038,0
