Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-23,15:35:00,0.16,0.16,0.16,0.16,116,0
2017-08-23,15:40:00,0.1595,0.1595,0.1595,0.1595,6049,0
2017-08-23,15:50:00,0.1598,0.1598,0.1598,0.1598,5600,0
2017-08-23,16:10:00,0.16,0.16,0.16,0.16,630,0
2017-08-23,16:15:00,0.1595,0.1595,0.158,0.158,453,0
2017-08-23,16:25:00,0.1599,0.1599,0.1599,0.1599,200,0
2017-08-23,16:35:00,0.1599,0.1599,0.1599,0.1599,150,0
2017-08-23,16:40:00,0.1599,0.1599,0.1599,0.1599,350,0
2017-08-23,16:45:00,0.158,0.1599,0.158,0.1599,275,0
2017-08-23,16:50:00,0.16,0.16,0.16,0.16,100,0
2017-08-23,17:20:00,0.16,0.16,0.16,0.16,2000,0
2017-08-23,18:00:00,0.1599,0.1599,0.1599,0.1599,250,0
2017-08-23,18:05:00,0.159943,0.159943,0.159943,0.159943,200,0
2017-08-23,18:10:00,0.159943,0.159943,0.159943,0.159943,200,0
2017-08-23,18:25:00,0.1599,0.1599,0.1599,0.1599,250,0
2017-08-23,18:30:00,0.1599,0.16,0.1599,0.16,415,0
2017-08-23,18:55:00,0.159996,0.159996,0.159996,0.159996,200,0
2017-08-23,19:15:00,0.16,0.16,0.1599,0.1599,3200,0
2017-08-23,19:40:00,0.16,0.16,0.16,0.16,250,0
2017-08-23,20:35:00,0.16,0.16,0.16,0.16,150,0
2017-08-23,20:40:00,0.16,0.16,0.16,0.16,200,0
2017-08-23,20:45:00,0.16,0.16,0.1599,0.1599,1350,0
2017-08-23,21:00:00,0.16,0.16,0.16,0.16,800,0
2017-08-23,21:05:00,0.16,0.16,0.16,0.16,500,0
2017-08-23,21:10:00,0.16,0.16,0.1599,0.1599,1250,0
2017-08-23,21:25:00,0.1599,0.16,0.1599,0.16,1784,0
2017-08-23,21:30:00,0.16,0.16,0.16,0.16,300,0
2017-08-23,21:35:00,0.16,0.16,0.1599,0.1599,236,0
2017-08-23,21:40:00,0.16,0.16,0.16,0.16,400,0
2017-08-24,15:35:00,0.18,0.18,0.1578,0.1578,11937,0
2017-08-24,15:55:00,0.18,0.18,0.18,0.18,971,0
2017-08-24,16:15:00,0.168,0.1684,0.168,0.1684,597,0
2017-08-24,17:20:00,0.17,0.17,0.1605,0.1605,20779,0
2017-08-24,17:30:00,0.1618,0.1618,0.1605,0.1605,2000,0
2017-08-24,18:40:00,0.1695,0.1695,0.1695,0.1695,115,0
2017-08-24,19:25:00,0.168512,0.168512,0.168512,0.168512,150,0
2017-08-24,21:45:00,0.1685,0.1685,0.1685,0.1685,100,0
2017-08-24,21:55:00,0.161,0.161,0.1606,0.1606,900,0
2017-08-25,15:35:00,0.1601,0.1601,0.1601,0.1601,1149,0
2017-08-25,16:25:00,0.1681,0.1681,0.1681,0.1681,300,0
2017-08-25,16:30:00,0.1675,0.1675,0.1675,0.1675,500,0
2017-08-25,16:40:00,0.1602,0.1605,0.16,0.1605,1386,0
2017-08-25,17:10:00,0.1602,0.1602,0.16,0.16,568,0
2017-08-25,17:15:00,0.1602,0.1602,0.1602,0.1602,181,0
2017-08-25,17:20:00,0.16,0.16,0.16,0.16,446,0
2017-08-25,17:55:00,0.1579,0.1579,0.1579,0.1579,314,0
2017-08-25,18:40:00,0.16,0.16,0.16,0.16,990,0
2017-08-25,21:20:00,0.1699,0.17,0.1579,0.1579,17250,0
2017-08-25,21:25:00,0.1682,0.1689,0.158,0.1682,3100,0
2017-08-25,21:40:00,0.1593,0.1593,0.1593,0.1593,200,0
2017-08-25,21:45:00,0.159597,0.159597,0.159597,0.159597,500,0
2017-08-25,22:00:00,0.161,0.1682,0.161,0.1682,11665,0
2017-08-28,15:35:00,0.17,0.17,0.17,0.17,2517,0
2017-08-28,15:40:00,0.17,0.172,0.17,0.17,1480,0
2017-08-28,15:45:00,0.17,0.17,0.17,0.17,970,0
2017-08-28,16:00:00,0.172,0.172,0.172,0.172,234,0
2017-08-28,16:05:00,0.175,0.1808,0.1742,0.1808,10194,0
2017-08-28,16:15:00,0.1848,0.189,0.1848,0.185,52992,0
2017-08-28,16:20:00,0.185,0.185,0.185,0.185,120,0
2017-08-28,16:25:00,0.18,0.18,0.159,0.159,3500,0
2017-08-28,16:30:00,0.159,0.159,0.159,0.159,2485,0
2017-08-28,16:35:00,0.1589,0.159,0.1589,0.159,23815,0
2017-08-28,16:40:00,0.165,0.165,0.165,0.165,609,0
2017-08-28,16:55:00,0.1648,0.165,0.1641,0.165,3600,0
2017-08-28,17:00:00,0.165,0.165,0.165,0.165,6970,0
2017-08-28,17:05:00,0.164,0.165,0.164,0.165,39276,0
2017-08-28,17:10:00,0.178,0.178,0.1777,0.1777,9000,0
2017-08-28,17:15:00,0.178,0.178,0.1753,0.1753,2500,0
2017-08-28,17:20:00,0.1753,0.1753,0.1753,0.1753,8060,0
2017-08-28,17:30:00,0.178,0.18,0.1774,0.18,8274,0
2017-08-28,17:35:00,0.1714,0.1714,0.17,0.1701,3860,0
2017-08-28,17:40:00,0.17,0.17,0.17,0.17,1700,0
2017-08-28,18:10:00,0.16,0.16,0.16,0.16,12700,0
2017-08-28,18:20:00,0.1599,0.1599,0.1599,0.1599,700,0
2017-08-28,18:25:00,0.1599,0.16,0.1599,0.16,1730,0
2017-08-28,18:35:00,0.16,0.16,0.16,0.16,300,0
2017-08-28,18:45:00,0.16,0.16,0.16,0.16,1500,0
2017-08-28,18:55:00,0.16,0.16,0.16,0.16,350,0
2017-08-28,19:05:00,0.1599,0.1599,0.1599,0.1599,300,0
2017-08-28,19:20:00,0.16,0.16,0.1599,0.16,3100,0
2017-08-28,19:25:00,0.16,0.16,0.16,0.16,400,0
2017-08-28,20:05:00,0.16,0.16,0.1599,0.1599,3100,0
2017-08-28,20:25:00,0.1599,0.1599,0.1599,0.1599,100,0
2017-08-28,20:30:00,0.16,0.16,0.16,0.16,300,0
2017-08-28,20:35:00,0.16,0.16,0.1599,0.1599,589,0
2017-08-28,20:40:00,0.16,0.16,0.16,0.16,111,0
2017-08-28,21:00:00,0.16,0.16,0.16,0.16,900,0
2017-08-28,21:10:00,0.16,0.16,0.16,0.16,1000,0
2017-08-28,21:15:00,0.16,0.16,0.16,0.16,1000,0
2017-08-28,21:25:00,0.16,0.16,0.16,0.16,200,0
2017-08-28,21:45:00,0.158333,0.16,0.158,0.158,2118,0
2017-08-28,21:55:00,0.15,0.15,0.15,0.15,695,0
2017-08-28,22:00:00,0.157631,0.158,0.157631,0.158,800,0
2017-08-29,15:35:00,0.1659,0.1669,0.1659,0.1659,2575,0
2017-08-29,15:40:00,0.158,0.158,0.158,0.158,1400,0
2017-08-29,15:45:00,0.158,0.158,0.158,0.158,189,0
2017-08-29,15:55:00,0.1587,0.1587,0.1587,0.1587,800,0
2017-08-29,16:40:00,0.158,0.158,0.15,0.15,1095,0
2017-08-29,17:10:00,0.1584,0.1584,0.1579,0.1579,10000,0
2017-08-29,18:50:00,0.159,0.167,0.159,0.167,15000,0
2017-08-29,19:05:00,0.15,0.1575,0.15,0.1575,2991,0
2017-08-29,20:15:00,0.1575,0.1575,0.1575,0.1575,928,0
2017-08-29,21:25:00,0.1575,0.1575,0.155,0.1563,800,0
2017-08-30,15:35:00,0.1644,0.1644,0.1644,0.1644,100,0
2017-08-30,15:45:00,0.15,0.15,0.136,0.136,1956,0
2017-08-30,16:15:00,0.147,0.147,0.147,0.147,100,0
2017-08-30,16:25:00,0.158387,0.158387,0.158387,0.158387,150,0
2017-08-30,16:55:00,0.158,0.158,0.158,0.158,4700,0
2017-08-30,17:25:00,0.1572,0.1572,0.1572,0.1572,100,0
2017-08-30,18:00:00,0.147,0.147,0.144,0.144,688,0
2017-08-30,18:05:00,0.1512,0.157358,0.1512,0.1571,700,0
2017-08-30,18:10:00,0.1571,0.157345,0.1571,0.157345,300,0
2017-08-30,18:15:00,0.1579,0.1579,0.1579,0.1579,100,0
2017-08-30,18:40:00,0.1481,0.1481,0.1481,0.1481,1409,0
2017-08-30,19:40:00,0.1555,0.1555,0.1555,0.1555,300,0
2017-08-30,19:55:00,0.155189,0.1555,0.155189,0.1555,1700,0
2017-08-30,20:00:00,0.155,0.1554,0.155,0.1554,600,0
2017-08-30,20:05:00,0.155093,0.155093,0.155,0.155,1000,0
2017-08-30,20:40:00,0.1554,0.1554,0.1554,0.1554,100,0
2017-08-30,20:50:00,0.1554,0.1554,0.1544,0.1544,1278,0
2017-08-30,20:55:00,0.1544,0.155,0.1544,0.155,2000,0
2017-08-31,15:35:00,0.15,0.19,0.15,0.185,19277,0
2017-08-31,15:40:00,0.185,0.185,0.175,0.175,12763,0
2017-08-31,15:45:00,0.177191,0.177191,0.177191,0.177191,3500,0
2017-08-31,15:50:00,0.165,0.165,0.1586,0.1586,473,0
2017-08-31,15:55:00,0.179,0.18,0.179,0.18,3300,0
2017-08-31,16:25:00,0.155,0.155,0.1542,0.1542,1575,0
2017-08-31,17:20:00,0.1664,0.166535,0.1664,0.166535,7899,0
2017-08-31,17:50:00,0.1619,0.1619,0.1619,0.1619,200,0
2017-08-31,18:45:00,0.1699,0.1699,0.1699,0.1699,300,0
2017-08-31,18:50:00,0.1699,0.1699,0.1699,0.1699,100,0
2017-08-31,19:00:00,0.1699,0.1699,0.1699,0.1699,2400,0
2017-08-31,19:30:00,0.1699,0.1699,0.155,0.155,11951,0
2017-08-31,19:35:00,0.155,0.155,0.155,0.155,10600,0
2017-08-31,19:40:00,0.155,0.155,0.155,0.155,9200,0
2017-08-31,19:45:00,0.155,0.155,0.155,0.155,1000,0
2017-08-31,19:50:00,0.155,0.155,0.155,0.155,414,0
2017-08-31,19:55:00,0.155,0.155,0.155,0.155,3100,0
2017-08-31,20:00:00,0.155,0.155,0.155,0.155,2100,0
2017-08-31,20:05:00,0.155,0.155,0.155,0.155,300,0
2017-08-31,20:10:00,0.155,0.155,0.155,0.155,200,0
2017-08-31,20:20:00,0.155,0.155,0.155,0.155,200,0
2017-08-31,20:30:00,0.155,0.155,0.155,0.155,4225,0
2017-08-31,20:40:00,0.155,0.155,0.155,0.155,500,0
2017-08-31,20:45:00,0.155,0.155,0.155,0.155,2300,0
2017-08-31,20:50:00,0.155,0.155,0.155,0.155,100,0
2017-08-31,20:55:00,0.155,0.155,0.155,0.155,3800,0
2017-08-31,21:05:00,0.155,0.155,0.155,0.155,900,0
2017-08-31,21:15:00,0.155,0.155,0.155,0.155,100,0
2017-08-31,21:20:00,0.155,0.155,0.155,0.155,1373,0
2017-08-31,21:25:00,0.155,0.155,0.155,0.155,3396,0
2017-08-31,21:45:00,0.155,0.155,0.155,0.155,600,0
2017-08-31,21:50:00,0.155,0.155,0.155,0.155,2400,0
2017-08-31,22:00:00,0.155,0.155,0.155,0.155,100,0
2017-09-01,15:35:00,0.1627,0.1627,0.1501,0.1501,847,0
2017-09-01,15:45:00,0.1512,0.1512,0.15,0.15,2352,0
2017-09-01,16:05:00,0.16,0.16,0.16,0.16,3000,0
2017-09-01,16:20:00,0.153,0.153,0.153,0.153,100,0
2017-09-01,17:40:00,0.16,0.16,0.153,0.1596,15959,0
2017-09-01,17:55:00,0.153,0.153,0.153,0.153,18338,0
2017-09-01,18:05:00,0.153,0.153,0.153,0.153,205,0
2017-09-01,18:25:00,0.153,0.153,0.153,0.153,1300,0
2017-09-01,18:30:00,0.153,0.153,0.153,0.153,100,0
2017-09-01,19:20:00,0.151,0.151,0.151,0.151,460,0
2017-09-01,19:45:00,0.151,0.151,0.15,0.15,9397,0
2017-09-01,19:50:00,0.1498,0.1498,0.1498,0.1498,229,0
2017-09-01,19:55:00,0.1498,0.1498,0.1498,0.1498,129,0
2017-09-01,20:15:00,0.1498,0.1498,0.1498,0.1498,2710,0
2017-09-01,20:20:00,0.15,0.15,0.1499,0.1499,4000,0
2017-09-01,20:35:00,0.15,0.15,0.1499,0.1499,294,0
2017-09-01,20:40:00,0.1479,0.1479,0.1479,0.1479,100,0
2017-09-01,20:55:00,0.148,0.148,0.148,0.148,3000,0
2017-09-01,21:00:00,0.145,0.1479,0.145,0.1479,11635,0
2017-09-01,21:05:00,0.148,0.148,0.1479,0.1479,8268,0
2017-09-01,21:15:00,0.145,0.145,0.145,0.145,2835,0
2017-09-01,21:30:00,0.1479,0.1479,0.1479,0.1479,100,0
2017-09-01,21:35:00,0.1479,0.148,0.1479,0.148,1100,0
2017-09-01,21:40:00,0.148,0.148,0.1479,0.1479,13498,0
2017-09-01,21:45:00,0.148,0.148,0.148,0.148,100,0
2017-09-01,22:00:00,0.148,0.148,0.148,0.148,1550,0
2017-09-05,15:35:00,0.148,0.1586,0.148,0.151,12020,0
2017-09-05,15:45:00,0.151,0.151,0.151,0.151,198,0
2017-09-05,15:50:00,0.1579,0.1579,0.157509,0.157509,270,0
2017-09-05,15:55:00,0.1579,0.1579,0.15,0.15,1900,0
2017-09-05,16:05:00,0.15,0.15,0.15,0.15,4968,0
2017-09-05,16:20:00,0.149,0.149,0.149,0.149,300,0
2017-09-05,16:45:00,0.15,0.15,0.15,0.15,100,0
2017-09-05,17:45:00,0.15,0.15,0.15,0.15,251,0
2017-09-05,18:25:00,0.148,0.148,0.147,0.147,3284,0
2017-09-05,18:30:00,0.147,0.147,0.147,0.147,160,0
2017-09-05,19:45:00,0.147,0.15,0.147,0.15,911,0
2017-09-05,20:40:00,0.147,0.147,0.147,0.147,100,0
