Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,5.4,5.45,5.4,5.44,18337,0
2017-11-17,15:40:00,5.45,5.46,5.445,5.455,2100,0
2017-11-17,15:45:00,5.46,5.46,5.4519,5.46,3900,0
2017-11-17,15:50:00,5.47,5.49,5.47,5.49,9098,0
2017-11-17,15:55:00,5.49,5.49,5.48,5.48,2600,0
2017-11-17,16:00:00,5.48,5.5,5.48,5.5,3900,0
2017-11-17,16:05:00,5.5,5.5,5.5,5.5,1000,0
2017-11-17,16:10:00,5.5,5.51,5.4993,5.51,2100,0
2017-11-17,16:15:00,5.51,5.52,5.51,5.52,7999,0
2017-11-17,16:20:00,5.52,5.52,5.52,5.52,300,0
2017-11-17,16:25:00,5.52,5.52,5.52,5.52,200,0
2017-11-17,16:30:00,5.52,5.53,5.51,5.53,11100,0
2017-11-17,16:35:00,5.53,5.53,5.5201,5.53,1600,0
2017-11-17,16:40:00,5.53,5.53,5.52,5.53,800,0
2017-11-17,16:45:00,5.53,5.54,5.525,5.54,2000,0
2017-11-17,16:50:00,5.54,5.55,5.53,5.55,2600,0
2017-11-17,16:55:00,5.55,5.55,5.55,5.55,200,0
2017-11-17,17:00:00,5.55,5.55,5.55,5.55,800,0
2017-11-17,17:05:00,5.55,5.55,5.54,5.55,5400,0
2017-11-17,17:10:00,5.55,5.55,5.55,5.55,1100,0
2017-11-17,17:15:00,5.55,5.55,5.54,5.54,5507,0
2017-11-17,17:20:00,5.55,5.55,5.5401,5.55,6597,0
2017-11-17,17:25:00,5.545,5.55,5.54,5.55,900,0
2017-11-17,17:30:00,5.54,5.55,5.535,5.54,13183,0
2017-11-17,17:35:00,5.535,5.54,5.53,5.53,14895,0
2017-11-17,17:40:00,5.525,5.525,5.525,5.525,400,0
2017-11-17,17:45:00,5.5235,5.525,5.5235,5.525,344,0
2017-11-17,17:50:00,5.525,5.525,5.525,5.525,1100,0
2017-11-17,17:55:00,5.52,5.525,5.52,5.52,1700,0
2017-11-17,18:00:00,5.525,5.525,5.51,5.51,16288,0
2017-11-17,18:05:00,5.51,5.52,5.51,5.51,1990,0
2017-11-17,18:10:00,5.515,5.515,5.515,5.515,200,0
2017-11-17,18:15:00,5.5199,5.5199,5.515,5.515,1110,0
2017-11-17,18:20:00,5.52,5.52,5.515,5.515,647,0
2017-11-17,18:25:00,5.515,5.52,5.515,5.515,2600,0
2017-11-17,18:30:00,5.52,5.52,5.51,5.52,2400,0
2017-11-17,18:35:00,5.52,5.53,5.5101,5.53,7096,0
2017-11-17,18:40:00,5.52,5.525,5.52,5.52,6679,0
2017-11-17,18:50:00,5.52,5.52,5.51,5.51,8736,0
2017-11-17,19:00:00,5.51,5.51,5.505,5.51,528,0
2017-11-17,19:05:00,5.51,5.52,5.51,5.52,3100,0
2017-11-17,19:10:00,5.52,5.52,5.515,5.52,4800,0
2017-11-17,19:15:00,5.52,5.52,5.52,5.52,700,0
2017-11-17,19:20:00,5.52,5.52,5.515,5.515,1600,0
2017-11-17,19:25:00,5.52,5.52,5.515,5.515,900,0
2017-11-17,19:30:00,5.52,5.52,5.515,5.515,1300,0
2017-11-17,19:35:00,5.52,5.52,5.51,5.52,8200,0
2017-11-17,19:40:00,5.52,5.52,5.52,5.52,2223,0
2017-11-17,19:45:00,5.51,5.52,5.51,5.515,4824,0
2017-11-17,19:50:00,5.5107,5.515,5.5,5.505,10504,0
2017-11-17,19:55:00,5.51,5.51,5.505,5.505,7300,0
2017-11-17,20:00:00,5.505,5.505,5.5,5.5,5287,0
2017-11-17,20:05:00,5.4935,5.5031,5.4935,5.5001,8243,0
2017-11-17,20:10:00,5.5001,5.5051,5.5,5.505,5238,0
2017-11-17,20:15:00,5.51,5.51,5.5,5.5008,800,0
2017-11-17,20:20:00,5.505,5.52,5.5,5.52,1600,0
2017-11-17,20:25:00,5.52,5.53,5.515,5.5208,2390,0
2017-11-17,20:30:00,5.53,5.53,5.52,5.525,2584,0
2017-11-17,20:35:00,5.525,5.53,5.52,5.525,1700,0
2017-11-17,20:40:00,5.53,5.53,5.525,5.525,7000,0
2017-11-17,20:45:00,5.52,5.52,5.515,5.515,2998,0
2017-11-17,20:50:00,5.515,5.52,5.51,5.515,700,0
2017-11-17,20:55:00,5.5126,5.515,5.51,5.51,1330,0
