Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-03,14:35:00,30.431,30.431,30.431,30.431,1090,0
2017-11-03,14:40:00,30.431,30.431,30.431,30.431,920,0
2017-11-03,14:45:00,30.406,30.406,30.406,30.406,100,0
2017-11-03,14:55:00,30.41,30.41,30.41,30.41,137,0
2017-11-03,15:10:00,30.431,30.431,30.431,30.431,200,0
2017-11-03,15:15:00,30.415,30.421,30.415,30.421,881,0
2017-11-03,15:20:00,30.441,30.441,30.412,30.412,1103,0
2017-11-03,15:30:00,30.421,30.438,30.421,30.438,1138,0
2017-11-03,15:40:00,30.433,30.433,30.433,30.433,2198,0
2017-11-03,15:45:00,30.426,30.426,30.411,30.414,482,0
2017-11-03,15:50:00,30.412,30.412,30.411,30.411,1095,0
2017-11-03,16:20:00,30.436,30.436,30.436,30.436,1704,0
2017-11-03,16:25:00,30.441,30.441,30.441,30.441,100,0
2017-11-03,16:30:00,30.422,30.422,30.422,30.422,139,0
2017-11-03,16:35:00,30.458,30.458,30.458,30.458,200,0
2017-11-03,16:45:00,30.442,30.46,30.421,30.442,2912,0
2017-11-03,16:50:00,30.444,30.451,30.441,30.451,782,0
2017-11-03,16:55:00,30.451,30.451,30.451,30.451,1253,0
2017-11-03,17:00:00,30.441,30.459,30.436,30.459,717,0
2017-11-03,17:05:00,30.45,30.45,30.45,30.45,326,0
2017-11-03,17:10:00,30.469,30.469,30.469,30.469,1002,0
2017-11-03,17:20:00,30.461,30.461,30.461,30.461,501,0
2017-11-03,17:25:00,30.481,30.481,30.481,30.481,100,0
2017-11-03,17:30:00,30.481,30.481,30.481,30.481,322,0
2017-11-03,17:35:00,30.488,30.488,30.488,30.488,401,0
2017-11-03,17:45:00,30.481,30.481,30.481,30.481,817,0
2017-11-03,18:10:00,30.471,30.471,30.471,30.471,195,0
2017-11-03,18:20:00,30.471,30.48,30.471,30.471,1473,0
2017-11-03,18:30:00,30.471,30.471,30.467,30.467,325,0
2017-11-03,18:35:00,30.462,30.464,30.461,30.464,1828,0
2017-11-03,18:40:00,30.465,30.465,30.465,30.465,434,0
2017-11-03,18:45:00,30.461,30.461,30.461,30.461,104,0
2017-11-03,18:50:00,30.477,30.477,30.477,30.477,115,0
2017-11-03,18:55:00,30.477,30.477,30.477,30.477,115,0
2017-11-03,19:00:00,30.481,30.481,30.481,30.481,1002,0
2017-11-03,19:25:00,30.521,30.521,30.521,30.521,200,0
2017-11-03,19:30:00,30.519,30.519,30.519,30.519,100,0
2017-11-03,19:40:00,30.501,30.501,30.501,30.501,501,0
2017-11-03,19:45:00,30.461,30.461,30.461,30.461,100,0
2017-11-03,19:55:00,30.491,30.491,30.485,30.485,730,0
2017-11-03,20:15:00,30.499,30.499,30.499,30.499,326,0
2017-11-03,20:25:00,30.5,30.5,30.5,30.5,361,0
2017-11-03,20:35:00,30.481,30.481,30.481,30.481,100,0
2017-11-03,20:40:00,30.471,30.471,30.461,30.461,287,0
2017-11-03,20:50:00,30.473,30.473,30.473,30.473,401,0
2017-11-03,21:00:00,30.481,30.481,30.461,30.461,238,0
2017-11-06,15:35:00,30.491,30.491,30.491,30.491,1616,0
2017-11-06,15:40:00,30.481,30.481,30.431,30.431,1604,0
2017-11-06,15:50:00,30.444,30.444,30.444,30.444,308,0
2017-11-06,15:55:00,30.462,30.462,30.461,30.461,869,0
2017-11-06,16:00:00,30.481,30.481,30.478,30.478,627,0
2017-11-06,16:10:00,30.441,30.471,30.441,30.463,607,0
2017-11-06,16:15:00,30.441,30.441,30.441,30.441,301,0
2017-11-06,16:20:00,30.457,30.457,30.457,30.457,264,0
2017-11-06,16:50:00,30.456,30.456,30.456,30.456,396,0
2017-11-06,17:00:00,30.441,30.446,30.421,30.446,2333,0
2017-11-06,17:05:00,30.445,30.45,30.441,30.45,3196,0
2017-11-06,17:10:00,30.446,30.446,30.432,30.432,549,0
2017-11-06,17:15:00,30.453,30.453,30.453,30.453,140,0
2017-11-06,17:30:00,30.459,30.459,30.449,30.449,384,0
2017-11-06,17:40:00,30.465,30.466,30.465,30.466,501,0
2017-11-06,17:45:00,30.451,30.461,30.451,30.461,204,0
2017-11-06,17:50:00,30.461,30.461,30.461,30.461,100,0
2017-11-06,17:55:00,30.451,30.451,30.451,30.451,501,0
2017-11-06,18:10:00,30.425,30.425,30.425,30.425,1203,0
2017-11-06,18:15:00,30.43,30.43,30.43,30.43,100,0
2017-11-06,18:30:00,30.426,30.426,30.426,30.426,167,0
2017-11-06,18:40:00,30.423,30.423,30.423,30.423,311,0
2017-11-06,18:55:00,30.431,30.431,30.431,30.431,1428,0
2017-11-06,19:10:00,30.441,30.451,30.441,30.451,1654,0
2017-11-06,19:15:00,30.471,30.471,30.471,30.471,137,0
2017-11-06,19:40:00,30.462,30.471,30.462,30.471,908,0
2017-11-06,19:45:00,30.457,30.457,30.457,30.457,216,0
2017-11-06,19:50:00,30.453,30.461,30.453,30.461,629,0
2017-11-06,20:00:00,30.459,30.459,30.459,30.459,156,0
2017-11-06,20:10:00,30.457,30.457,30.457,30.457,301,0
2017-11-06,20:15:00,30.461,30.461,30.461,30.461,501,0
2017-11-06,20:25:00,30.452,30.452,30.452,30.452,200,0
2017-11-06,20:35:00,30.451,30.451,30.451,30.451,200,0
2017-11-06,20:45:00,30.44,30.461,30.44,30.461,1357,0
2017-11-06,20:55:00,30.446,30.446,30.446,30.446,163,0
2017-11-06,21:00:00,30.451,30.451,30.451,30.451,240,0
2017-11-06,21:05:00,30.446,30.446,30.446,30.446,200,0
2017-11-06,21:30:00,30.443,30.451,30.441,30.447,1371,0
2017-11-06,21:40:00,30.453,30.461,30.453,30.461,401,0
2017-11-06,21:45:00,30.451,30.461,30.451,30.451,5312,0
2017-11-06,22:00:00,30.452,30.452,30.452,30.452,100,0
2017-11-07,15:35:00,30.451,30.451,30.451,30.451,727,0
2017-11-07,15:40:00,30.431,30.431,30.431,30.431,301,0
2017-11-07,15:50:00,30.481,30.481,30.481,30.481,187,0
2017-11-07,16:10:00,30.508,30.508,30.508,30.508,633,0
2017-11-07,16:15:00,30.495,30.502,30.495,30.502,364,0
2017-11-07,16:20:00,30.51,30.51,30.505,30.505,451,0
2017-11-07,16:25:00,30.502,30.502,30.502,30.502,334,0
2017-11-07,16:30:00,30.53,30.53,30.518,30.518,601,0
2017-11-07,16:35:00,30.516,30.516,30.516,30.516,295,0
2017-11-07,16:40:00,30.517,30.517,30.517,30.517,100,0
2017-11-07,16:45:00,30.521,30.521,30.521,30.521,200,0
2017-11-07,16:50:00,30.522,30.522,30.471,30.485,3087,0
2017-11-07,17:00:00,30.479,30.479,30.479,30.479,401,0
2017-11-07,17:05:00,30.528,30.528,30.528,30.528,175,0
2017-11-07,17:25:00,30.511,30.52,30.511,30.52,2117,0
2017-11-07,17:45:00,30.512,30.512,30.512,30.512,401,0
2017-11-07,17:50:00,30.512,30.512,30.512,30.512,752,0
2017-11-07,18:00:00,30.511,30.511,30.504,30.504,1203,0
2017-11-07,18:15:00,30.479,30.479,30.479,30.479,996,0
2017-11-07,18:20:00,30.482,30.482,30.467,30.471,848,0
2017-11-07,18:25:00,30.509,30.509,30.509,30.509,508,0
2017-11-07,18:30:00,30.501,30.501,30.501,30.501,276,0
2017-11-07,18:35:00,30.501,30.501,30.501,30.501,155,0
2017-11-07,19:05:00,30.53,30.53,30.53,30.53,166,0
2017-11-07,19:15:00,30.511,30.511,30.511,30.511,123,0
2017-11-07,19:35:00,30.522,30.522,30.521,30.522,2021,0
2017-11-07,19:45:00,30.522,30.522,30.522,30.522,150,0
2017-11-07,19:55:00,30.531,30.531,30.531,30.531,100,0
2017-11-07,20:10:00,30.533,30.533,30.533,30.533,3007,0
2017-11-07,20:15:00,30.521,30.521,30.521,30.521,100,0
2017-11-07,20:20:00,30.534,30.534,30.531,30.531,401,0
2017-11-07,20:40:00,30.532,30.532,30.532,30.532,371,0
2017-11-07,20:45:00,30.54,30.56,30.53,30.542,6009,0
2017-11-07,20:50:00,30.539,30.539,30.539,30.539,501,0
2017-11-07,21:05:00,30.547,30.547,30.547,30.547,1062,0
2017-11-07,21:20:00,30.54,30.549,30.54,30.549,1085,0
2017-11-07,21:30:00,30.555,30.569,30.555,30.569,301,0
2017-11-07,21:35:00,30.556,30.556,30.556,30.556,170,0
2017-11-07,21:40:00,30.555,30.555,30.555,30.555,161,0
2017-11-07,21:45:00,30.548,30.548,30.548,30.548,2005,0
2017-11-07,21:50:00,30.54,30.556,30.54,30.556,996,0
2017-11-07,22:00:00,30.56,30.56,30.56,30.56,100,0
2017-11-08,15:35:00,30.55,30.614,30.55,30.614,562,0
2017-11-08,15:40:00,30.598,30.598,30.598,30.598,196,0
2017-11-08,15:45:00,30.6,30.6,30.6,30.6,200,0
2017-11-08,15:50:00,30.592,30.592,30.592,30.592,100,0
2017-11-08,16:05:00,30.56,30.56,30.559,30.559,301,0
2017-11-08,16:10:00,30.59,30.59,30.588,30.59,2005,0
2017-11-08,16:15:00,30.6,30.6,30.6,30.6,326,0
2017-11-08,16:20:00,30.59,30.59,30.59,30.59,295,0
2017-11-08,16:25:00,30.583,30.583,30.583,30.583,287,0
2017-11-08,16:30:00,30.583,30.583,30.583,30.583,306,0
2017-11-08,16:35:00,30.61,30.61,30.61,30.61,251,0
2017-11-08,16:40:00,30.58,30.58,30.58,30.58,200,0
2017-11-08,16:55:00,30.585,30.593,30.585,30.587,2087,0
2017-11-08,17:00:00,30.594,30.594,30.594,30.594,388,0
2017-11-08,17:15:00,30.602,30.602,30.602,30.602,495,0
2017-11-08,17:20:00,30.59,30.591,30.59,30.59,822,0
2017-11-08,17:30:00,30.59,30.608,30.59,30.608,1103,0
2017-11-08,17:55:00,30.61,30.61,30.61,30.61,200,0
2017-11-08,18:00:00,30.58,30.58,30.58,30.58,150,0
2017-11-08,18:20:00,30.592,30.592,30.592,30.592,501,0
2017-11-08,18:30:00,30.6,30.61,30.597,30.609,1475,0
2017-11-08,18:35:00,30.61,30.61,30.61,30.61,1503,0
2017-11-08,18:45:00,30.61,30.61,30.61,30.61,200,0
2017-11-08,18:50:00,30.62,30.62,30.62,30.62,100,0
2017-11-08,19:45:00,30.655,30.655,30.655,30.655,2606,0
2017-11-08,19:55:00,30.677,30.677,30.677,30.677,390,0
2017-11-08,20:00:00,30.672,30.679,30.672,30.679,520,0
2017-11-08,20:05:00,30.659,30.659,30.659,30.659,554,0
2017-11-08,20:20:00,30.68,30.68,30.68,30.68,752,0
2017-11-08,20:45:00,30.672,30.675,30.672,30.675,963,0
2017-11-08,20:50:00,30.68,30.68,30.68,30.68,1041,0
2017-11-08,21:00:00,30.692,30.699,30.692,30.699,484,0
2017-11-08,21:05:00,30.709,30.709,30.709,30.709,244,0
2017-11-08,21:10:00,30.704,30.704,30.704,30.704,1395,0
2017-11-08,21:15:00,30.69,30.69,30.67,30.67,480,0
2017-11-08,21:20:00,30.7,30.7,30.7,30.7,1604,0
2017-11-08,21:25:00,30.691,30.691,30.691,30.691,657,0
2017-11-08,21:30:00,30.695,30.695,30.694,30.694,247,0
2017-11-08,21:35:00,30.707,30.707,30.695,30.695,694,0
2017-11-08,21:50:00,30.69,30.69,30.69,30.69,100,0
2017-11-08,21:55:00,30.671,30.68,30.671,30.679,2747,0
2017-11-08,22:00:00,30.68,30.69,30.68,30.69,357,0
2017-11-09,15:35:00,30.6,30.6,30.6,30.6,1361,0
2017-11-09,15:45:00,30.6,30.6,30.6,30.6,231,0
2017-11-09,15:50:00,30.621,30.64,30.621,30.64,1080,0
2017-11-09,15:55:00,30.591,30.65,30.591,30.65,802,0
2017-11-09,16:00:00,30.65,30.65,30.65,30.65,528,0
2017-11-09,16:05:00,30.64,30.64,30.64,30.64,100,0
2017-11-09,16:20:00,30.62,30.62,30.62,30.62,652,0
2017-11-09,16:30:00,30.628,30.628,30.628,30.628,816,0
2017-11-09,16:40:00,30.59,30.602,30.57,30.602,2264,0
2017-11-09,16:45:00,30.579,30.579,30.579,30.579,150,0
2017-11-09,16:50:00,30.59,30.599,30.59,30.599,1894,0
2017-11-09,17:10:00,30.619,30.62,30.619,30.62,2105,0
2017-11-09,17:15:00,30.59,30.62,30.59,30.609,8181,0
2017-11-09,17:20:00,30.589,30.589,30.589,30.589,163,0
2017-11-09,17:25:00,30.58,30.595,30.58,30.595,415,0
2017-11-09,17:30:00,30.583,30.583,30.583,30.583,100,0
2017-11-09,17:50:00,30.57,30.57,30.57,30.57,158,0
2017-11-09,17:55:00,30.55,30.56,30.55,30.56,301,0
2017-11-09,18:00:00,30.559,30.559,30.556,30.556,1353,0
2017-11-09,18:15:00,30.55,30.55,30.511,30.511,1646,0
2017-11-09,18:20:00,30.516,30.516,30.516,30.516,217,0
2017-11-09,18:25:00,30.528,30.528,30.528,30.528,276,0
2017-11-09,18:30:00,30.525,30.525,30.511,30.511,702,0
2017-11-09,18:40:00,30.504,30.504,30.504,30.504,290,0
2017-11-09,18:55:00,30.521,30.521,30.521,30.521,200,0
2017-11-09,19:45:00,30.605,30.605,30.599,30.599,635,0
2017-11-09,20:05:00,30.6,30.6,30.6,30.6,501,0
2017-11-09,20:30:00,30.62,30.62,30.62,30.62,105,0
2017-11-09,20:35:00,30.637,30.65,30.62,30.62,1579,0
2017-11-09,21:00:00,30.62,30.62,30.62,30.62,111,0
2017-11-09,21:05:00,30.632,30.632,30.632,30.632,301,0
2017-11-09,21:10:00,30.626,30.64,30.601,30.601,979,0
2017-11-09,21:35:00,30.66,30.66,30.657,30.657,901,0
2017-11-09,21:40:00,30.651,30.651,30.651,30.651,679,0
2017-11-09,21:50:00,30.65,30.65,30.65,30.65,111,0
2017-11-09,22:00:00,30.62,30.62,30.62,30.62,200,0
2017-11-10,15:40:00,30.577,30.577,30.577,30.577,9127,0
