Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-07,16:10:00,4.9799,4.98,4.95,4.98,790,0
2017-09-07,16:20:00,4.75,4.75,4.75,4.75,100,0
2017-09-07,16:30:00,4.75,4.75,4.75,4.75,100,0
2017-09-07,16:40:00,4.75,4.75,4.75,4.75,100,0
2017-09-07,16:55:00,4.75,4.75,4.635,4.64,900,0
2017-09-07,17:05:00,4.74,4.75,4.74,4.75,200,0
2017-09-07,17:30:00,4.675,4.675,4.675,4.675,100,0
2017-09-07,17:40:00,4.74,4.74,4.74,4.74,100,0
2017-09-07,17:45:00,4.75,4.75,4.75,4.75,100,0
2017-09-07,17:55:00,4.75,4.75,4.75,4.75,400,0
2017-09-07,18:25:00,4.75,4.75,4.75,4.75,100,0
2017-09-07,18:40:00,4.75,4.75,4.75,4.75,100,0
2017-09-07,18:50:00,4.75,4.84,4.75,4.84,4176,0
2017-09-07,18:55:00,4.895,4.895,4.895,4.895,100,0
2017-09-07,19:05:00,4.99,4.99,4.99,4.99,100,0
2017-09-07,19:15:00,4.99,4.99,4.99,4.99,100,0
2017-09-07,19:25:00,4.99,4.99,4.99,4.99,100,0
2017-09-07,19:30:00,4.99,5.3,4.99,5.3,2100,0
2017-09-07,19:40:00,5.25,5.25,5.25,5.25,100,0
2017-09-07,19:55:00,5.25,5.25,5.25,5.25,100,0
2017-09-07,20:10:00,5.25,5.25,5.25,5.25,100,0
2017-09-07,20:15:00,5,5,5,5,350,0
2017-09-07,20:25:00,5.25,5.25,5.25,5.25,300,0
2017-09-07,20:35:00,5.3,5.3,5.3,5.3,1000,0
2017-09-07,20:45:00,5.3,5.3,5.3,5.3,100,0
2017-09-07,20:50:00,5.2,5.9,5.1947,5.9,9350,0
2017-09-07,20:55:00,5.75,5.88,5.5,5.8,5200,0
2017-09-07,21:00:00,5.95,5.95,5.95,5.95,100,0
2017-09-07,21:10:00,5.825,5.93,5.7,5.93,2491,0
2017-09-07,21:15:00,5.629,5.85,5.6,5.62,8900,0
2017-09-07,21:20:00,5.62,5.64,5.61,5.62,400,0
2017-09-07,21:25:00,5.599,5.6,5.59,5.6,1500,0
2017-09-07,21:30:00,5.6,5.77,5.6,5.75,1100,0
2017-09-07,21:35:00,5.9,5.95,5.9,5.95,1300,0
2017-09-07,21:40:00,6.2,6.2,5.83,5.83,1500,0
2017-09-07,21:45:00,5.78,5.78,5.78,5.78,100,0
2017-09-07,21:50:00,5.9,5.9,5.88,5.88,600,0
2017-09-07,21:55:00,5.9,5.9,5.56,5.9,1400,0
2017-09-07,22:00:00,5.9,6,5.87,6,4100,0
2017-09-08,15:35:00,6.1,6.275,5.8,5.8,7830,0
2017-09-08,15:55:00,5.975,5.975,5.8,5.81,1100,0
2017-09-08,16:00:00,5.97,5.97,5.8,5.885,1020,0
2017-09-08,16:05:00,5.35,5.35,5.1,5.35,480,0
2017-09-08,16:40:00,5.82,5.82,5.82,5.82,100,0
2017-09-08,16:45:00,6.1199,6.1199,5.85,5.85,200,0
2017-09-08,16:55:00,6.12,6.12,6.1,6.1,400,0
2017-09-08,17:10:00,6.05,6.05,6.05,6.05,100,0
2017-09-08,17:25:00,5.61,5.75,5.5,5.75,1100,0
2017-09-08,17:30:00,5.73,5.73,5.73,5.73,100,0
2017-09-08,17:35:00,5.73,5.73,5.73,5.73,100,0
2017-09-08,17:45:00,5.72,5.72,5.72,5.72,100,0
2017-09-08,18:00:00,5.7,5.75,5.64,5.75,800,0
2017-09-08,18:15:00,5.73,5.75,5.73,5.75,300,0
2017-09-08,18:30:00,5.74,5.74,5.74,5.74,100,0
2017-09-08,18:40:00,5.734,5.734,5.734,5.734,100,0
2017-09-08,18:45:00,5.75,5.75,5.75,5.75,500,0
2017-09-08,19:00:00,5.75,5.75,5.75,5.75,100,0
2017-09-08,19:20:00,5.75,5.75,5.75,5.75,100,0
2017-09-08,19:35:00,5.75,5.75,5.75,5.75,600,0
2017-09-08,19:50:00,5.75,5.75,5.75,5.75,100,0
2017-09-08,19:55:00,5.75,5.75,5.75,5.75,200,0
2017-09-08,20:00:00,5.7499,5.7499,5.7499,5.7499,100,0
2017-09-08,20:05:00,5.7499,6,5.7499,6,3100,0
2017-09-08,20:10:00,6.2499,6.2499,6.2499,6.2499,100,0
2017-09-08,20:20:00,6,6.25,6,6.25,700,0
2017-09-08,20:30:00,6,6,6,6,100,0
2017-09-08,20:45:00,6,6,6,6,600,0
2017-09-08,20:55:00,5.89,5.895,5.8,5.8,900,0
2017-09-08,21:00:00,5.99,6,5.99,6,2020,0
2017-09-08,21:10:00,5.99,6,5.99,6,600,0
2017-09-08,21:15:00,5.99,6,5.99,6,500,0
2017-09-08,21:30:00,6.08,6.1,6.08,6.08,600,0
2017-09-08,21:35:00,6.05,6.05,5.82,6,1200,0
2017-09-08,21:40:00,6.09,6.09,6,6,1200,0
2017-09-08,21:45:00,6,6,6,6,100,0
2017-09-08,21:50:00,6,6,6,6,692,0
2017-09-08,21:55:00,6,6,6,6,900,0
2017-09-08,22:00:00,5.99,6,5.99,6,1200,0
2017-09-11,15:35:00,6,6,6,6,220,0
2017-09-11,15:40:00,5.76,5.96,5.76,5.96,200,0
2017-09-11,16:10:00,6,6.25,6,6.25,300,0
2017-09-11,16:15:00,6.25,6.25,6,6,615,0
2017-09-11,16:30:00,6,6,5.9208,6,600,0
2017-09-11,16:45:00,6,6.25,6,6.25,700,0
2017-09-11,16:50:00,6,6,6,6,100,0
2017-09-11,16:55:00,6.125,6.13,6.125,6.13,200,0
2017-09-11,17:05:00,6.13,6.13,6.13,6.13,100,0
2017-09-11,17:20:00,6.13,6.13,6.13,6.13,500,0
2017-09-11,17:25:00,6.13,6.13,6.13,6.13,1100,0
2017-09-11,17:30:00,6.13,6.2,6.13,6.13,300,0
2017-09-11,17:35:00,6.13,6.13,6.13,6.13,100,0
2017-09-11,17:40:00,6.25,6.25,6.25,6.25,100,0
2017-09-11,17:45:00,6.13,6.24,6.13,6.13,500,0
2017-09-11,17:50:00,6.13,6.13,6.13,6.13,100,0
2017-09-11,17:55:00,6.13,6.13,6.13,6.13,100,0
2017-09-11,18:00:00,6.13,6.13,6.13,6.13,100,0
2017-09-11,18:10:00,6.13,6.13,6.13,6.13,300,0
2017-09-11,18:15:00,6.13,6.13,6.13,6.13,100,0
2017-09-11,18:20:00,6.13,6.13,6.13,6.13,100,0
2017-09-11,18:25:00,6.18,6.19,6.15,6.17,500,0
2017-09-11,18:30:00,6.17,6.25,6.16,6.16,1300,0
2017-09-11,18:35:00,6.17,6.215,6.13,6.13,2320,0
2017-09-11,18:50:00,6.215,6.215,6.215,6.215,100,0
2017-09-11,19:05:00,6.17,6.17,6.17,6.17,100,0
2017-09-11,19:15:00,6.17,6.17,6.17,6.17,143,0
2017-09-11,19:20:00,6.15,6.16,6.13,6.13,1600,0
2017-09-11,19:25:00,6.15,6.15,6.15,6.15,100,0
2017-09-11,19:45:00,6.295,6.295,6.1795,6.1795,200,0
2017-09-11,19:50:00,6.3,6.3,6.3,6.3,1500,0
2017-09-11,20:05:00,6.3,6.3,6.3,6.3,200,0
2017-09-11,20:15:00,6.3275,6.35,6.3,6.3,1300,0
2017-09-11,20:25:00,6.3,6.3,6.3,6.3,400,0
2017-09-11,20:40:00,6.3,6.3,6.3,6.3,100,0
2017-09-11,20:50:00,6.3,6.3,6.3,6.3,200,0
2017-09-11,20:55:00,6.3,6.3,6.3,6.3,100,0
2017-09-11,21:00:00,6.3,6.35,6.3,6.3,1200,0
2017-09-11,21:05:00,6.3,6.3,6.3,6.3,100,0
2017-09-11,21:15:00,6.3,6.3,6.3,6.3,300,0
2017-09-11,21:20:00,6.3,6.3,6.3,6.3,200,0
2017-09-11,21:25:00,6.3,6.3,6.3,6.3,700,0
2017-09-11,21:30:00,6.3,6.3,6.3,6.3,100,0
2017-09-11,21:35:00,6.35,6.35,6.35,6.35,100,0
2017-09-11,21:40:00,6.35,6.35,6.35,6.35,153,0
2017-09-11,21:45:00,6.45,6.45,6.45,6.45,721,0
2017-09-11,21:50:00,6.45,6.45,6.44,6.44,200,0
2017-09-11,21:55:00,6.44,6.45,6.44,6.45,700,0
2017-09-11,22:00:00,6.45,6.59,6.45,6.59,1374,0
2017-09-12,15:50:00,6.6611,6.6611,6.6611,6.6611,100,0
2017-09-12,16:10:00,6.69,6.7,6.69,6.7,1600,0
2017-09-12,16:20:00,6.85,6.97,6.7401,6.79,2168,0
2017-09-12,16:35:00,6.96,6.99,6.96,6.99,300,0
2017-09-12,16:40:00,6.9687,6.99,6.9687,6.99,300,0
2017-09-12,16:45:00,6.9597,6.98,6.8703,6.8703,1100,0
2017-09-12,16:50:00,6.96,6.99,6.956,6.99,1142,0
2017-09-12,17:00:00,6.99,6.99,6.9,6.9,400,0
2017-09-12,17:05:00,6.99,6.99,6.99,6.99,100,0
2017-09-12,17:15:00,6.98,6.99,6.98,6.99,300,0
2017-09-12,17:25:00,6.99,6.99,6.98,6.99,300,0
2017-09-12,17:30:00,6.99,6.99,6.99,6.99,500,0
2017-09-12,17:35:00,6.99,6.99,6.99,6.99,200,0
2017-09-12,17:40:00,6.99,6.99,6.99,6.99,400,0
2017-09-12,17:50:00,6.99,6.99,6.99,6.99,100,0
2017-09-12,17:55:00,6.99,6.99,6.9899,6.99,8417,0
