Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,36.13,36.32,36.13,36.16,132827,0
2017-11-17,15:40:00,36.18,36.21,36.12,36.17,40367,0
2017-11-17,15:45:00,36.17,36.18,36.14,36.17,41482,0
2017-11-17,15:50:00,36.16,36.18,36.14,36.16,42038,0
2017-11-17,15:55:00,36.165,36.18,36.15,36.16,58970,0
2017-11-17,16:00:00,36.15,36.155,36.06,36.07,81480,0
2017-11-17,16:05:00,36.06,36.24,36.06,36.24,84644,0
2017-11-17,16:10:00,36.24,36.25,36.19,36.2,37611,0
2017-11-17,16:15:00,36.2,36.22,36.19,36.2046,50778,0
2017-11-17,16:20:00,36.205,36.21,36.18,36.195,35399,0
2017-11-17,16:25:00,36.2,36.3,36.189,36.3,308303,0
2017-11-17,16:30:00,36.305,36.37,36.305,36.3399,67673,0
2017-11-17,16:35:00,36.34,36.35,36.32,36.35,52515,0
2017-11-17,16:40:00,36.33,36.34,36.301,36.31,31723,0
2017-11-17,16:45:00,36.31,36.335,36.29,36.295,73278,0
2017-11-17,16:50:00,36.29,36.3,36.27,36.29,17707,0
2017-11-17,16:55:00,36.2833,36.325,36.26,36.3,20197,0
2017-11-17,17:00:00,36.305,36.305,36.28,36.29,13603,0
2017-11-17,17:05:00,36.28,36.33,36.27,36.32,18564,0
2017-11-17,17:10:00,36.315,36.32,36.26,36.27,16952,0
2017-11-17,17:15:00,36.26,36.26,36.23,36.231,27149,0
2017-11-17,17:20:00,36.235,36.265,36.225,36.2561,21917,0
2017-11-17,17:25:00,36.26,36.285,36.25,36.285,16839,0
2017-11-17,17:30:00,36.285,36.32,36.275,36.31,37809,0
2017-11-17,17:35:00,36.315,36.315,36.28,36.3,21613,0
2017-11-17,17:40:00,36.31,36.36,36.31,36.34,24336,0
2017-11-17,17:45:00,36.34,36.38,36.34,36.37,20099,0
2017-11-17,17:50:00,36.36,36.36,36.34,36.35,12284,0
2017-11-17,17:55:00,36.36,36.3999,36.35,36.37,18194,0
2017-11-17,18:00:00,36.375,36.385,36.35,36.35,19958,0
