Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-15,15:35:00,5.1501,5.1601,5.1203,5.133,22894,0
2017-11-15,15:40:00,5.1406,5.1406,5.1302,5.1302,13295,0
2017-11-15,15:45:00,5.1203,5.1203,5.1203,5.1203,402,0
2017-11-15,15:50:00,5.1302,5.1302,5.1203,5.1292,11265,0
2017-11-15,15:55:00,5.1204,5.1302,5.1203,5.1302,13176,0
2017-11-15,16:00:00,5.1282,5.1302,5.1255,5.1255,9058,0
2017-11-15,16:05:00,5.1253,5.1302,5.1203,5.1301,796,0
2017-11-15,16:10:00,5.1302,5.1302,5.1266,5.1266,2840,0
2017-11-15,16:15:00,5.1302,5.1302,5.1203,5.1253,2515,0
2017-11-15,16:20:00,5.1203,5.1203,5.0408,5.0805,94322,0
2017-11-15,16:25:00,5.0905,5.0905,5.0805,5.0905,1609,0
2017-11-15,16:30:00,5.0905,5.0905,5.0806,5.0905,8470,0
2017-11-15,16:35:00,5.0855,5.0905,5.0805,5.0805,8217,0
2017-11-15,16:40:00,5.0805,5.0805,5.0606,5.0706,9842,0
2017-11-15,16:45:00,5.0755,5.0905,5.0706,5.0805,17555,0
2017-11-15,16:50:00,5.0866,5.0904,5.0805,5.0805,4325,0
2017-11-15,16:55:00,5.0805,5.0877,5.0805,5.0805,932,0
2017-11-15,17:00:00,5.0905,5.1004,5.0905,5.0905,8856,0
2017-11-15,17:05:00,5.0934,5.0994,5.0905,5.0905,2414,0
2017-11-15,17:20:00,5.0905,5.1004,5.0905,5.0974,1483,0
2017-11-15,17:25:00,5.0906,5.1004,5.0906,5.1004,5279,0
2017-11-15,17:35:00,5.0938,5.1003,5.0905,5.1003,2917,0
2017-11-15,17:40:00,5.1003,5.1003,5.0952,5.0952,3017,0
2017-11-15,17:45:00,5.0994,5.0994,5.0944,5.0944,4826,0
2017-11-15,17:55:00,5.0955,5.0955,5.092,5.092,3017,0
2017-11-15,18:00:00,5.0906,5.0906,5.0906,5.0906,2012,0
2017-11-15,18:05:00,5.0905,5.0905,5.0905,5.0905,5532,0
2017-11-15,18:10:00,5.0954,5.0954,5.0954,5.0954,302,0
2017-11-15,18:15:00,5.0954,5.1004,5.0954,5.1004,10038,0
2017-11-15,18:25:00,5.1076,5.1076,5.1014,5.1014,5029,0
2017-11-15,18:45:00,5.109,5.109,5.109,5.109,1006,0
2017-11-15,18:55:00,5.1004,5.1103,5.1004,5.1103,6983,0
2017-11-15,19:20:00,5.1041,5.1202,5.1041,5.1202,8492,0
2017-11-15,19:50:00,5.1153,5.1153,5.114,5.114,603,0
2017-11-15,19:55:00,5.1113,5.1203,5.1113,5.1203,3319,0
2017-11-15,20:00:00,5.1114,5.1114,5.1114,5.1114,161,0
2017-11-15,20:05:00,5.1132,5.1132,5.1132,5.1132,2012,0
2017-11-15,20:15:00,5.1203,5.1302,5.1203,5.1302,402,0
2017-11-15,20:25:00,5.1301,5.1301,5.1203,5.1203,2698,0
2017-11-15,20:30:00,5.1203,5.1203,5.1203,5.1203,101,0
2017-11-15,20:35:00,5.1255,5.1255,5.1255,5.1255,1006,0
2017-11-15,20:40:00,5.1204,5.1204,5.1204,5.1204,1006,0
2017-11-15,20:45:00,5.1203,5.1204,5.1103,5.1103,5431,0
2017-11-15,20:50:00,5.1202,5.1202,5.1103,5.1153,2213,0
2017-11-15,20:55:00,5.1139,5.1153,5.1103,5.1103,1911,0
2017-11-15,21:05:00,5.1014,5.1014,5.1014,5.1014,200,0
2017-11-15,21:10:00,5.1004,5.1004,5.1004,5.1004,201,0
2017-11-15,21:15:00,5.1103,5.1103,5.1005,5.1054,10753,0
2017-11-15,21:20:00,5.1004,5.1054,5.1004,5.1004,302,0
2017-11-15,21:25:00,5.1004,5.1103,5.0905,5.0905,38875,0
2017-11-15,21:30:00,5.0905,5.1004,5.0805,5.0905,17163,0
2017-11-15,21:35:00,5.1003,5.1003,5.0905,5.0906,6605,0
2017-11-15,21:40:00,5.1004,5.1004,5.0905,5.0905,2112,0
2017-11-15,21:45:00,5.0905,5.0954,5.087,5.0954,19609,0
2017-11-15,21:50:00,5.0915,5.1004,5.0606,5.0706,103412,0
2017-11-15,21:55:00,5.0706,5.0706,5.0606,5.0656,39385,0
2017-11-15,22:00:00,5.0606,5.0805,5.0507,5.0805,44938,0
2017-11-16,15:35:00,5.0905,5.0905,5.0905,5.0905,24375,0
2017-11-16,15:40:00,5.0965,5.0965,5.0905,5.0905,704,0
2017-11-16,15:45:00,5.0915,5.0915,5.0915,5.0915,115,0
2017-11-16,15:50:00,5.0994,5.1003,5.0994,5.1003,2952,0
2017-11-16,15:55:00,5.0905,5.0905,5.0905,5.0905,101,0
2017-11-16,16:10:00,5.0994,5.1074,5.0954,5.1074,6739,0
2017-11-16,16:15:00,5.1094,5.1094,5.1005,5.1094,10423,0
2017-11-16,16:25:00,5.1004,5.1004,5.0905,5.1004,7344,0
2017-11-16,16:30:00,5.1004,5.1203,5.0954,5.1178,22599,0
2017-11-16,16:35:00,5.1103,5.1103,5.1054,5.1094,13160,0
2017-11-16,16:40:00,5.1054,5.1074,5.1004,5.1054,9479,0
2017-11-16,16:45:00,5.1054,5.1203,5.1054,5.1203,3842,0
2017-11-16,16:50:00,5.1153,5.1203,5.1153,5.1203,201,0
2017-11-16,16:55:00,5.1104,5.114,5.1103,5.1104,14108,0
