Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,26.07,26.21,26.045,26.21,7488,0
2017-11-17,15:40:00,26.22,26.28,26.18,26.18,600,0
2017-11-17,15:45:00,26.26,26.26,26.26,26.26,100,0
2017-11-17,15:50:00,26.21,26.24,26.16,26.24,1600,0
2017-11-17,15:55:00,26.25,26.28,26.25,26.28,200,0
2017-11-17,16:00:00,26.27,26.27,26.13,26.13,2052,0
2017-11-17,16:05:00,26.11,26.11,26.07,26.07,300,0
2017-11-17,16:10:00,26.09,26.18,26.09,26.17,1606,0
2017-11-17,16:15:00,26.15,26.15,26.15,26.15,590,0
2017-11-17,16:20:00,26.08,26.08,26.02,26.03,700,0
2017-11-17,16:25:00,26.04,26.05,26.04,26.04,500,0
2017-11-17,16:30:00,25.97,25.99,25.94,25.99,1300,0
2017-11-17,16:35:00,25.98,25.98,25.94,25.94,200,0
2017-11-17,16:40:00,25.98,26.02,25.97,25.99,1500,0
2017-11-17,16:45:00,25.995,25.995,25.95,25.975,1200,0
2017-11-17,16:55:00,25.9734,26.03,25.96,26.03,1413,0
2017-11-17,17:00:00,26.04,26.04,25.985,25.985,827,0
2017-11-17,17:05:00,25.97,26.01,25.97,26.01,900,0
2017-11-17,17:10:00,26.05,26.05,26.03,26.03,700,0
2017-11-17,17:15:00,26,26,26,26,100,0
2017-11-17,17:20:00,26.06,26.06,26.02,26.06,300,0
2017-11-17,17:25:00,26.07,26.07,26.055,26.06,700,0
2017-11-17,17:35:00,26.065,26.11,26.065,26.105,1100,0
2017-11-17,17:40:00,26.12,26.12,26.1,26.1,1300,0
2017-11-17,17:45:00,26.12,26.14,26.12,26.14,1000,0
2017-11-17,17:50:00,26.19,26.21,26.185,26.21,800,0
2017-11-17,17:55:00,26.22,26.23,26.22,26.23,200,0
2017-11-17,18:00:00,26.23,26.26,26.22,26.22,2500,0
2017-11-17,18:10:00,26.23,26.24,26.23,26.23,700,0
2017-11-17,18:15:00,26.25,26.25,26.22,26.22,210,0
2017-11-17,18:20:00,26.22,26.25,26.21,26.21,857,0
2017-11-17,18:25:00,26.23,26.23,26.17,26.17,600,0
2017-11-17,18:30:00,26.16,26.23,26.16,26.23,900,0
2017-11-17,18:35:00,26.23,26.23,26.21,26.21,600,0
2017-11-17,18:40:00,26.23,26.26,26.22,26.24,500,0
