Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-10,15:35:00,133.9,133.9,133.9,133.9,313,0
2017-11-10,15:40:00,134.64,134.64,134.64,134.64,100,0
2017-11-10,15:50:00,134.33,134.33,134.33,134.33,300,0
2017-11-10,15:55:00,133.77,133.77,133.77,133.77,100,0
2017-11-10,16:05:00,134.23,134.23,134.23,134.23,100,0
2017-11-10,16:40:00,134.09,134.17,133.98,133.98,400,0
2017-11-10,16:45:00,134.33,134.33,134.18,134.18,200,0
2017-11-10,16:50:00,134.3,134.32,134.3,134.32,200,0
2017-11-10,16:55:00,134.26,134.26,134.26,134.26,100,0
2017-11-10,17:05:00,134.21,134.365,134.18,134.23,21100,0
2017-11-10,17:10:00,134.21,134.22,134.19,134.19,400,0
2017-11-10,17:20:00,134.235,134.235,134.235,134.235,790,0
2017-11-10,17:25:00,134.21,134.21,134.16,134.16,4100,0
2017-11-10,17:30:00,134.165,134.165,134.165,134.165,700,0
2017-11-10,17:35:00,134.375,134.375,134.13,134.13,289,0
2017-11-10,17:45:00,134.235,134.235,133.9,133.94,600,0
2017-11-10,18:00:00,134.12,134.12,134.12,134.12,100,0
2017-11-10,18:05:00,134.12,134.12,134.12,134.12,100,0
2017-11-10,18:15:00,134.08,134.24,134.08,134.24,300,0
2017-11-10,18:20:00,134.04,134.2034,134.04,134.2034,249,0
2017-11-10,18:25:00,134.04,134.04,134.04,134.04,100,0
2017-11-10,18:30:00,134.23,134.23,134.17,134.21,603,0
2017-11-10,18:35:00,134.22,134.225,134.04,134.225,2600,0
2017-11-10,18:40:00,134.22,134.22,134.201,134.215,1200,0
2017-11-10,18:45:00,134.215,134.215,134.215,134.215,300,0
2017-11-10,18:50:00,134.215,134.34,134.16,134.24,4486,0
2017-11-10,18:55:00,134.24,134.35,134.2,134.2,1200,0
2017-11-10,19:00:00,134.37,134.37,134.14,134.14,7520,0
2017-11-10,19:05:00,134.29,134.35,134.2,134.22,4340,0
2017-11-10,19:15:00,134.24,134.495,134.24,134.27,1300,0
2017-11-10,19:20:00,134.32,134.32,134.19,134.19,900,0
2017-11-10,19:25:00,134.01,134.01,133.96,133.98,300,0
2017-11-10,19:40:00,134.24,134.24,134.24,134.24,100,0
2017-11-10,20:05:00,134.18,134.18,134.18,134.18,100,0
2017-11-10,20:15:00,134.4,134.4,134.4,134.4,100,0
2017-11-10,20:40:00,134.44,134.44,134.27,134.27,400,0
2017-11-10,21:05:00,134.375,134.375,134.15,134.15,1400,0
2017-11-10,21:10:00,134.2,134.2,134.2,134.2,100,0
2017-11-10,21:15:00,134.2,134.2,134.2,134.2,200,0
2017-11-10,21:20:00,134.19,134.32,134.07,134.07,2681,0
2017-11-10,21:25:00,134.08,134.1,133.95,133.95,1000,0
2017-11-10,21:30:00,134,134,133.91,133.91,538,0
2017-11-10,21:35:00,134.15,134.15,134,134,400,0
2017-11-10,21:40:00,134,134,133.9,133.9,1126,0
2017-11-10,21:45:00,133.87,133.89,133.67,133.67,800,0
2017-11-10,21:50:00,133.87,134.05,133.78,133.8,3910,0
2017-11-10,21:55:00,133.66,133.86,133.66,133.86,1600,0
2017-11-10,22:00:00,133.65,133.855,133.5,133.61,14605,0
2017-11-13,15:35:00,133.81,133.99,133.81,133.99,848,0
2017-11-13,15:40:00,134.665,134.675,134.53,134.53,300,0
2017-11-13,15:50:00,134.36,134.46,134.36,134.46,200,0
2017-11-13,15:55:00,133.89,134.535,133.89,134.17,1000,0
2017-11-13,16:00:00,134.06,134.27,134.06,134.11,1100,0
2017-11-13,16:05:00,134.37,134.44,134.3,134.44,700,0
2017-11-13,16:10:00,134.255,134.255,134.255,134.255,100,0
2017-11-13,16:15:00,134.12,134.39,133.98,134.39,1750,0
2017-11-13,16:20:00,134.395,134.485,134.2,134.37,600,0
2017-11-13,16:25:00,134.38,134.605,134.38,134.605,262,0
2017-11-13,16:35:00,134.57,134.575,134.41,134.43,1071,0
2017-11-13,16:40:00,134.46,134.46,134.46,134.46,100,0
2017-11-13,16:45:00,134.57,134.7,134.34,134.685,800,0
2017-11-13,16:50:00,134.37,134.37,134.37,134.37,100,0
2017-11-13,16:55:00,134.32,134.4,134.32,134.4,200,0
2017-11-13,17:00:00,134.43,134.57,134.43,134.57,200,0
2017-11-13,17:05:00,134.65,134.83,134.64,134.77,400,0
2017-11-13,17:10:00,134.61,134.61,134.61,134.61,100,0
2017-11-13,17:15:00,134.6,134.6,134.42,134.42,400,0
2017-11-13,17:20:00,134.43,134.43,134.43,134.43,100,0
2017-11-13,17:25:00,134.62,134.62,134.62,134.62,100,0
2017-11-13,17:30:00,134.545,134.545,134.545,134.545,100,0
2017-11-13,17:35:00,134.63,134.63,134.63,134.63,100,0
2017-11-13,17:40:00,134.675,134.755,134.57,134.755,300,0
2017-11-13,17:45:00,134.7,134.82,134.64,134.82,300,0
2017-11-13,17:50:00,134.91,134.91,134.91,134.91,100,0
2017-11-13,17:55:00,134.905,135.1,134.905,135.1,300,0
2017-11-13,18:00:00,135.28,135.28,135.28,135.28,100,0
2017-11-13,18:05:00,135.405,135.63,135.405,135.63,200,0
2017-11-13,18:10:00,135.65,135.65,135.45,135.45,200,0
2017-11-13,18:15:00,135.44,135.56,135.35,135.43,2178,0
2017-11-13,18:20:00,135.39,135.5,135.38,135.4,1300,0
2017-11-13,18:30:00,135.44,135.44,135.41,135.42,891,0
2017-11-13,18:35:00,135.4,135.4,135.4,135.4,100,0
2017-11-13,18:40:00,135.45,135.46,135,135.25,3739,0
2017-11-13,18:55:00,135.15,135.23,135.12,135.23,400,0
2017-11-13,19:05:00,135.14,135.37,135.14,135.36,948,0
2017-11-13,19:10:00,135.285,135.38,135.24,135.24,1000,0
2017-11-13,19:15:00,135.15,135.15,135.14,135.14,200,0
2017-11-13,19:20:00,135.22,135.31,135.22,135.26,700,0
2017-11-13,19:25:00,135.34,135.34,135.34,135.34,100,0
2017-11-13,19:30:00,135.39,135.3995,135.26,135.26,700,0
2017-11-13,19:35:00,135.2542,135.26,135.25,135.25,1007,0
2017-11-13,19:40:00,135.2193,135.27,135.12,135.205,1200,0
2017-11-13,19:45:00,135.06,135.23,135.05,135.09,700,0
2017-11-13,19:50:00,135.1,135.22,135.1,135.17,700,0
2017-11-13,19:55:00,135.05,135.125,135.05,135.125,200,0
2017-11-13,20:00:00,135.125,135.13,135.01,135.01,1100,0
2017-11-13,20:05:00,135.01,135.095,135.01,135.095,200,0
2017-11-13,20:10:00,135.095,135.0998,134.87,134.87,3400,0
2017-11-13,20:15:00,134.87,134.935,134.82,134.84,800,0
