Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,35.81,35.97,35.81,35.9335,121428,0
2017-11-17,15:40:00,35.955,36.27,35.955,36.09,10445,0
2017-11-17,15:45:00,36.08,36.11,36.06,36.06,4764,0
2017-11-17,15:50:00,36.06,36.06,36.02,36.04,3574,0
2017-11-17,15:55:00,36.04,36.04,35.93,35.95,4519,0
2017-11-17,16:00:00,35.97,36.03,35.96,36.02,3513,0
2017-11-17,16:05:00,36.04,36.11,35.99,36.08,3770,0
2017-11-17,16:10:00,36.11,36.16,36.11,36.13,4495,0
2017-11-17,16:15:00,36.14,36.14,36.05,36.05,3249,0
2017-11-17,16:20:00,36.05,36.05,36.01,36.0301,6000,0
2017-11-17,16:25:00,36.04,36.07,36.04,36.06,5057,0
2017-11-17,16:30:00,36.06,36.06,36.02,36.03,5523,0
2017-11-17,16:35:00,36.03,36.0301,35.985,35.995,10376,0
2017-11-17,16:40:00,36,36.01,35.99,35.99,4667,0
2017-11-17,16:45:00,36,36.01,35.995,36.01,3131,0
2017-11-17,16:50:00,36.01,36.01,35.99,36,2885,0
2017-11-17,16:55:00,36,36.02,35.98,36,11216,0
2017-11-17,17:00:00,36,36,35.98,35.99,5253,0
2017-11-17,17:05:00,35.99,36,35.975,35.99,41993,0
2017-11-17,17:10:00,35.99,36.05,35.985,36.04,13883,0
2017-11-17,17:15:00,36.04,36.05,36.04,36.05,2801,0
2017-11-17,17:20:00,36.04,36.04,36,36.01,5239,0
2017-11-17,17:25:00,36.01,36.04,35.97,36.02,9401,0
2017-11-17,17:30:00,36.02,36.03,36,36.01,4700,0
2017-11-17,17:35:00,36.03,36.03,36,36.01,7000,0
2017-11-17,17:40:00,36.02,36.02,36,36.01,11145,0
2017-11-17,17:45:00,36.01,36.08,36,36.08,49735,0
2017-11-17,17:50:00,36.09,36.21,36.09,36.21,13029,0
2017-11-17,17:55:00,36.22,36.26,36.2,36.26,4927,0
2017-11-17,18:00:00,36.26,36.27,36.19,36.23,4616,0
2017-11-17,18:05:00,36.2302,36.28,36.23,36.28,6300,0
2017-11-17,18:10:00,36.28,36.3643,36.28,36.36,8064,0
2017-11-17,18:15:00,36.36,36.365,36.34,36.34,41843,0
