Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,67.11,67.4264,67.11,67.335,20969,0
2017-11-17,15:40:00,67.39,67.44,67.28,67.36,2200,0
2017-11-17,15:45:00,67.36,67.36,67.19,67.22,2800,0
2017-11-17,15:50:00,67.16,67.34,67.16,67.34,2892,0
2017-11-17,15:55:00,67.41,67.46,67.34,67.34,829,0
2017-11-17,16:00:00,67.48,67.64,67.438,67.64,2973,0
2017-11-17,16:05:00,67.65,67.82,67.61,67.795,4793,0
2017-11-17,16:10:00,67.8,67.83,67.74,67.77,1931,0
2017-11-17,16:15:00,67.74,67.83,67.67,67.8,6848,0
2017-11-17,16:20:00,67.77,67.78,67.6,67.68,5461,0
2017-11-17,16:25:00,67.67,67.72,67.61,67.645,2240,0
2017-11-17,16:30:00,67.655,67.69,67.61,67.61,1751,0
2017-11-17,16:35:00,67.63,67.68,67.61,67.68,400,0
2017-11-17,16:40:00,67.68,67.68,67.58,67.58,700,0
2017-11-17,16:45:00,67.5,67.51,67.46,67.51,1748,0
2017-11-17,16:50:00,67.52,67.52,67.47,67.485,1500,0
2017-11-17,16:55:00,67.5,67.51,67.49,67.51,500,0
2017-11-17,17:00:00,67.5,67.5,67.44,67.5,2000,0
2017-11-17,17:05:00,67.5,67.5,67.48,67.48,600,0
2017-11-17,17:10:00,67.47,67.5,67.47,67.5,817,0
2017-11-17,17:15:00,67.51,67.575,67.48,67.48,7747,0
2017-11-17,17:20:00,67.48,67.48,67.38,67.41,3300,0
2017-11-17,17:25:00,67.38,67.38,67.33,67.38,829,0
2017-11-17,17:30:00,67.41,67.44,67.41,67.44,794,0
2017-11-17,17:35:00,67.424,67.43,67.3701,67.43,1607,0
2017-11-17,17:40:00,67.414,67.45,67.38,67.43,6841,0
2017-11-17,17:45:00,67.435,67.515,67.435,67.4994,2639,0
2017-11-17,17:50:00,67.51,67.53,67.51,67.515,500,0
2017-11-17,17:55:00,67.5299,67.54,67.5,67.52,1213,0
2017-11-17,18:00:00,67.52,67.52,67.46,67.46,3681,0
2017-11-17,18:05:00,67.455,67.46,67.42,67.42,2090,0
2017-11-17,18:10:00,67.4104,67.4104,67.39,67.39,1302,0
2017-11-17,18:15:00,67.39,67.39,67.36,67.38,542,0
2017-11-17,18:20:00,67.39,67.43,67.39,67.42,1689,0
2017-11-17,18:25:00,67.42,67.42,67.25,67.26,3100,0
2017-11-17,18:30:00,67.28,67.28,67.28,67.28,791,0
2017-11-17,18:35:00,67.2601,67.27,67.23,67.27,2012,0
2017-11-17,18:40:00,67.255,67.34,67.255,67.33,1300,0
2017-11-17,18:45:00,67.33,67.42,67.33,67.405,3849,0
2017-11-17,18:50:00,67.4,67.45,67.36,67.375,3982,0
2017-11-17,18:55:00,67.34,67.34,67.31,67.31,1200,0
