Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-09,15:35:00,9.1,9.1,9.1,9.1,8048,0
2017-11-09,15:45:00,9.12,9.1201,9.12,9.1201,2300,0
2017-11-09,15:50:00,9.12,9.12,9.1,9.1,2896,0
2017-11-09,15:55:00,9.09,9.1,9.09,9.09,8000,0
2017-11-09,16:00:00,9.095,9.095,9.09,9.09,300,0
2017-11-09,16:05:00,9.099,9.099,9.099,9.099,1000,0
2017-11-09,16:10:00,9.0998,9.11,9.0901,9.11,1730,0
2017-11-09,16:15:00,9.12,9.12,9.12,9.12,200,0
2017-11-09,16:25:00,9.11,9.11,9.11,9.11,300,0
2017-11-09,16:30:00,9.11,9.1296,9.11,9.11,3506,0
2017-11-09,16:35:00,9.11,9.11,9.11,9.11,200,0
2017-11-09,16:40:00,9.11,9.115,9.11,9.11,1435,0
2017-11-09,16:45:00,9.1,9.1,9.1,9.1,500,0
2017-11-09,16:50:00,9.1,9.107,9.1,9.1,1358,0
2017-11-09,16:55:00,9.1,9.1,9.1,9.1,300,0
2017-11-09,17:00:00,9.1,9.11,9.1,9.11,700,0
2017-11-09,17:05:00,9.11,9.11,9.11,9.11,100,0
2017-11-09,17:10:00,9.11,9.11,9.11,9.11,200,0
2017-11-09,17:15:00,9.11,9.12,9.11,9.12,200,0
2017-11-09,17:20:00,9.11,9.129,9.11,9.129,500,0
2017-11-09,17:25:00,9.11,9.1244,9.11,9.11,800,0
2017-11-09,17:30:00,9.11,9.11,9.11,9.11,100,0
2017-11-09,17:35:00,9.112,9.112,9.1,9.1,1315,0
2017-11-09,17:40:00,9.1,9.1,9.1,9.1,200,0
2017-11-09,17:45:00,9.1,9.102,9.09,9.09,5771,0
2017-11-09,17:50:00,9.09,9.1,9.08,9.08,5682,0
2017-11-09,17:55:00,9.08,9.08,9.08,9.08,200,0
2017-11-09,18:00:00,9.08,9.1,9.08,9.08,600,0
2017-11-09,18:05:00,9.1,9.1,9.08,9.08,1277,0
2017-11-09,18:10:00,9.08,9.08,9.08,9.08,200,0
2017-11-09,18:15:00,9.08,9.0811,9.07,9.07,1470,0
2017-11-09,18:20:00,9.06,9.0695,9.05,9.0642,7100,0
2017-11-09,18:25:00,9.05,9.05,9.05,9.05,800,0
2017-11-09,18:30:00,9.04,9.04,9.03,9.03,1400,0
2017-11-09,18:35:00,9.03,9.03,9.02,9.02,2200,0
2017-11-09,18:40:00,9.02,9.02,9,9,6038,0
2017-11-09,18:45:00,9,9.0075,9,9,4258,0
2017-11-09,18:50:00,9,9.009,9,9.009,2543,0
2017-11-09,18:55:00,9,9.0053,9,9,2025,0
2017-11-09,19:00:00,9,9.0098,9,9,2700,0
2017-11-09,19:05:00,9,9,8.99,8.99,3334,0
2017-11-09,19:10:00,8.99,8.9978,8.99,8.99,1200,0
2017-11-09,19:15:00,8.99,8.9996,8.99,8.9996,1100,0
2017-11-09,19:20:00,8.99,9,8.99,9,6101,0
2017-11-09,19:25:00,9.01,9.04,9.0099,9.04,6600,0
2017-11-09,19:30:00,9.032,9.0418,9.032,9.0418,1398,0
2017-11-09,19:40:00,9.0429,9.0429,9.0429,9.0429,500,0
2017-11-09,19:45:00,9.04,9.04,9.03,9.035,5239,0
2017-11-09,19:50:00,9.045,9.05,9.045,9.0486,1700,0
2017-11-09,19:55:00,9.045,9.05,9.045,9.045,600,0
2017-11-09,20:00:00,9.06,9.06,9.06,9.06,100,0
2017-11-09,20:20:00,9.05,9.0629,9.05,9.05,831,0
2017-11-09,20:25:00,9.05,9.05,9.05,9.05,100,0
2017-11-09,20:30:00,9.05,9.0634,9.05,9.0634,400,0
2017-11-09,20:35:00,9.05,9.05,9.05,9.05,200,0
2017-11-09,20:40:00,9.05,9.05,9.05,9.05,5300,0
2017-11-09,20:45:00,9.05,9.0562,9.05,9.05,600,0
2017-11-09,20:50:00,9.05,9.055,9.05,9.055,800,0
2017-11-09,20:55:00,9.055,9.055,9.055,9.055,100,0
2017-11-09,21:00:00,9.055,9.06,9.055,9.055,2200,0
2017-11-09,21:05:00,9.055,9.09,9.055,9.09,5492,0
2017-11-09,21:10:00,9.09,9.09,9.09,9.09,100,0
2017-11-09,21:15:00,9.0856,9.1,9.0856,9.1,3239,0
2017-11-09,21:20:00,9.09,9.09,9.09,9.09,200,0
2017-11-09,21:25:00,9.09,9.095,9.09,9.095,350,0
2017-11-09,21:35:00,9.09,9.099,9.09,9.095,5700,0
2017-11-09,21:40:00,9.09,9.09,9.09,9.09,300,0
2017-11-09,21:45:00,9.095,9.1099,9.095,9.1,3926,0
2017-11-09,21:50:00,9.1,9.1,9.1,9.1,600,0
2017-11-09,21:55:00,9.1,9.1,9.1,9.1,937,0
2017-11-09,22:00:00,9.1,9.12,9.1,9.1,3538,0
2017-11-10,15:35:00,9.08,9.0985,9.08,9.0873,4942,0
2017-11-10,15:40:00,9.0882,9.0882,9.0882,9.0882,1500,0
2017-11-10,15:50:00,9.09,9.09,9.08,9.08,11373,0
2017-11-10,16:10:00,9.098,9.098,9.098,9.098,100,0
2017-11-10,16:15:00,9.0801,9.1,9.08,9.08,1600,0
2017-11-10,16:20:00,9.09,9.115,9.0895,9.115,10700,0
2017-11-10,16:40:00,9.11,9.115,9.11,9.11,300,0
2017-11-10,16:45:00,9.11,9.115,9.1,9.1,1700,0
2017-11-10,16:50:00,9.1,9.1,9.1,9.1,100,0
2017-11-10,16:55:00,9.1,9.1,9.1,9.1,200,0
2017-11-10,17:00:00,9.1,9.12,9.1,9.12,3157,0
2017-11-10,17:05:00,9.115,9.1241,9.115,9.1241,5665,0
2017-11-10,17:10:00,9.112,9.112,9.112,9.112,1268,0
2017-11-10,17:15:00,9.1237,9.1237,9.11,9.12,982,0
2017-11-10,17:20:00,9.12,9.125,9.12,9.125,200,0
2017-11-10,17:25:00,9.12,9.12,9.12,9.12,200,0
2017-11-10,17:30:00,9.12,9.12,9.12,9.12,200,0
2017-11-10,17:35:00,9.12,9.12,9.12,9.12,200,0
2017-11-10,17:40:00,9.12,9.1268,9.12,9.1268,353,0
2017-11-10,17:45:00,9.125,9.125,9.12,9.125,700,0
2017-11-10,17:50:00,9.12,9.12,9.12,9.12,100,0
2017-11-10,17:55:00,9.12,9.12,9.12,9.12,200,0
2017-11-10,18:00:00,9.12,9.12,9.12,9.12,200,0
2017-11-10,18:05:00,9.12,9.12,9.12,9.12,200,0
2017-11-10,18:10:00,9.12,9.125,9.12,9.125,200,0
2017-11-10,18:15:00,9.125,9.125,9.12,9.12,300,0
2017-11-10,18:20:00,9.12,9.12,9.12,9.12,200,0
2017-11-10,18:25:00,9.12,9.12,9.12,9.12,200,0
2017-11-10,18:30:00,9.12,9.12,9.11,9.11,800,0
2017-11-10,18:35:00,9.11,9.11,9.11,9.11,100,0
2017-11-10,18:40:00,9.11,9.12,9.11,9.1138,400,0
2017-11-10,18:45:00,9.1065,9.11,9.1,9.11,5535,0
2017-11-10,18:50:00,9.1,9.1,9.1,9.1,320,0
2017-11-10,18:55:00,9.1,9.1051,9.1,9.1,1017,0
2017-11-10,19:00:00,9.1,9.1,9.1,9.1,100,0
2017-11-10,19:05:00,9.08,9.0908,9.08,9.08,2000,0
2017-11-10,19:10:00,9.08,9.095,9.08,9.095,300,0
2017-11-10,19:15:00,9.08,9.08,9.08,9.08,100,0
2017-11-10,19:20:00,9.08,9.08,9.08,9.08,200,0
2017-11-10,19:25:00,9.08,9.08,9.08,9.08,100,0
2017-11-10,19:30:00,9.08,9.08,9.08,9.08,200,0
2017-11-10,19:35:00,9.08,9.08,9.08,9.08,200,0
2017-11-10,19:40:00,9.08,9.08,9.08,9.08,100,0
