Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-29,16:00:00,49.558,49.558,49.558,49.558,101,0
2017-07-07,20:40:00,49.528,49.528,49.528,49.528,101,0
2017-07-10,18:00:00,49.835,49.835,49.835,49.835,877,0
2017-07-27,15:35:00,52.23,52.23,52.23,52.23,101,0
2017-07-27,22:00:00,51.834,51.834,51.834,51.834,101,0
2017-07-28,22:00:00,51.933,51.933,51.933,51.933,404,0
2017-07-31,15:35:00,51.993,51.993,51.993,51.993,202,0
2017-08-01,16:55:00,52.258,52.258,52.258,52.258,505,0
2017-08-01,17:10:00,52.24,52.24,52.24,52.24,505,0
2017-08-01,22:00:00,52.25,52.25,52.25,52.25,404,0
2017-08-02,15:35:00,52.319,52.319,52.319,52.319,404,0
2017-08-04,22:00:00,52.319,52.319,52.319,52.319,303,0
2017-08-07,17:00:00,52.428,52.428,52.354,52.354,707,0
2017-08-08,18:55:00,52.636,52.636,52.636,52.636,606,0
2017-08-11,22:00:00,51.247,51.29,51.247,51.29,303,0
2017-08-14,22:00:00,51.626,51.626,51.626,51.626,404,0
2017-08-15,21:00:00,51.518,51.518,51.518,51.518,101,0
2017-08-16,17:45:00,52.032,52.032,52.032,52.032,152,0
2017-08-18,21:10:00,52.022,52.022,52.022,52.022,101,0
2017-08-23,15:35:00,52.319,52.349,52.309,52.349,1301,0
2017-08-30,15:40:00,52.933,52.933,52.927,52.927,542,0
2017-08-30,15:50:00,52.972,52.972,52.966,52.966,689,0
2017-08-30,20:30:00,53.032,53.032,53.032,53.032,318,0
2017-08-30,21:30:00,52.955,52.955,52.955,52.955,108,0
2017-09-08,16:10:00,53.526,53.526,53.52,53.52,483,0
2017-09-11,16:35:00,53.941,53.941,53.935,53.935,228,0
2017-09-14,17:40:00,53.586,53.586,53.576,53.576,253,0
2017-09-14,21:05:00,53.566,53.566,53.566,53.566,243,0
2017-09-18,21:30:00,53.839,53.839,53.839,53.839,213,0
2017-09-19,16:35:00,53.714,53.714,53.714,53.714,671,0
2017-09-19,16:40:00,53.714,53.714,53.713,53.713,1617,0
2017-09-20,17:25:00,53.754,53.754,53.754,53.754,629,0
2017-09-21,15:35:00,53.86,53.86,53.86,53.86,100,0
2017-09-22,19:20:00,53.2499,53.2499,53.2499,53.2499,400,0
2017-09-22,19:40:00,53.24,53.24,53.24,53.24,400,0
2017-09-25,15:35:00,52.82,52.82,52.82,52.82,200,0
2017-09-26,17:10:00,52.46,52.46,52.3886,52.3886,372,0
2017-09-27,15:35:00,52.11,52.11,52.11,52.11,200,0
2017-09-27,19:25:00,52.0099,52.01,52.0099,52.01,538,0
2017-09-27,19:45:00,52.0499,52.0499,52.02,52.02,366,0
2017-09-28,17:05:00,51.9699,51.9699,51.9699,51.9699,150,0
2017-09-28,17:20:00,51.9699,51.9699,51.9699,51.9699,150,0
2017-09-29,15:35:00,52.29,52.29,52.29,52.29,200,0
2017-09-29,16:20:00,52.3211,52.3211,52.3211,52.3211,105,0
2017-09-29,17:05:00,52.5099,52.5099,52.498,52.498,390,0
2017-09-29,21:30:00,52.6699,52.6699,52.6699,52.6699,398,0
2017-09-29,21:40:00,52.66,52.66,52.66,52.66,398,0
2017-10-02,16:10:00,52.6099,52.6099,52.59,52.59,290,0
2017-10-03,15:35:00,52.65,52.65,52.65,52.65,200,0
2017-10-04,21:05:00,53.21,53.21,53.21,53.21,151,0
2017-10-05,20:50:00,53.43,53.43,53.43,53.43,100,0
2017-10-06,15:35:00,52.97,52.97,52.97,52.97,200,0
2017-10-06,17:45:00,53.0799,53.08,53.0799,53.08,596,0
2017-10-10,15:35:00,53.35,53.35,53.35,53.35,100,0
2017-10-13,15:35:00,54.06,54.06,54.06,54.06,100,0
2017-10-13,21:05:00,54.2799,54.28,54.2799,54.28,457,0
2017-10-16,18:45:00,54.215,54.215,54.215,54.215,100,0
2017-10-19,15:35:00,53.63,53.63,53.63,53.63,100,0
2017-10-19,19:25:00,53.5699,53.5699,53.5699,53.5699,145,0
2017-10-19,19:55:00,53.56,53.56,53.56,53.56,200,0
2017-10-19,21:45:00,53.62,53.62,53.62,53.62,145,0
2017-10-24,18:00:00,53.1799,53.1799,53.1799,53.1799,104,0
2017-10-24,18:40:00,53.16,53.16,53.16,53.16,104,0
2017-10-25,20:25:00,52.6399,52.6399,52.6399,52.6399,131,0
2017-10-25,20:55:00,52.64,52.64,52.64,52.64,131,0
2017-10-27,17:20:00,53.079,53.079,53.079,53.079,113,0
2017-10-30,21:00:00,52.7899,52.79,52.7899,52.79,226,0
2017-11-02,19:10:00,53.068,53.0699,53.068,53.0699,300,0
2017-11-03,18:15:00,52.81,52.81,52.81,52.81,100,0
2017-11-08,21:05:00,53.06,53.06,53.06,53.06,200,0
2017-11-09,19:35:00,52.8399,52.84,52.8399,52.84,1015,0
2017-11-09,19:40:00,52.8399,52.84,52.83,52.84,992,0
2017-11-09,21:15:00,52.8199,52.82,52.8199,52.82,458,0
2017-11-14,19:10:00,52.13,52.13,52.13,52.13,152,0
2017-11-14,19:40:00,52.0699,52.07,52.0699,52.07,1035,0
2017-11-14,21:25:00,52.01,52.01,52.01,52.01,700,0
2017-11-14,21:30:00,52.05,52.06,52.05,52.06,549,0
2017-11-15,16:10:00,51.565,51.6,51.565,51.6,5500,0
2017-11-15,18:50:00,51.7187,51.7187,51.7187,51.7187,100,0
2017-11-15,21:45:00,51.7699,51.77,51.7699,51.77,650,0
2017-11-16,16:10:00,52.3,52.3,52.3,52.3,1000,0
2017-11-16,19:35:00,52.59,52.59,52.59,52.59,500,0
2017-11-17,17:30:00,52.8699,52.8699,52.8699,52.8699,112,0
2017-11-17,17:35:00,52.865,52.865,52.865,52.865,100,0
2017-11-17,18:15:00,53,53,53,53,114,0
2017-11-17,19:00:00,53.0899,53.0899,53.0899,53.0899,272,0
2017-11-20,15:35:00,52.81,52.81,52.81,52.81,200,0
2017-11-20,16:40:00,52.9,52.9,52.9,52.9,112,0
2017-11-20,17:10:00,52.92,52.9201,52.92,52.9201,200,0
2017-11-20,19:40:00,53.02,53.02,53.02,53.02,100,0
2017-11-20,21:30:00,53.0899,53.13,53.0899,53.13,218,0
2017-11-20,21:40:00,53.095,53.095,53.095,53.095,706,0
2017-11-20,22:00:00,53.07,53.07,53.07,53.07,200,0
2017-11-21,16:10:00,53.6099,53.65,53.6099,53.65,300,0
2017-11-21,22:00:00,53.56,53.56,53.56,53.56,200,0
2017-11-22,22:00:00,53.84,53.84,53.84,53.84,300,0
2017-11-24,19:05:00,54,54,54,54,200,0
2017-11-27,22:00:00,53.54,53.54,53.54,53.54,200,0
2017-11-28,18:50:00,54.04,54.04,54.04,54.04,428,0
2017-11-28,19:00:00,54.0766,54.0766,54.0766,54.0766,203,0
2017-11-28,19:15:00,54.0743,54.0743,54.0743,54.0743,200,0
2017-11-28,22:00:00,53.92,53.92,53.92,53.92,200,0
2017-11-29,15:35:00,53.82,53.82,53.82,53.82,100,0
2017-11-29,20:10:00,53.52,53.52,53.52,53.52,193,0
2017-11-29,20:40:00,53.4899,53.4899,53.4899,53.4899,690,0
2017-11-29,20:45:00,53.52,53.52,53.52,53.52,690,0
2017-11-29,21:20:00,53.49,53.49,53.49,53.49,100,0
2017-11-29,21:35:00,53.44,53.44,53.44,53.44,6000,0
2017-11-29,21:55:00,53.4832,53.4832,53.4832,53.4832,109,0
2017-11-29,22:00:00,53.3,53.55,53.3,53.5294,831,0
2017-11-30,15:35:00,53.2,53.2,53.2,53.2,200,0
2017-11-30,18:00:00,52.9,52.9,52.89,52.89,200,0
2017-11-30,19:05:00,53.0518,53.0518,53.0518,53.0518,134,0
2017-11-30,20:05:00,52.9719,52.9719,52.9719,52.9719,251,0
2017-12-04,17:20:00,53.05,53.05,53.05,53.05,294,0
2017-12-04,20:30:00,53.1,53.1,53.1,53.1,179,0
2017-12-04,21:30:00,53.0099,53.0099,53.0099,53.0099,115,0
2017-12-05,15:35:00,53.31,53.31,53.31,53.31,400,0
2017-12-05,16:30:00,53.34,53.34,53.34,53.34,100,0
2017-12-05,16:35:00,53.36,53.36,53.36,53.36,100,0
2017-12-05,17:25:00,53.33,53.33,53.33,53.33,100,0
2017-12-05,17:40:00,53.36,53.36,53.36,53.36,100,0
2017-12-05,17:55:00,53.32,53.32,53.32,53.32,100,0
2017-12-05,19:40:00,53.3,53.3,53.3,53.3,100,0
2017-12-05,20:30:00,53.22,53.22,53.22,53.22,100,0
2017-12-05,20:55:00,53.14,53.14,53.14,53.14,100,0
2017-12-06,15:35:00,52.84,52.84,52.61,52.61,500,0
