Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,24.89,25.77,23.49,24,199418,0
2017-11-17,15:40:00,24.23,25.8099,24.23,25.5283,73625,0
2017-11-17,15:45:00,25.35,26.34,25.35,26.3,79684,0
2017-11-17,15:50:00,26.22,26.75,26.16,26.63,86414,0
2017-11-17,15:55:00,26.65,26.83,26.3,26.43,71349,0
2017-11-17,16:00:00,26.4,26.54,26.08,26.215,63100,0
2017-11-17,16:05:00,26.14,26.94,26.13,26.6334,57956,0
2017-11-17,16:10:00,26.71,26.94,26.65,26.92,41343,0
2017-11-17,16:15:00,26.79,26.95,26.71,26.8,39544,0
2017-11-17,16:20:00,26.79,26.89,26.5,26.611,29007,0
2017-11-17,16:25:00,26.65,26.8,26.62,26.65,29483,0
2017-11-17,16:30:00,26.64,26.75,26.49,26.57,32758,0
2017-11-17,16:35:00,26.54,26.64,26.48,26.544,26281,0
2017-11-17,16:40:00,26.5,26.78,26.48,26.5,31138,0
2017-11-17,16:45:00,26.5,27.14,26.36,26.95,52954,0
2017-11-17,16:50:00,26.95,27.29,26.73,26.79,45804,0
2017-11-17,16:55:00,26.869,27.08,26.81,26.885,19266,0
2017-11-17,17:00:00,26.8447,26.945,26.81,26.91,12357,0
2017-11-17,17:05:00,26.942,26.945,26.66,26.79,38542,0
2017-11-17,17:10:00,26.78,26.78,26.641,26.641,9150,0
2017-11-17,17:15:00,26.64,26.68,26.4,26.6,17581,0
2017-11-17,17:20:00,26.61,26.6425,26.58,26.5999,13607,0
2017-11-17,17:25:00,26.59,26.62,26.57,26.6,13048,0
2017-11-17,17:30:00,26.595,26.595,26.46,26.52,7146,0
2017-11-17,17:35:00,26.5,26.61,26.46,26.6,33666,0
2017-11-17,17:40:00,26.6,26.6099,26.4,26.4,20104,0
2017-11-17,17:45:00,26.39,26.65,26.34,26.34,37013,0
2017-11-17,17:50:00,26.33,26.645,26.33,26.6,38309,0
2017-11-17,17:55:00,26.6,26.79,26.6,26.75,21281,0
2017-11-17,18:00:00,26.75,26.75,26.595,26.595,20484,0
2017-11-17,18:05:00,26.6,26.6,26.43,26.575,10300,0
2017-11-17,18:10:00,26.6,26.65,26.51,26.6,30607,0
2017-11-17,18:15:00,26.6,26.6,26.28,26.28,30038,0
2017-11-17,18:20:00,26.305,26.605,26.2607,26.55,11688,0
2017-11-17,18:25:00,26.56,26.65,26.48,26.54,11615,0
2017-11-17,18:30:00,26.54,26.64,26.54,26.6,12342,0
2017-11-17,18:35:00,26.59,26.61,26.53,26.595,7300,0
2017-11-17,18:40:00,26.53,26.65,26.53,26.65,12542,0
2017-11-17,18:45:00,26.64,26.67,26.62,26.65,7849,0
2017-11-17,18:50:00,26.65,26.69,26.6108,26.6108,7851,0
2017-11-17,18:55:00,26.629,26.66,26.629,26.65,3400,0
2017-11-17,19:00:00,26.65,26.66,26.63,26.65,10151,0
2017-11-17,19:05:00,26.65,27.25,26.63,27.1756,25904,0
2017-11-17,19:10:00,27.16,27.3932,27.04,27.16,17694,0
2017-11-17,19:15:00,27.168,27.45,27.16,27.37,10591,0
2017-11-17,19:20:00,27.33,27.61,27.32,27.58,20064,0
2017-11-17,19:25:00,27.56,27.59,27.3,27.3,29869,0
2017-11-17,19:30:00,27.34,27.37,27.28,27.29,6364,0
2017-11-17,19:35:00,27.3,27.35,27.16,27.208,17642,0
2017-11-17,19:40:00,27.16,27.25,27.06,27.1032,12850,0
2017-11-17,19:45:00,27.03,27.265,26.91,27.2,23391,0
2017-11-17,19:50:00,27.19,27.25,27.08,27.09,9398,0
2017-11-17,19:55:00,27.08,27.19,27.06,27.08,5321,0
2017-11-17,20:00:00,27.08,27.11,26.861,26.93,23623,0
2017-11-17,20:05:00,26.95,27.14,26.92,26.935,12515,0
2017-11-17,20:10:00,26.93,27.18,26.9,26.9,15891,0
2017-11-17,20:15:00,27.01,27.05,26.88,26.885,20634,0
2017-11-17,20:20:00,26.97,27,26.86,27,20450,0
2017-11-17,20:25:00,26.97,27,26.94,26.94,7668,0
