Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-08,15:35:00,1.8,1.8,1.71,1.7383,30187,0
2017-11-08,15:40:00,1.7395,1.74,1.61,1.6149,91122,0
2017-11-08,15:45:00,1.61,1.61,1.531,1.5489,80576,0
2017-11-08,15:50:00,1.55,1.65,1.55,1.6453,35134,0
2017-11-08,15:55:00,1.6268,1.65,1.62,1.65,11505,0
2017-11-08,16:00:00,1.64,1.65,1.62,1.6347,13450,0
2017-11-08,16:05:00,1.6494,1.6494,1.5803,1.6,51150,0
2017-11-08,16:10:00,1.609,1.6099,1.53,1.53,14050,0
2017-11-08,16:15:00,1.53,1.5492,1.45,1.48,110291,0
2017-11-08,16:20:00,1.5374,1.63,1.45,1.4717,30148,0
2017-11-08,16:25:00,1.5,1.5,1.47,1.4928,4680,0
2017-11-08,16:30:00,1.5,1.5,1.47,1.47,7112,0
2017-11-08,16:35:00,1.4774,1.5,1.47,1.47,7860,0
2017-11-08,16:40:00,1.47,1.5,1.47,1.4979,12591,0
2017-11-08,16:45:00,1.499,1.529,1.4721,1.529,12709,0
2017-11-08,16:50:00,1.5249,1.53,1.5236,1.5236,6350,0
2017-11-08,17:00:00,1.51,1.52,1.51,1.5168,3383,0
2017-11-08,17:05:00,1.51,1.5284,1.51,1.5284,6101,0
2017-11-08,17:10:00,1.5101,1.5296,1.5101,1.5296,2385,0
2017-11-08,17:15:00,1.5198,1.5296,1.5101,1.5101,1634,0
2017-11-08,17:20:00,1.5101,1.5294,1.51,1.5294,15200,0
2017-11-08,17:25:00,1.5291,1.5291,1.525,1.525,2800,0
2017-11-08,17:30:00,1.5201,1.5201,1.52,1.52,350,0
2017-11-08,17:35:00,1.5299,1.5299,1.5299,1.5299,5000,0
2017-11-08,17:40:00,1.53,1.53,1.53,1.53,100,0
2017-11-08,17:45:00,1.5201,1.525,1.52,1.52,3660,0
2017-11-08,18:00:00,1.5199,1.5199,1.5,1.505,3670,0
2017-11-08,18:05:00,1.51,1.51,1.5001,1.5025,8850,0
2017-11-08,18:15:00,1.5114,1.52,1.51,1.5154,12100,0
2017-11-08,18:25:00,1.52,1.52,1.5162,1.52,1100,0
2017-11-08,18:35:00,1.529,1.529,1.529,1.529,590,0
2017-11-08,18:40:00,1.53,1.53,1.53,1.53,100,0
