Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-16,15:35:00,12.5,12.5,12.34,12.5,6435,0
2017-11-16,15:40:00,12.44,12.53,12.44,12.49,3892,0
2017-11-16,15:45:00,12.47,12.535,12.46,12.51,20650,0
2017-11-16,15:50:00,12.41,12.5,12.41,12.48,1433,0
2017-11-16,15:55:00,12.49,12.49,12.43,12.43,626,0
2017-11-16,16:00:00,12.46,12.46,12.43,12.43,1008,0
2017-11-16,16:05:00,12.475,12.475,12.46,12.46,855,0
2017-11-16,16:10:00,12.46,12.46,12.43,12.45,3500,0
2017-11-16,16:15:00,12.455,12.455,12.455,12.455,5700,0
2017-11-16,16:20:00,12.48,12.48,12.46,12.46,300,0
2017-11-16,16:25:00,12.44,12.44,12.33,12.33,7425,0
2017-11-16,16:30:00,12.31,12.35,12.27,12.31,3800,0
2017-11-16,16:35:00,12.31,12.41,12.29,12.4,10900,0
2017-11-16,16:40:00,12.39,12.4,12.38,12.38,1100,0
2017-11-16,16:45:00,12.36,12.36,12.36,12.36,100,0
2017-11-16,16:50:00,12.41,12.41,12.41,12.41,100,0
2017-11-16,16:55:00,12.4099,12.4099,12.4,12.408,700,0
2017-11-16,17:00:00,12.37,12.42,12.37,12.4,14790,0
2017-11-16,17:05:00,12.4,12.42,12.39,12.4,6300,0
2017-11-16,17:10:00,12.41,12.41,12.39,12.39,1400,0
2017-11-16,17:15:00,12.38,12.385,12.375,12.375,17108,0
2017-11-16,17:20:00,12.37,12.38,12.37,12.38,500,0
2017-11-16,17:25:00,12.38,12.39,12.375,12.38,1000,0
2017-11-16,17:30:00,12.385,12.39,12.385,12.385,400,0
2017-11-16,17:35:00,12.385,12.42,12.385,12.42,1400,0
2017-11-16,17:40:00,12.43,12.45,12.42,12.45,1585,0
2017-11-16,17:45:00,12.465,12.49,12.45,12.45,700,0
2017-11-16,17:50:00,12.465,12.465,12.45,12.45,500,0
2017-11-16,17:55:00,12.45,12.45,12.45,12.45,100,0
2017-11-16,18:00:00,12.44,12.44,12.39,12.39,1500,0
2017-11-16,18:05:00,12.4,12.45,12.4,12.45,13400,0
2017-11-16,18:10:00,12.45,12.455,12.44,12.45,1700,0
2017-11-16,18:15:00,12.45,12.45,12.45,12.45,200,0
2017-11-16,18:20:00,12.45,12.47,12.45,12.47,2500,0
2017-11-16,18:25:00,12.455,12.455,12.455,12.455,200,0
2017-11-16,18:35:00,12.44,12.44,12.41,12.41,1200,0
2017-11-16,18:40:00,12.42,12.42,12.42,12.42,700,0
2017-11-16,18:45:00,12.43,12.43,12.43,12.43,127,0
2017-11-16,18:50:00,12.41,12.41,12.41,12.41,100,0
2017-11-16,18:55:00,12.41,12.42,12.41,12.42,700,0
2017-11-16,19:00:00,12.44,12.45,12.44,12.45,300,0
2017-11-16,19:05:00,12.445,12.445,12.445,12.445,200,0
2017-11-16,19:10:00,12.44,12.44,12.44,12.44,100,0
2017-11-16,19:20:00,12.44,12.44,12.435,12.435,1000,0
2017-11-16,19:30:00,12.42,12.42,12.42,12.42,100,0
2017-11-16,19:35:00,12.42,12.42,12.41,12.41,600,0
2017-11-16,19:50:00,12.415,12.415,12.36,12.36,2901,0
2017-11-16,19:55:00,12.36,12.38,12.34,12.36,6236,0
2017-11-16,20:00:00,12.35,12.35,12.35,12.35,1400,0
2017-11-16,20:05:00,12.35,12.44,12.34,12.42,18666,0
2017-11-16,20:10:00,12.44,12.45,12.44,12.44,600,0
2017-11-16,20:15:00,12.43,12.45,12.43,12.45,5100,0
2017-11-16,20:20:00,12.45,12.45,12.34,12.4,4864,0
2017-11-16,20:25:00,12.4,12.4,12.33,12.38,1700,0
2017-11-16,20:30:00,12.36,12.399,12.36,12.36,1661,0
2017-11-16,20:35:00,12.36,12.38,12.35,12.37,1500,0
2017-11-16,20:40:00,12.37,12.46,12.37,12.46,1355,0
2017-11-16,20:45:00,12.46,12.46,12.39,12.43,3264,0
2017-11-16,20:50:00,12.44,12.45,12.44,12.45,1080,0
2017-11-16,20:55:00,12.44,12.48,12.44,12.48,50395,0
2017-11-16,21:00:00,12.49,12.49,12.45,12.45,4100,0
2017-11-16,21:05:00,12.44,12.44,12.43,12.43,9100,0
2017-11-16,21:10:00,12.45,12.46,12.44,12.45,1400,0
2017-11-16,21:15:00,12.445,12.445,12.445,12.445,200,0
2017-11-16,21:20:00,12.44,12.46,12.44,12.45,900,0
2017-11-16,21:25:00,12.45,12.46,12.44,12.45,26004,0
2017-11-16,21:30:00,12.445,12.45,12.44,12.44,1800,0
2017-11-16,21:35:00,12.43,12.45,12.43,12.44,1300,0
2017-11-16,21:40:00,12.44,12.45,12.44,12.45,3219,0
2017-11-16,21:45:00,12.445,12.445,12.4,12.4,3800,0
2017-11-16,21:50:00,12.405,12.41,12.4,12.405,3002,0
2017-11-16,21:55:00,12.4,12.41,12.36,12.36,8939,0
2017-11-16,22:00:00,12.37,12.42,12.35,12.39,99773,0
2017-11-17,15:35:00,12.38,12.38,12.38,12.38,400,0
2017-11-17,15:40:00,12.43,12.43,12.43,12.43,100,0
2017-11-17,15:45:00,12.43,12.44,12.4052,12.44,10845,0
2017-11-17,15:50:00,12.44,12.44,12.44,12.44,1202,0
2017-11-17,15:55:00,12.44,12.44,12.44,12.44,1596,0
2017-11-17,16:00:00,12.44,12.44,12.44,12.44,200,0
2017-11-17,16:05:00,12.44,12.44,12.44,12.44,100,0
2017-11-17,16:10:00,12.44,12.44,12.44,12.44,346,0
2017-11-17,16:15:00,12.44,12.5,12.44,12.5,39950,0
2017-11-17,16:20:00,12.5,12.5,12.5,12.5,4900,0
2017-11-17,16:25:00,12.5,12.5,12.49,12.5,8704,0
2017-11-17,16:35:00,12.5,12.5,12.5,12.5,400,0
2017-11-17,16:40:00,12.5,12.501,12.47,12.47,11196,0
2017-11-17,16:45:00,12.47,12.47,12.46,12.46,1900,0
2017-11-17,16:50:00,12.44,12.45,12.44,12.45,400,0
2017-11-17,16:55:00,12.41,12.41,12.41,12.41,500,0
2017-11-17,17:00:00,12.39,12.43,12.35,12.39,1200,0
2017-11-17,17:05:00,12.36,12.39,12.36,12.38,1100,0
2017-11-17,17:10:00,12.39,12.43,12.39,12.43,900,0
2017-11-17,17:15:00,12.39,12.43,12.39,12.43,200,0
2017-11-17,17:20:00,12.43,12.47,12.43,12.47,300,0
2017-11-17,17:25:00,12.49,12.5,12.46,12.46,1200,0
2017-11-17,17:30:00,12.475,12.5,12.46,12.475,29915,0
2017-11-17,17:35:00,12.47,12.5,12.46,12.5,28200,0
2017-11-17,17:40:00,12.48,12.5,12.48,12.5,2500,0
2017-11-17,17:45:00,12.5,12.5,12.47,12.5,300,0
2017-11-17,17:50:00,12.485,12.5,12.485,12.5,700,0
2017-11-17,18:00:00,12.5,12.5,12.5,12.5,100,0
2017-11-17,18:05:00,12.49,12.5,12.49,12.5,1199,0
2017-11-17,18:10:00,12.5,12.5,12.49,12.49,3200,0
2017-11-17,18:15:00,12.49,12.5,12.48,12.5,22500,0
2017-11-17,18:20:00,12.5,12.5,12.5,12.5,400,0
2017-11-17,18:25:00,12.5,12.5,12.5,12.5,800,0
