Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-27,15:35:00,5,5,5,5,324,0
2017-02-27,18:00:00,4.99,4.99,4.99,4.99,100,0
2017-02-27,20:05:00,4.99,4.99,4.99,4.99,100,0
2017-02-28,20:05:00,4.98,4.9897,4.98,4.9897,1000,0
2017-03-01,18:50:00,4.75,4.75,4.75,4.75,200,0
2017-03-01,18:55:00,4.7,4.71,4.64,4.64,2700,0
2017-03-01,19:10:00,4.719,4.72,4.7182,4.72,1800,0
2017-03-01,22:00:00,4.73,4.73,4.73,4.73,100,0
2017-03-02,15:50:00,4.8301,4.8308,4.72,4.72,5300,0
2017-03-02,15:55:00,4.72,4.75,4.72,4.75,399,0
2017-03-02,22:00:00,4.97,4.97,4.97,4.97,100,0
2017-03-06,15:35:00,4.5,4.5,4.5,4.5,475,0
2017-03-06,15:45:00,4.6,4.99,4.6,4.99,200,0
2017-03-07,15:35:00,4.9,4.9,4.9,4.9,103,0
2017-03-07,15:40:00,4.96,4.96,4.96,4.96,100,0
2017-03-07,20:40:00,4.657,4.657,4.657,4.657,500,0
2017-03-08,16:55:00,4.97,5,4.96,5,1792,0
2017-03-08,17:00:00,5.099,5.32,5.099,5.3,11100,0
2017-03-08,17:10:00,5.3505,5.3505,5.25,5.25,15063,0
2017-03-08,17:30:00,5.15,5.15,5.14,5.14,700,0
2017-03-08,17:50:00,5,5.01,4.76,4.76,5402,0
2017-03-08,19:20:00,5.137,5.137,5.137,5.137,1000,0
2017-03-08,19:25:00,5.137,5.137,5.137,5.137,520,0
2017-03-08,19:40:00,5.2299,5.2299,5.2299,5.2299,5000,0
2017-03-08,21:10:00,5.19,5.2,5.1455,5.2,800,0
2017-03-08,22:00:00,5.1,5.2,5.1,5.2,2400,0
2017-03-09,15:35:00,5.1,5.1,5.1,5.1,561,0
2017-03-09,16:30:00,5.034,5.034,5.034,5.034,1102,0
2017-03-09,16:35:00,4.9957,4.9957,4.97,4.9765,6250,0
2017-03-09,16:40:00,4.96,4.96,4.96,4.96,700,0
2017-03-09,16:45:00,4.96,4.96,4.96,4.96,300,0
2017-03-09,20:10:00,4.8,4.8,4.8,4.8,200,0
2017-03-09,22:00:00,4.9,4.9,4.8,4.8,500,0
2017-03-10,15:35:00,5.1,5.1,5.1,5.1,100,0
2017-03-10,18:45:00,5.01,5.01,5,5,700,0
2017-03-10,19:15:00,4.9,4.9,4.9,4.9,2500,0
2017-03-10,19:35:00,4.85,4.85,4.85,4.85,100,0
2017-03-10,19:50:00,4.87,4.87,4.87,4.87,500,0
2017-03-10,20:05:00,4.87,4.87,4.87,4.87,100,0
2017-03-10,20:10:00,4.869,4.899,4.8502,4.8985,3200,0
2017-03-10,20:15:00,4.92,4.92,4.92,4.92,200,0
2017-03-10,20:30:00,4.85,4.92,4.85,4.895,1502,0
2017-03-10,21:40:00,4.94,4.94,4.94,4.94,200,0
2017-03-10,21:45:00,5.08,5.08,5.05,5.05,2488,0
2017-03-10,22:00:00,5.1,5.1,4.82,4.82,310,0
2017-03-13,17:40:00,4.8663,4.8663,4.8663,4.8663,200,0
2017-03-15,14:35:00,5.18,5.18,5.18,5.18,225,0
2017-03-15,14:40:00,5.16,5.16,5.16,5.16,100,0
2017-03-15,16:15:00,4.91,4.91,4.91,4.91,4500,0
2017-03-15,17:05:00,4.95,4.95,4.8547,4.95,3700,0
2017-03-15,17:20:00,4.96,4.96,4.96,4.96,100,0
2017-03-15,17:30:00,5.1,5.125,5.1,5.11,1000,0
2017-03-15,17:35:00,5.1,5.17,5.1,5.17,4191,0
2017-03-15,17:40:00,5.11,5.11,5.11,5.11,400,0
2017-03-15,18:05:00,5.09,5.09,5.09,5.09,300,0
2017-03-15,18:10:00,5.09,5.09,5.09,5.09,300,0
2017-03-15,18:20:00,5.1,5.1,5.1,5.1,391,0
2017-03-15,18:25:00,5.1,5.1,5.1,5.1,300,0
2017-03-15,18:30:00,5.1,5.1,5.1,5.1,300,0
2017-03-15,18:40:00,5.1,5.1,5.1,5.1,300,0
2017-03-15,18:45:00,5.1,5.1,5.1,5.1,300,0
2017-03-15,18:55:00,5.1,5.1,5.1,5.1,300,0
2017-03-15,19:00:00,5.1,5.1,5.1,5.1,200,0
2017-03-15,19:20:00,5.1,5.15,5.05,5.15,1600,0
2017-03-15,20:25:00,5.1,5.1,5.1,5.1,100,0
2017-03-15,20:30:00,5.1,5.1,5.0887,5.0887,2000,0
2017-03-15,20:35:00,5.19,5.2,5.1748,5.1748,2128,0
2017-03-15,21:00:00,5.06,5.06,5.06,5.06,185,0
2017-03-16,15:50:00,5.0989,5.0989,5.0989,5.0989,500,0
2017-03-16,16:10:00,5,5,5,5,100,0
2017-03-16,17:45:00,4.9746,4.9746,4.9746,4.9746,230,0
2017-03-16,20:40:00,4.97,4.97,4.97,4.97,100,0
2017-03-16,21:00:00,4.97,4.97,4.97,4.97,100,0
2017-03-17,15:40:00,4.9624,4.9624,4.9624,4.9624,215,0
2017-03-17,21:00:00,4.98,4.98,4.82,4.82,1904,0
2017-03-20,14:35:00,4.76,4.76,4.76,4.76,131,0
2017-03-21,15:25:00,4.8023,4.8023,4.8023,4.8023,100,0
2017-03-21,16:15:00,4.8001,4.8001,4.8001,4.8001,130,0
2017-03-22,17:20:00,4.7572,4.7572,4.7572,4.7572,2000,0
2017-03-22,19:45:00,4.7577,4.7577,4.7577,4.7577,102,0
2017-03-22,21:00:00,4.97,4.97,4.97,4.97,100,0
2017-03-23,14:35:00,4.8,4.8,4.8,4.8,200,0
2017-03-27,19:00:00,4.7601,4.7601,4.7601,4.7601,100,0
2017-03-28,16:55:00,4.8493,4.8493,4.8493,4.8493,240,0
2017-03-28,22:00:00,4.76,4.76,4.76,4.76,113,0
2017-03-29,15:35:00,4.78,4.78,4.78,4.78,100,0
2017-03-29,16:40:00,4.78,4.78,4.78,4.78,100,0
2017-03-30,18:00:00,4.75,4.75,4.75,4.75,100,0
2017-03-30,21:50:00,4.86,4.86,4.86,4.86,100,0
2017-03-30,21:55:00,4.99,5.1,4.99,5.1,4204,0
2017-03-31,15:35:00,5.05,5.05,5.05,5.05,255,0
2017-03-31,16:55:00,5.05,5.054,5.05,5.05,3134,0
2017-03-31,17:00:00,5.05,5.05,5.05,5.05,1000,0
2017-03-31,17:15:00,5.05,5.05,5.05,5.05,400,0
2017-03-31,21:00:00,5.069,5.1,5.05,5.1,4694,0
2017-03-31,21:05:00,5.1063,5.11,5.1,5.1,2500,0
2017-03-31,21:30:00,5.1087,5.1087,5.1087,5.1087,300,0
2017-03-31,21:35:00,5.1,5.1,5.1,5.1,500,0
2017-03-31,21:40:00,5.1,5.12,5.1,5.1,3100,0
2017-03-31,21:45:00,5.1,5.1035,5.02,5.02,4538,0
2017-03-31,21:50:00,4.99,5,4.99,4.99,1400,0
2017-03-31,21:55:00,4.98,4.98,4.98,4.98,300,0
2017-04-03,15:35:00,5.03,5.03,5.03,5.03,200,0
2017-04-03,16:10:00,4.9211,4.9211,4.9211,4.9211,300,0
2017-04-03,18:35:00,5.0848,5.0848,5.0848,5.0848,500,0
2017-04-04,15:35:00,5,5,5,5,100,0
2017-04-04,15:40:00,5,5,5,5,1887,0
2017-04-04,17:05:00,5.02,5.02,5.02,5.02,100,0
2017-04-04,18:35:00,5.03,5.03,5.03,5.03,100,0
2017-04-05,15:35:00,4.99,4.99,4.99,4.99,101,0
2017-04-05,21:45:00,4.989,5,4.905,5,5000,0
2017-04-05,22:00:00,5,5,5,5,100,0
2017-04-06,16:10:00,5.07,5.2,5.07,5.2,3000,0
2017-04-06,20:50:00,5.15,5.15,5.15,5.15,100,0
2017-04-06,20:55:00,5.15,5.15,5.15,5.15,100,0
2017-04-07,15:35:00,5.2,5.2,5.2,5.2,100,0
2017-04-07,17:45:00,5.101,5.101,5.101,5.101,150,0
2017-04-07,20:50:00,4.8636,4.8636,4.8636,4.8636,1000,0
2017-04-07,21:55:00,5.2,5.2,5.2,5.2,100,0
2017-04-10,15:35:00,5,5,5,5,316,0
2017-04-10,15:40:00,5,5,5,5,151,0
2017-04-10,16:25:00,5,5.1,5,5.1,1604,0
2017-04-10,16:45:00,5.1,5.1,5.1,5.1,200,0
2017-04-10,18:05:00,5.1,5.1,5.1,5.1,100,0
2017-04-10,19:00:00,5.1,5.1,5.1,5.1,664,0
2017-04-10,20:35:00,5.1,5.2,5.1,5.2,5916,0
2017-04-10,21:00:00,5.1746,5.2,5.1746,5.2,260,0
2017-04-10,21:30:00,5.2,5.2,5.2,5.2,100,0
2017-04-10,22:00:00,5.08,5.08,5.08,5.08,100,0
2017-04-11,21:00:00,5.25,5.25,5.25,5.25,100,0
2017-04-11,22:00:00,5.11,5.11,5.11,5.11,157,0
2017-04-17,15:35:00,4.87,4.87,4.87,4.87,100,0
2017-04-17,16:50:00,4.9843,4.9843,4.9843,4.9843,126,0
2017-04-18,22:00:00,4.85,4.85,4.85,4.85,100,0
2017-04-19,18:45:00,4.8297,4.8297,4.8297,4.8297,100,0
2017-04-20,16:30:00,4.81,4.81,4.81,4.81,300,0
2017-04-20,17:25:00,4.9869,4.9869,4.82,4.835,3383,0
2017-04-20,17:45:00,4.93,4.93,4.83,4.83,600,0
2017-04-20,18:35:00,4.9075,4.9075,4.9075,4.9075,100,0
2017-04-21,17:40:00,4.8714,4.8714,4.8714,4.8714,158,0
2017-04-21,20:10:00,4.82,4.83,4.81,4.81,4032,0
2017-04-24,16:15:00,4.85,4.85,4.85,4.85,500,0
2017-04-24,16:20:00,4.86,4.86,4.86,4.86,100,0
2017-04-24,19:15:00,4.8579,4.8589,4.8579,4.8589,200,0
2017-04-24,21:15:00,4.8685,4.8685,4.8685,4.8685,1000,0
2017-04-24,21:25:00,4.8606,4.8606,4.8606,4.8606,1000,0
2017-04-25,22:00:00,4.8164,4.8164,4.8164,4.8164,105,0
2017-04-26,15:35:00,4.73,4.73,4.73,4.73,111,0
2017-04-26,17:25:00,4.8412,4.8412,4.8412,4.8412,300,0
2017-04-26,17:35:00,4.8673,4.8673,4.8673,4.8673,500,0
2017-04-26,17:40:00,4.7501,4.7501,4.7501,4.7501,100,0
2017-04-27,18:10:00,4.758,4.758,4.758,4.758,2000,0
2017-04-27,19:30:00,4.9999,4.9999,4.9999,4.9999,1000,0
2017-04-28,17:55:00,4.8899,4.8899,4.8899,4.8899,3000,0
2017-04-28,19:15:00,4.89,4.9,4.89,4.9,1000,0
2017-04-28,19:50:00,4.9093,4.9093,4.9,4.9,3070,0
2017-04-28,20:30:00,4.9,4.91,4.9,4.9093,2978,0
2017-04-28,22:00:00,5,5,5,5,100,0
2017-05-01,20:35:00,4.92,4.92,4.92,4.92,300,0
2017-05-02,17:45:00,4.837,4.837,4.837,4.837,100,0
2017-05-03,15:35:00,4.95,4.95,4.95,4.95,251,0
2017-05-03,19:05:00,4.8244,4.8244,4.8244,4.8244,2500,0
2017-05-03,19:20:00,4.84,4.84,4.8,4.8,1700,0
2017-05-03,19:25:00,4.71,4.7335,4.5,4.5,5443,0
2017-05-03,21:20:00,4.6,4.6,4.6,4.6,100,0
2017-05-03,21:45:00,4.7,4.7,4.7,4.7,915,0
2017-05-04,16:45:00,4.84,4.84,4.84,4.84,400,0
2017-05-05,16:00:00,4.635,4.635,4.635,4.635,200,0
2017-05-05,17:05:00,4.581,4.581,4.58,4.58,200,0
2017-05-05,21:35:00,4.6501,4.6532,4.6501,4.6532,1390,0
2017-05-08,16:35:00,4.75,4.75,4.75,4.75,200,0
2017-05-08,16:55:00,4.83,4.85,4.83,4.85,4904,0
2017-05-08,17:40:00,4.85,4.85,4.85,4.85,275,0
2017-05-08,18:55:00,4.8753,4.8753,4.8753,4.8753,100,0
2017-05-08,20:25:00,4.77,4.77,4.77,4.77,100,0
2017-05-08,21:05:00,4.8351,4.8351,4.8351,4.8351,475,0
2017-05-10,16:10:00,4.8663,4.8663,4.8663,4.8663,1000,0
2017-05-10,16:15:00,4.9853,4.9853,4.9853,4.9853,1000,0
2017-05-10,16:20:00,4.7166,4.7166,4.7166,4.7166,250,0
2017-05-10,17:15:00,4.8609,4.8609,4.8609,4.8609,1000,0
2017-05-10,20:45:00,4.858,4.858,4.858,4.858,1000,0
2017-05-11,16:05:00,4.85,4.85,4.5705,4.5705,2402,0
2017-05-11,18:10:00,4.9753,4.9753,4.9753,4.9753,1000,0
2017-05-11,20:20:00,4.721,4.721,4.721,4.721,450,0
2017-05-11,21:30:00,4.93,4.93,4.93,4.93,100,0
2017-05-11,21:55:00,4.89,4.89,4.89,4.89,100,0
2017-05-12,15:35:00,4.65,4.65,4.4999,4.4999,2750,0
2017-05-12,16:15:00,4.5649,4.6,4.5649,4.6,6264,0
2017-05-12,16:30:00,4.6,4.6,4.6,4.6,300,0
2017-05-12,16:50:00,4.13,4.13,3.72,3.72,500,0
2017-05-12,19:05:00,4,4,4,4,6254,0
2017-05-15,15:35:00,4.06,4.06,4.06,4.06,253,0
2017-05-15,17:20:00,4.64,4.64,4.64,4.64,2500,0
2017-05-15,17:30:00,4.57,4.57,4.57,4.57,300,0
2017-05-15,18:15:00,4.58,4.6,4.58,4.6,736,0
2017-05-15,18:25:00,4.59,4.59,4.59,4.59,200,0
2017-05-15,18:45:00,4.5848,4.5848,4.58,4.58,3200,0
2017-05-15,18:55:00,4.6,4.6,4.58,4.58,400,0
2017-05-15,19:00:00,4.33,4.33,4.33,4.33,200,0
2017-05-15,19:05:00,4.35,4.35,4.3301,4.3301,2000,0
2017-05-15,19:15:00,4.34,4.36,4.34,4.36,300,0
2017-05-15,19:20:00,4.4991,4.5399,4.4991,4.5399,3223,0
2017-05-15,19:25:00,4.38,4.38,4.38,4.38,200,0
2017-05-15,21:00:00,4.4844,4.4844,4.4844,4.4844,150,0
2017-05-15,21:20:00,4.42,4.42,4.42,4.42,200,0
2017-05-15,21:25:00,4.3975,4.3975,4.3975,4.3975,1060,0
2017-05-15,21:50:00,4.4,4.4,4.4,4.4,300,0
2017-05-15,21:55:00,4.44,4.44,4.44,4.44,100,0
2017-05-17,16:55:00,4.15,4.15,4.14,4.1492,600,0
2017-05-18,17:00:00,4.1,4.1,4.1,4.1,544,0
2017-05-18,19:35:00,4.334,4.373,4.217,4.217,3500,0
2017-05-19,18:05:00,4.44,4.44,4.44,4.44,800,0
2017-05-19,20:25:00,4.1001,4.1001,4.1001,4.1001,150,0
2017-05-19,21:10:00,4.1627,4.1627,4.1627,4.1627,500,0
2017-05-19,21:35:00,4.1001,4.1001,4.1001,4.1001,160,0
2017-05-22,20:35:00,4.1406,4.1406,4.1406,4.1406,130,0
2017-05-23,15:35:00,4.31,4.31,4.31,4.31,211,0
2017-05-25,22:00:00,4.11,4.11,4.11,4.11,100,0
2017-05-30,18:55:00,4.1084,4.1084,4.1084,4.1084,250,0
2017-05-31,16:10:00,4.2287,4.2287,4.2287,4.2287,202,0
2017-06-01,16:10:00,4.3026,4.3026,4.3026,4.3026,2000,0
2017-06-01,16:40:00,4.34,4.34,4.34,4.34,100,0
2017-06-01,17:15:00,4.35,4.35,4.35,4.35,100,0
2017-06-01,19:00:00,4.3499,4.3499,4.3499,4.3499,500,0
2017-06-01,21:40:00,4.35,4.35,4.35,4.35,114,0
2017-06-01,22:00:00,4.3,4.3,4.3,4.3,432,0
2017-06-05,15:35:00,4.02,4.02,4.02,4.02,100,0
2017-06-05,19:45:00,4.23,4.25,4.22,4.22,954,0
2017-06-06,16:55:00,4.005,4.005,4.005,4.005,2586,0
2017-06-06,17:00:00,4.09,4.09,4.09,4.09,100,0
2017-06-06,18:05:00,4.4,4.4,4.4,4.4,200,0
2017-06-06,18:10:00,4.48,4.53,4.48,4.53,1900,0
2017-06-06,18:20:00,4.73,4.73,4.67,4.67,3200,0
2017-06-06,18:50:00,4.4523,4.4523,4.4523,4.4523,162,0
2017-06-06,19:00:00,4.6197,4.6197,4.6197,4.6197,300,0
2017-06-06,21:00:00,4.48,4.4845,4.4545,4.4545,2300,0
2017-06-07,15:35:00,4.37,4.37,4.37,4.37,258,0
2017-06-07,15:45:00,4.08,4.08,4.08,4.08,100,0
2017-06-07,16:40:00,4.3999,4.3999,4.35,4.35,3160,0
2017-06-08,19:55:00,4.16,4.16,4.16,4.16,300,0
2017-06-08,20:35:00,4.52,4.52,4.52,4.52,2000,0
2017-06-08,22:00:00,4.13,4.13,4.13,4.13,300,0
2017-06-09,15:50:00,4.11,4.11,4.11,4.11,100,0
2017-06-09,16:10:00,4.1,4.1,4.1,4.1,700,0
2017-06-09,16:25:00,4.2352,4.2352,4.2,4.2,394,0
2017-06-09,16:45:00,4.2,4.55,4.2,4.55,2800,0
2017-06-09,16:50:00,4.5403,4.5403,4.5403,4.5403,1100,0
2017-06-09,19:05:00,4.1406,4.1406,4.11,4.11,1540,0
2017-06-09,19:10:00,4.13,4.13,4.13,4.13,200,0
2017-06-09,19:15:00,4.1,4.1,4.1,4.1,100,0
2017-06-09,19:30:00,4.287,4.287,4.287,4.287,300,0
2017-06-09,19:55:00,4.285,4.285,4.285,4.285,100,0
2017-06-09,20:25:00,4.12,4.12,3.9,3.9,3019,0
2017-06-09,22:00:00,4.2592,4.2592,4.2592,4.2592,100,0
2017-06-12,15:35:00,4.26,4.26,4.26,4.26,100,0
2017-06-12,15:55:00,4.11,4.11,4.11,4.11,100,0
2017-06-12,16:00:00,4.262,4.262,4.262,4.262,800,0
