Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,24.08,24.15,24.07,24.15,115731,0
2017-11-17,15:40:00,24.145,24.17,24.11,24.12,51030,0
2017-11-17,15:45:00,24.13,24.1301,24.065,24.1,40712,0
2017-11-17,15:50:00,24.09,24.1,24.035,24.08,25334,0
2017-11-17,15:55:00,24.07,24.12,24.07,24.1,26536,0
2017-11-17,16:00:00,24.09,24.13,24.08,24.1275,20888,0
2017-11-17,16:05:00,24.13,24.13,24.06,24.0984,32257,0
2017-11-17,16:10:00,24.09,24.09,24.045,24.05,33708,0
2017-11-17,16:15:00,24.045,24.06,24.01,24.03,15967,0
2017-11-17,16:20:00,24.025,24.03,23.98,24.0132,33231,0
2017-11-17,16:25:00,24.01,24.0452,24.01,24.04,16807,0
2017-11-17,16:30:00,24.03,24.03,23.99,24.01,26608,0
2017-11-17,16:35:00,24.02,24.03,24,24.01,23471,0
2017-11-17,16:40:00,24.01,24.03,24.01,24.02,12914,0
2017-11-17,16:45:00,24.01,24.035,24.0001,24.03,16608,0
2017-11-17,16:50:00,24.025,24.0762,24.025,24.0762,19667,0
2017-11-17,16:55:00,24.07,24.11,24.063,24.0988,11428,0
2017-11-17,17:00:00,24.105,24.13,24.0993,24.125,29865,0
2017-11-17,17:05:00,24.125,24.14,24.11,24.11,16997,0
2017-11-17,17:10:00,24.11,24.1161,24.07,24.075,20412,0
2017-11-17,17:15:00,24.07,24.08,24.03,24.07,27255,0
2017-11-17,17:20:00,24.08,24.095,24.0653,24.0799,11210,0
2017-11-17,17:25:00,24.085,24.105,24.075,24.08,10246,0
2017-11-17,17:30:00,24.08,24.09,24.0458,24.05,18067,0
2017-11-17,17:35:00,24.06,24.07,24.02,24.02,43157,0
2017-11-17,17:40:00,24.02,24.03,24,24.0065,39449,0
2017-11-17,17:45:00,24.005,24.035,24.0035,24.0285,9586,0
2017-11-17,17:50:00,24.029,24.06,24.029,24.04,10365,0
2017-11-17,17:55:00,24.0425,24.06,24.04,24.06,8172,0
2017-11-17,18:00:00,24.07,24.075,24.05,24.07,9998,0
2017-11-17,18:05:00,24.07,24.07,24.02,24.025,17951,0
2017-11-17,18:10:00,24.02,24.04,24.015,24.0253,11062,0
2017-11-17,18:15:00,24.025,24.09,24.02,24.08,40618,0
2017-11-17,18:20:00,24.08,24.08,24.035,24.04,19911,0
2017-11-17,18:25:00,24.0499,24.0663,24.04,24.0663,5548,0
2017-11-17,18:30:00,24.07,24.0858,24.0558,24.07,4769,0
2017-11-17,18:35:00,24.07,24.08,24.0499,24.08,6749,0
2017-11-17,18:40:00,24.075,24.075,24.06,24.07,5459,0
2017-11-17,18:45:00,24.0792,24.08,24.055,24.06,6670,0
2017-11-17,18:50:00,24.06,24.08,24.06,24.066,5274,0
2017-11-17,18:55:00,24.07,24.07,24.0535,24.0538,6638,0
