Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,10.85,10.85,10.76,10.7917,10941,0
2017-11-17,15:40:00,10.8,10.8,10.8,10.8,300,0
2017-11-17,15:45:00,10.85,10.855,10.76,10.77,8460,0
2017-11-17,15:50:00,10.75,10.83,10.75,10.83,700,0
2017-11-17,15:55:00,10.84,10.86,10.84,10.86,1300,0
2017-11-17,16:00:00,10.91,10.91,10.91,10.91,100,0
2017-11-17,16:05:00,10.89,10.89,10.85,10.87,2225,0
2017-11-17,16:10:00,10.86,10.87,10.86,10.86,1000,0
2017-11-17,16:15:00,10.855,10.855,10.82,10.83,3000,0
2017-11-17,16:20:00,10.81,10.84,10.79,10.83,5700,0
2017-11-17,16:25:00,10.83,10.83,10.8,10.8,4516,0
2017-11-17,16:30:00,10.79,10.8,10.79,10.8,2700,0
2017-11-17,16:35:00,10.81,10.81,10.79,10.79,900,0
2017-11-17,16:40:00,10.7925,10.7925,10.79,10.7925,1100,0
2017-11-17,16:45:00,10.79,10.84,10.79,10.83,1600,0
2017-11-17,16:50:00,10.83,10.84,10.83,10.83,400,0
2017-11-17,16:55:00,10.84,10.9,10.84,10.86,2799,0
2017-11-17,17:00:00,10.85,10.86,10.82,10.83,1769,0
2017-11-17,17:05:00,10.85,10.85,10.85,10.85,100,0
2017-11-17,17:10:00,10.86,10.89,10.86,10.89,500,0
2017-11-17,17:15:00,10.92,10.94,10.91,10.94,700,0
2017-11-17,17:20:00,10.95,10.95,10.95,10.95,100,0
2017-11-17,17:25:00,10.94,11,10.94,11,1600,0
2017-11-17,17:30:00,10.98,11,10.98,11,1000,0
2017-11-17,17:35:00,11.01,11.06,11.01,11.06,1500,0
2017-11-17,17:40:00,11.06,11.06,11.04,11.04,1000,0
2017-11-17,17:45:00,11.02,11.08,11.02,11.08,500,0
2017-11-17,17:50:00,11.09,11.12,11.09,11.11,600,0
2017-11-17,17:55:00,11.11,11.11,11.03,11.04,1209,0
2017-11-17,18:00:00,11.04,11.04,11.03,11.03,300,0
2017-11-17,18:05:00,11.05,11.05,11.05,11.05,100,0
2017-11-17,18:10:00,11.05,11.09,11.05,11.09,700,0
2017-11-17,18:15:00,11.08,11.12,11.08,11.12,3700,0
2017-11-17,18:20:00,11.11,11.13,11.11,11.13,400,0
2017-11-17,18:25:00,11.13,11.1325,11.12,11.12,1157,0
2017-11-17,18:30:00,11.12,11.13,11.11,11.13,1818,0
2017-11-17,18:35:00,11.12,11.12,11.1,11.1,945,0
2017-11-17,18:40:00,11.1,11.1,11.09,11.09,1200,0
2017-11-17,18:45:00,11.12,11.14,11.12,11.14,500,0
2017-11-17,18:50:00,11.15,11.15,11.13,11.13,776,0
2017-11-17,18:55:00,11.1353,11.14,11.12,11.14,3018,0
2017-11-17,19:00:00,11.15,11.1648,11.15,11.1648,1100,0
2017-11-17,19:05:00,11.19,11.22,11.19,11.22,700,0
2017-11-17,19:10:00,11.24,11.24,11.18,11.18,3452,0
2017-11-17,19:15:00,11.18,11.19,11.16,11.16,4471,0
2017-11-17,19:20:00,11.16,11.16,11.15,11.15,653,0
2017-11-17,19:25:00,11.14,11.14,11.14,11.14,113,0
2017-11-17,19:30:00,11.12,11.14,11.12,11.14,400,0
2017-11-17,19:35:00,11.14,11.17,11.14,11.17,5000,0
2017-11-17,19:45:00,11.18,11.18,11.16,11.17,400,0
2017-11-17,19:50:00,11.16,11.17,11.14,11.17,1000,0
2017-11-17,19:55:00,11.16,11.16,11.15,11.15,200,0
2017-11-17,20:00:00,11.13,11.13,11.13,11.13,300,0
2017-11-17,20:05:00,11.13,11.14,11.13,11.13,699,0
2017-11-17,20:10:00,11.12,11.12,11.12,11.12,300,0
2017-11-17,20:20:00,11.12,11.12,11.1,11.1,500,0
2017-11-17,20:25:00,11.1,11.1,11.1,11.1,100,0
2017-11-17,20:30:00,11.1,11.16,11.1,11.16,10360,0
2017-11-17,20:35:00,11.16,11.17,11.16,11.17,800,0
2017-11-17,20:40:00,11.17,11.18,11.17,11.18,500,0
2017-11-17,20:45:00,11.16,11.18,11.16,11.17,1864,0
2017-11-17,20:50:00,11.17,11.18,11.1585,11.16,3100,0
2017-11-17,20:55:00,11.16,11.16,11.15,11.15,2000,0
2017-11-17,21:00:00,11.14,11.17,11.13,11.17,1000,0
2017-11-17,21:05:00,11.15,11.15,11.13,11.14,900,0
2017-11-17,21:10:00,11.13,11.14,11.13,11.13,600,0
2017-11-17,21:15:00,11.13,11.1425,11.125,11.125,2200,0
2017-11-17,21:20:00,11.11,11.11,11.1,11.1,1500,0
2017-11-17,21:25:00,11.11,11.1112,11.09,11.1,4700,0
2017-11-17,21:30:00,11.1,11.13,11.1,11.13,1600,0
2017-11-17,21:35:00,11.12,11.13,11.12,11.13,700,0
2017-11-17,21:40:00,11.13,11.15,11.12,11.15,2596,0
2017-11-17,21:45:00,11.16,11.19,11.14,11.14,4402,0
2017-11-17,21:50:00,11.13,11.15,11.13,11.14,1999,0
2017-11-17,21:55:00,11.14,11.15,11.13,11.15,2200,0
2017-11-17,22:00:00,11.15,11.15,11.12,11.13,19451,0
2017-11-20,15:35:00,11.13,11.28,11.02,11.28,1987,0
2017-11-20,15:40:00,11.225,11.34,11.225,11.32,1300,0
2017-11-20,15:45:00,11.24,11.25,11.24,11.24,300,0
2017-11-20,15:50:00,11.25,11.25,11.19,11.19,2200,0
2017-11-20,15:55:00,11.18,11.18,11.18,11.18,100,0
2017-11-20,16:00:00,11.13,11.22,11.13,11.22,700,0
2017-11-20,16:05:00,11.2311,11.2311,11.17,11.17,1900,0
2017-11-20,16:10:00,11.16,11.16,11.16,11.16,500,0
2017-11-20,16:15:00,11.16,11.175,11.13,11.13,1200,0
2017-11-20,16:20:00,11.13,11.18,11.13,11.18,775,0
2017-11-20,16:25:00,11.18,11.2,11.15,11.2,1105,0
2017-11-20,16:30:00,11.19,11.2,11.175,11.2,700,0
2017-11-20,16:35:00,11.19,11.22,11.16,11.18,4451,0
2017-11-20,16:45:00,11.19,11.19,11.19,11.19,100,0
2017-11-20,16:50:00,11.21,11.21,11.21,11.21,100,0
2017-11-20,16:55:00,11.21,11.22,11.205,11.22,700,0
2017-11-20,17:00:00,11.22,11.225,11.22,11.225,800,0
2017-11-20,17:05:00,11.22,11.22,11.18,11.22,4671,0
2017-11-20,17:10:00,11.21,11.21,11.21,11.21,1200,0
2017-11-20,17:20:00,11.21,11.21,11.19,11.21,1287,0
2017-11-20,17:25:00,11.2,11.2,11.2,11.2,200,0
2017-11-20,17:35:00,11.19,11.19,11.14,11.16,2909,0
2017-11-20,17:40:00,11.17,11.17,11.165,11.17,400,0
2017-11-20,17:45:00,11.18,11.18,11.14,11.14,900,0
