Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-30,18:30:00,25.596,25.596,25.596,25.596,105,0
2016-06-30,20:15:00,25.662,25.662,25.662,25.662,105,0
2016-06-30,20:25:00,25.662,25.662,25.662,25.662,105,0
2016-07-05,18:45:00,25.998,25.998,25.998,25.998,312,0
2016-07-06,20:55:00,26.07,26.07,26.07,26.07,574,0
2016-07-07,19:00:00,25.711,25.711,25.711,25.711,105,0
2016-07-07,20:40:00,25.662,25.662,25.662,25.662,105,0
2016-07-07,22:00:00,25.652,25.652,25.652,25.652,105,0
2016-07-08,16:10:00,25.547,25.547,25.547,25.547,105,0
2016-07-12,18:00:00,25.643,25.643,25.643,25.643,312,0
2016-07-14,15:35:00,25.672,25.672,25.672,25.672,113,0
2016-07-14,15:40:00,25.577,25.577,25.577,25.577,209,0
2016-07-14,16:05:00,25.652,25.652,25.652,25.652,105,0
2016-07-14,17:05:00,25.567,25.567,25.567,25.567,105,0
2016-07-14,19:05:00,25.557,25.557,25.557,25.557,105,0
2016-07-14,20:50:00,25.577,25.577,25.577,25.577,679,0
2016-07-20,19:50:00,25.534,25.538,25.526,25.526,1249,0
2016-07-21,16:00:00,25.489,25.489,25.489,25.489,245,0
2016-07-27,15:35:00,25.624,25.624,25.624,25.624,312,0
2016-07-27,19:10:00,25.451,25.451,25.451,25.451,105,0
2016-08-05,20:15:00,25.022,25.022,25.022,25.022,833,0
2016-08-18,16:35:00,24.875,24.875,24.875,24.875,194,0
2016-08-19,17:40:00,24.693,24.693,24.693,24.693,115,0
2016-08-22,15:35:00,24.942,24.942,24.942,24.942,245,0
2016-08-26,16:05:00,24.875,24.875,24.875,24.875,194,0
2016-08-30,19:50:00,24.368,24.368,24.368,24.368,194,0
2016-08-30,21:50:00,24.317,24.317,24.317,24.317,197,0
2016-09-12,15:50:00,24.064,24.064,24.064,24.064,312,0
2016-09-22,15:35:00,25.154,25.154,25.154,25.154,232,0
2016-09-29,20:20:00,24.617,24.617,24.617,24.617,2067,0
2016-10-17,17:15:00,23.909,23.909,23.909,23.909,259,0
2016-10-20,20:50:00,24.104,24.104,24.104,24.104,258,0
2016-10-27,21:55:00,24.067,24.067,24.067,24.067,413,0
2016-11-18,17:15:00,23.223,23.223,23.223,23.223,178,0
2016-11-21,17:05:00,23.319,23.319,23.319,23.319,207,0
2016-11-21,17:10:00,23.319,23.319,23.319,23.319,104,0
2016-11-25,19:15:00,23.319,23.319,23.319,23.319,0,0
2016-11-29,15:35:00,24.104,24.104,24.104,24.104,1447,0
2016-12-13,19:10:00,24.375,24.375,24.373,24.373,409,0
2016-12-13,19:35:00,24.391,24.391,24.391,24.391,409,0
2016-12-16,17:40:00,24.473,24.501,24.473,24.473,1141,0
2016-12-20,18:30:00,24.558,24.558,24.558,24.558,785,0
2016-12-23,15:45:00,24.552,24.552,24.552,24.552,205,0
2016-12-30,17:25:00,24.661,24.661,24.661,24.661,205,0
2016-12-30,17:45:00,24.655,24.655,24.655,24.655,172,0
2016-12-30,17:50:00,24.679,24.679,24.679,24.679,103,0
2017-01-06,19:40:00,24.631,24.631,24.631,24.631,513,0
2017-01-09,17:10:00,24.524,24.524,24.524,24.524,282,0
2017-01-09,18:20:00,24.392,24.392,24.392,24.392,410,0
2017-01-13,16:50:00,24.445,24.482,24.445,24.482,820,0
2017-01-18,17:15:00,24.748,24.748,24.724,24.724,531,0
2017-01-19,18:40:00,24.557,24.557,24.557,24.557,410,0
2017-01-25,20:35:00,24.318,24.318,24.318,24.318,438,0
2017-01-31,18:50:00,24.651,24.651,24.651,24.651,410,0
2017-02-03,15:35:00,24.651,24.651,24.651,24.651,103,0
2017-02-03,22:00:00,24.651,24.651,24.651,24.651,0,0
2017-02-09,17:05:00,24.651,24.651,24.629,24.629,460,0
2017-02-16,16:55:00,24.758,24.758,24.758,24.758,103,0
2017-02-16,18:15:00,24.778,24.778,24.778,24.778,103,0
2017-03-01,19:20:00,25.86,25.86,25.86,25.86,410,0
2017-03-02,21:35:00,25.977,25.977,25.977,25.977,410,0
2017-03-06,18:30:00,25.822,25.822,25.822,25.822,179,0
2017-03-13,15:00:00,25.568,25.568,25.568,25.568,513,0
2017-03-13,19:30:00,25.558,25.558,25.558,25.558,179,0
2017-03-14,15:10:00,25.616,25.616,25.616,25.616,205,0
2017-03-16,20:40:00,25.635,25.635,25.618,25.618,717,0
2017-03-20,17:45:00,25.636,25.636,25.636,25.636,103,0
2017-03-23,15:30:00,26.182,26.182,26.182,26.182,820,0
2017-03-24,17:35:00,26.2,26.2,26.2,26.2,102,0
2017-03-24,19:35:00,26.143,26.143,26.143,26.143,171,0
2017-03-29,16:35:00,25.864,25.864,25.864,25.864,102,0
2017-04-26,15:35:00,25.84,25.84,25.84,25.84,204,0
2017-05-15,15:40:00,25.84,25.84,25.84,25.84,305,0
2017-05-19,20:15:00,25.977,25.997,25.977,25.997,814,0
2017-05-22,18:25:00,26.184,26.184,26.184,26.184,407,0
2017-05-25,18:40:00,26.676,26.676,26.676,26.676,102,0
2017-05-26,15:50:00,26.695,26.695,26.695,26.695,102,0
2017-05-26,17:50:00,26.74,26.74,26.74,26.74,102,0
2017-05-30,21:05:00,26.813,26.813,26.813,26.813,665,0
2017-05-31,18:45:00,26.921,26.921,26.921,26.921,105,0
2017-06-26,16:45:00,27.089,27.089,27.089,27.089,110,0
2017-06-28,18:50:00,26.69,26.69,26.69,26.69,101,0
2017-06-29,21:45:00,26.294,26.294,26.294,26.294,101,0
2017-06-30,20:40:00,26.265,26.292,26.265,26.292,808,0
2017-07-03,19:15:00,26.292,26.292,26.292,26.292,0,0
2017-07-10,18:30:00,25.957,25.957,25.957,25.957,109,0
2017-07-18,21:00:00,26.23,26.23,26.23,26.23,202,0
2017-07-28,21:20:00,26.591,26.591,26.591,26.591,303,0
2017-08-25,17:40:00,27.502,27.502,27.502,27.502,808,0
2017-09-01,16:50:00,27.334,27.334,27.334,27.334,101,0
2017-09-11,16:15:00,27.73,27.73,27.704,27.704,1010,0
2017-09-11,20:15:00,27.76,27.76,27.76,27.76,104,0
2017-09-14,18:50:00,27.364,27.364,27.364,27.364,101,0
2017-09-14,22:00:00,27.423,27.423,27.423,27.423,101,0
2017-09-18,20:05:00,27.059,27.059,27.059,27.059,101,0
2017-09-19,16:20:00,27.126,27.164,27.126,27.164,1010,0
2017-09-20,16:50:00,27.176,27.176,27.14,27.14,580,0
2017-09-26,21:00:00,26.97,26.97,26.97,26.97,100,0
2017-10-03,16:30:00,26.5,26.5,26.4925,26.4925,258,0
2017-10-04,18:30:00,26.751,26.751,26.751,26.751,1364,0
2017-10-05,21:25:00,26.8064,26.8064,26.8064,26.8064,200,0
2017-10-06,17:25:00,26.7001,26.7001,26.7001,26.7001,200,0
2017-10-12,15:40:00,27.29,27.29,27.29,27.29,100,0
2017-10-12,16:00:00,27.33,27.33,27.33,27.33,100,0
2017-10-12,16:50:00,27.41,27.41,27.41,27.41,200,0
2017-10-12,17:15:00,27.37,27.37,27.37,27.37,100,0
2017-10-12,17:50:00,27.37,27.37,27.37,27.37,100,0
2017-10-12,18:25:00,27.34,27.34,27.34,27.34,100,0
2017-10-12,19:05:00,27.4,27.4,27.4,27.4,100,0
2017-10-12,19:50:00,27.42,27.42,27.42,27.42,100,0
