Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-16,15:35:00,14.582,14.631,14.582,14.631,926,0
2017-11-16,15:40:00,14.582,14.75,14.582,14.75,1562,0
2017-11-16,15:45:00,14.731,14.731,14.731,14.731,1210,0
2017-11-16,15:55:00,14.78,14.83,14.78,14.83,605,0
2017-11-16,16:00:00,14.83,14.83,14.78,14.78,403,0
2017-11-16,16:05:00,14.78,14.78,14.78,14.78,101,0
2017-11-16,16:10:00,14.78,14.83,14.731,14.731,3021,0
2017-11-16,16:15:00,14.731,14.78,14.731,14.78,302,0
2017-11-16,16:20:00,14.755,14.78,14.755,14.78,1411,0
2017-11-16,16:25:00,14.78,14.805,14.731,14.731,1109,0
2017-11-16,16:30:00,14.78,14.83,14.78,14.83,5372,0
2017-11-16,16:35:00,14.83,14.83,14.78,14.83,1008,0
2017-11-16,16:40:00,14.805,14.83,14.78,14.78,2167,0
2017-11-16,16:45:00,14.805,14.855,14.681,14.681,7627,0
2017-11-16,16:50:00,14.701,14.701,14.681,14.681,554,0
2017-11-16,16:55:00,14.681,14.706,14.681,14.706,302,0
2017-11-16,17:00:00,14.706,14.706,14.706,14.706,101,0
2017-11-16,17:05:00,14.681,14.681,14.681,14.681,101,0
2017-11-16,17:10:00,14.731,14.78,14.731,14.78,1815,0
2017-11-16,17:15:00,14.78,14.83,14.78,14.83,403,0
2017-11-16,17:20:00,14.805,14.83,14.805,14.805,403,0
2017-11-16,17:25:00,14.8,14.83,14.78,14.83,1980,0
2017-11-16,17:30:00,14.83,14.83,14.83,14.83,101,0
2017-11-16,17:35:00,14.78,14.83,14.731,14.731,1915,0
2017-11-16,17:40:00,14.731,14.731,14.731,14.731,302,0
2017-11-16,17:45:00,14.731,14.755,14.731,14.731,403,0
2017-11-16,17:50:00,14.731,14.78,14.731,14.731,1008,0
2017-11-16,17:55:00,14.681,14.731,14.681,14.706,302,0
2017-11-16,18:00:00,14.681,14.731,14.681,14.731,302,0
2017-11-16,18:05:00,14.681,14.731,14.681,14.706,504,0
2017-11-16,18:10:00,14.681,14.706,14.681,14.681,302,0
2017-11-16,18:15:00,14.731,14.731,14.731,14.731,101,0
2017-11-16,18:20:00,14.681,14.731,14.681,14.706,706,0
2017-11-16,18:25:00,14.731,14.83,14.731,14.83,2856,0
2017-11-16,18:30:00,14.805,14.83,14.805,14.83,302,0
2017-11-16,18:35:00,14.83,14.83,14.78,14.78,2369,0
2017-11-16,18:40:00,14.805,14.83,14.805,14.83,403,0
2017-11-16,18:45:00,14.78,14.805,14.731,14.78,3360,0
2017-11-16,18:50:00,14.731,14.83,14.731,14.83,302,0
2017-11-16,18:55:00,14.83,14.855,14.78,14.78,2891,0
2017-11-16,19:00:00,14.811,14.811,14.811,14.811,197,0
2017-11-16,19:05:00,14.83,14.879,14.78,14.78,2117,0
2017-11-16,19:10:00,14.83,14.83,14.78,14.83,504,0
2017-11-16,19:15:00,14.83,14.83,14.78,14.83,3119,0
2017-11-16,19:20:00,14.78,14.83,14.78,14.83,1109,0
2017-11-16,19:25:00,14.83,14.855,14.805,14.855,3225,0
2017-11-16,19:30:00,14.83,14.83,14.78,14.78,1604,0
2017-11-16,19:35:00,14.83,14.83,14.83,14.83,302,0
2017-11-16,19:40:00,14.83,14.83,14.83,14.83,101,0
2017-11-16,19:45:00,14.78,14.83,14.78,14.83,403,0
2017-11-16,19:50:00,14.83,14.83,14.83,14.83,202,0
2017-11-16,19:55:00,14.83,14.855,14.83,14.83,2379,0
2017-11-16,20:05:00,14.83,14.879,14.83,14.83,2520,0
2017-11-16,20:10:00,14.83,14.83,14.78,14.78,4081,0
2017-11-16,20:15:00,14.731,14.731,14.731,14.731,101,0
2017-11-16,20:20:00,14.755,14.755,14.731,14.755,504,0
2017-11-16,20:25:00,14.731,14.731,14.731,14.731,101,0
2017-11-16,20:35:00,14.755,14.755,14.755,14.755,202,0
2017-11-16,20:40:00,14.731,14.78,14.731,14.731,806,0
2017-11-16,20:45:00,14.755,14.78,14.755,14.755,302,0
2017-11-16,20:50:00,14.731,14.757,14.731,14.755,2016,0
2017-11-16,20:55:00,14.78,14.78,14.731,14.731,302,0
2017-11-16,21:00:00,14.755,14.755,14.755,14.755,101,0
2017-11-16,21:05:00,14.755,14.755,14.755,14.755,202,0
2017-11-16,21:10:00,14.755,14.78,14.731,14.755,907,0
2017-11-16,21:15:00,14.731,14.83,14.731,14.731,3842,0
2017-11-16,21:20:00,14.731,14.78,14.731,14.78,403,0
2017-11-16,21:25:00,14.755,14.78,14.755,14.78,302,0
2017-11-16,21:30:00,14.755,14.83,14.755,14.805,4776,0
2017-11-16,21:35:00,14.805,14.805,14.78,14.805,302,0
2017-11-16,21:40:00,14.78,14.805,14.78,14.78,504,0
2017-11-16,21:45:00,14.78,14.83,14.78,14.78,990,0
2017-11-16,21:50:00,14.78,14.83,14.78,14.78,1210,0
2017-11-16,21:55:00,14.83,14.83,14.78,14.805,3428,0
