Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-17,22:00:00,0.2053,0.2053,0.2053,0.2053,1000,0
2015-08-21,17:30:00,0.2053,0.2053,0.18,0.18,3500,0
2015-08-21,20:55:00,0.18,0.18,0.18,0.18,200,0
2015-08-25,19:35:00,0.14,0.14,0.14,0.14,2000,0
2015-08-25,21:15:00,0.14,0.14,0.14,0.14,450,0
2015-08-27,15:35:00,0.14,0.14,0.14,0.14,10000,0
2015-08-27,15:45:00,0.13,0.13,0.13,0.13,1000,0
2015-08-27,15:55:00,0.13,0.13,0.13,0.13,100,0
2015-08-27,16:05:00,0.14,0.14,0.14,0.14,200,0
2015-08-27,16:25:00,0.12,0.12,0.12,0.12,400,0
2015-08-27,16:30:00,0.11,0.11,0.11,0.11,15800,0
2015-08-27,16:35:00,0.13,0.13,0.13,0.13,1600,0
2015-08-27,16:50:00,0.12,0.12,0.112,0.112,6300,0
2015-08-27,16:55:00,0.11,0.11,0.11,0.11,9900,0
2015-08-27,17:20:00,0.11,0.11,0.11,0.11,100,0
2015-08-27,17:35:00,0.13,0.13,0.13,0.13,100,0
2015-08-27,17:40:00,0.13,0.13,0.13,0.13,24900,0
2015-08-27,17:50:00,0.13,0.13,0.13,0.13,25000,0
2015-08-27,18:05:00,0.13,0.13,0.13,0.13,12677,0
2015-08-27,20:25:00,0.14,0.14,0.14,0.14,1800,0
2015-08-27,20:40:00,0.14,0.14,0.14,0.14,2000,0
2015-09-04,19:25:00,0.18,0.18,0.18,0.18,100,0
2015-09-09,18:50:00,0.14,0.14,0.135,0.135,1000,0
2015-09-10,21:50:00,0.18,0.18,0.18,0.18,4610,0
2015-09-28,19:30:00,0.1416,0.1416,0.1416,0.1416,150,0
2015-10-02,19:55:00,0.13,0.13,0.13,0.13,600,0
2015-10-05,16:05:00,0.149,0.149,0.149,0.149,1000,0
2015-10-05,16:25:00,0.169,0.169,0.169,0.169,200,0
2015-10-05,22:00:00,0.169,0.169,0.169,0.169,100,0
2015-10-07,15:55:00,0.18,0.18,0.18,0.18,100,0
2015-10-08,21:40:00,0.2339,0.25,0.2339,0.25,1275,0
2015-10-08,21:45:00,0.234,0.234,0.234,0.234,1000,0
2015-10-08,22:00:00,0.27,0.27,0.27,0.27,100,0
2015-10-12,15:35:00,0.31,0.31,0.29,0.29,9000,0
2015-10-12,18:20:00,0.27,0.27,0.23,0.23,400,0
2015-10-12,18:40:00,0.2244,0.2244,0.2244,0.2244,200,0
2015-10-15,22:00:00,0.23,0.23,0.23,0.23,100,0
2015-10-16,22:00:00,0.23,0.23,0.23,0.23,100,0
2015-10-19,18:45:00,0.23,0.23,0.23,0.23,1000,0
2015-10-19,22:00:00,0.23,0.23,0.23,0.23,100,0
2015-10-20,19:05:00,0.21,0.21,0.21,0.21,100,0
2015-11-02,19:35:00,0.212,0.212,0.211,0.211,1300,0
2015-11-02,22:00:00,0.211,0.211,0.211,0.211,700,0
2015-11-03,15:40:00,0.211,0.211,0.211,0.211,1000,0
2015-11-06,21:50:00,0.25,0.25,0.25,0.25,1000,0
2015-11-06,22:00:00,0.25,0.25,0.25,0.25,1000,0
2015-11-12,19:15:00,0.21,0.21,0.21,0.21,300,0
2015-12-10,22:00:00,0.168,0.168,0.168,0.168,100,0
2015-12-15,16:10:00,0.19,0.19,0.19,0.19,6900,0
2015-12-15,16:15:00,0.19,0.19,0.19,0.19,3100,0
2015-12-15,16:45:00,0.19,0.19,0.19,0.19,800,0
2015-12-15,16:55:00,0.18,0.18,0.18,0.18,100,0
2015-12-15,17:15:00,0.19,0.19,0.19,0.19,2000,0
