Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-13,15:35:00,10.16,10.16,10.16,10.16,270,0
2017-11-13,15:45:00,10.13,10.13,10.13,10.13,200,0
2017-11-13,15:50:00,10.11,10.11,10.11,10.11,100,0
2017-11-13,15:55:00,10.11,10.11,10.1,10.1001,400,0
2017-11-13,16:00:00,10.09,10.09,10.09,10.09,200,0
2017-11-13,16:05:00,10.04,10.04,10,10,1700,0
2017-11-13,16:10:00,10.0001,10.07,10.0001,10.07,300,0
2017-11-13,16:15:00,10.12,10.12,10.11,10.11,300,0
2017-11-13,16:20:00,10.16,10.16,10.15,10.15,500,0
2017-11-13,16:30:00,10.12,10.12,10.11,10.11,200,0
2017-11-13,16:45:00,10.1,10.11,10.1,10.11,300,0
2017-11-13,16:55:00,10.11,10.12,10.08,10.08,6343,0
2017-11-13,17:00:00,10.08,10.12,10.08,10.12,400,0
2017-11-13,17:05:00,10.09,10.12,10.09,10.12,500,0
2017-11-13,17:15:00,10.12,10.12,10.12,10.12,200,0
2017-11-13,17:20:00,10.12,10.125,10.12,10.125,200,0
2017-11-13,17:25:00,10.125,10.125,10.125,10.125,100,0
2017-11-13,17:35:00,10.14,10.14,10.12,10.12,400,0
2017-11-13,17:40:00,10.12,10.12,10.12,10.12,561,0
2017-11-13,17:50:00,10.11,10.11,10.11,10.11,200,0
2017-11-13,18:05:00,10.1464,10.1464,10.1464,10.1464,155,0
2017-11-13,18:30:00,10.14,10.14,10.12,10.14,400,0
2017-11-13,18:35:00,10.15,10.15,10.15,10.15,200,0
2017-11-13,18:40:00,10.15,10.15,10.13,10.13,200,0
2017-11-13,18:50:00,10.13,10.13,10.13,10.13,100,0
2017-11-13,19:15:00,10.11,10.11,10.11,10.11,100,0
2017-11-13,19:25:00,10.11,10.115,10.1,10.1,1405,0
2017-11-13,19:30:00,10.12,10.12,9.99,10.04,7500,0
2017-11-13,19:40:00,10.01,10.01,9.96,10.01,300,0
2017-11-13,19:45:00,9.98,9.98,9.97,9.97,200,0
2017-11-13,20:05:00,9.98,9.985,9.96,9.96,1687,0
2017-11-13,20:10:00,9.96,9.99,9.96,9.99,200,0
2017-11-13,20:30:00,9.96,9.96,9.96,9.96,200,0
2017-11-13,20:45:00,9.95,9.95,9.81,9.81,5685,0
2017-11-13,20:55:00,9.88,9.88,9.84,9.84,200,0
2017-11-13,21:05:00,9.82,9.9,9.82,9.87,2300,0
2017-11-13,21:10:00,9.84,9.9,9.84,9.88,1500,0
2017-11-13,21:15:00,9.87,9.88,9.87,9.87,400,0
2017-11-13,21:25:00,9.87,9.87,9.87,9.87,100,0
2017-11-13,21:30:00,9.87,9.88,9.83,9.88,700,0
2017-11-13,21:35:00,9.9,9.9,9.9,9.9,1933,0
2017-11-13,21:40:00,9.93,9.93,9.93,9.93,100,0
2017-11-13,21:45:00,9.96,9.97,9.96,9.97,700,0
2017-11-13,21:50:00,9.97,9.98,9.91,9.92,3043,0
2017-11-13,21:55:00,9.9,9.9,9.86,9.885,1402,0
2017-11-13,22:00:00,9.86,9.96,9.86,9.91,5531,0
2017-11-14,15:35:00,9.88,9.88,9.88,9.88,2309,0
2017-11-14,15:40:00,9.84,9.9,9.83,9.9,750,0
2017-11-14,15:45:00,9.9,9.96,9.9,9.96,1650,0
2017-11-14,15:55:00,10.11,10.11,10.05,10.05,300,0
2017-11-14,16:00:00,10,10,10,10,100,0
2017-11-14,16:05:00,10.03,10.03,10.01,10.01,1000,0
2017-11-14,16:10:00,10.09,10.09,10.09,10.09,400,0
2017-11-14,16:15:00,10.07,10.07,10.01,10.02,600,0
2017-11-14,16:25:00,10.031,10.04,10.031,10.0311,600,0
2017-11-14,16:35:00,10.06,10.06,9.94,9.94,1300,0
2017-11-14,16:40:00,9.92,9.92,9.85,9.9,2108,0
2017-11-14,16:45:00,9.91,9.96,9.91,9.95,400,0
2017-11-14,16:50:00,9.92,9.92,9.92,9.92,200,0
2017-11-14,17:15:00,9.92,9.9299,9.92,9.92,900,0
2017-11-14,17:55:00,9.97,9.97,9.97,9.97,200,0
2017-11-14,18:05:00,9.95,9.95,9.95,9.95,100,0
2017-11-14,18:10:00,9.95,9.95,9.94,9.94,200,0
2017-11-14,18:15:00,9.94,9.94,9.94,9.94,300,0
2017-11-14,18:25:00,9.95,9.95,9.91,9.91,1700,0
2017-11-14,18:35:00,9.91,9.91,9.91,9.91,100,0
2017-11-14,18:40:00,9.92,9.92,9.92,9.92,100,0
2017-11-14,18:45:00,9.93,9.93,9.93,9.93,200,0
2017-11-14,18:50:00,9.939,9.94,9.939,9.94,408,0
2017-11-14,18:55:00,9.95,9.95,9.95,9.95,100,0
2017-11-14,19:10:00,9.95,9.98,9.95,9.98,1125,0
2017-11-14,19:20:00,9.96,9.96,9.95,9.95,200,0
2017-11-14,19:25:00,9.96,9.96,9.96,9.96,100,0
2017-11-14,19:45:00,10,10,9.98,9.98,200,0
2017-11-14,19:55:00,10.01,10.01,10.01,10.01,100,0
2017-11-14,20:00:00,9.97,9.97,9.92,9.97,2027,0
2017-11-14,20:20:00,9.99,10.09,9.9899,10.045,13588,0
2017-11-14,20:25:00,10.08,10.08,10.08,10.08,100,0
2017-11-14,20:30:00,10.06,10.06,10.06,10.06,100,0
2017-11-14,20:35:00,10.0501,10.0501,10.0501,10.0501,190,0
2017-11-14,20:40:00,10.08,10.18,10.08,10.11,11657,0
2017-11-14,20:50:00,10.12,10.12,10.12,10.12,400,0
2017-11-14,20:55:00,10.15,10.15,10.15,10.15,500,0
2017-11-14,21:00:00,10.18,10.22,10.18,10.2,1620,0
2017-11-14,21:15:00,10.24,10.289,10.2357,10.289,1851,0
