Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-11,16:40:00,1262.01,1262.01,1262,1262,693,0
2017-05-12,16:40:00,1265,1265,1265,1265,451,0
2017-05-12,16:55:00,1267,1267,1267,1267,100,0
2017-05-12,17:00:00,1265.16,1265.16,1265,1265,297,0
2017-05-12,17:05:00,1265.01,1265.01,1265.01,1265.01,100,0
2017-05-12,17:10:00,1265,1265,1265,1265,234,0
2017-05-12,17:20:00,1264,1264,1264,1264,200,0
2017-05-12,17:40:00,1264.107,1266,1264.107,1266,200,0
2017-05-12,18:30:00,1264,1264,1264,1264,120,0
2017-05-12,18:45:00,1264.98,1264.98,1264.98,1264.98,100,0
2017-05-12,18:50:00,1264.99,1264.99,1264.99,1264.99,300,0
2017-05-12,19:50:00,1264.69,1264.69,1264.69,1264.69,271,0
2017-05-12,20:15:00,1265.9186,1265.9186,1265.9186,1265.9186,100,0
2017-05-12,20:55:00,1263,1263,1263,1263,5000,0
2017-05-12,22:00:00,1265.1,1265.1,1264.19,1264.19,300,0
2017-05-15,15:35:00,1263.57,1263.57,1263.57,1263.57,171,0
2017-05-15,16:00:00,1266,1266,1266,1266,243,0
2017-05-15,19:20:00,1267,1267,1267,1267,100,0
2017-05-15,22:00:00,1266.5,1266.5,1266.5,1266.5,185,0
2017-05-16,15:35:00,1265.16,1265.16,1265.16,1265.16,241,0
2017-05-16,16:25:00,1267,1267,1267,1267,100,0
2017-05-16,20:15:00,1265.5,1265.5,1265.5,1265.5,115,0
2017-05-16,20:55:00,1267,1267,1267,1267,300,0
2017-05-16,21:45:00,1269,1269,1269,1269,100,0
2017-05-16,21:50:00,1266.15,1266.7,1265.15,1266.5001,1100,0
2017-05-16,22:00:00,1267.5,1267.5,1267.2,1267.2,512,0
2017-05-17,16:10:00,1267,1267,1267,1267,100,0
2017-05-17,16:30:00,1267,1267,1267,1267,100,0
2017-05-17,17:45:00,1268,1268,1268,1268,100,0
2017-05-17,18:00:00,1267.99,1267.9995,1267.99,1267.9995,200,0
2017-05-17,19:10:00,1267.772,1267.772,1267.772,1267.772,200,0
2017-05-17,19:20:00,1268.99,1268.99,1267.5,1267.5,4100,0
2017-05-17,19:45:00,1268.58,1268.58,1268.58,1268.58,300,0
2017-05-17,20:10:00,1268,1268,1268,1268,198,0
2017-05-17,20:15:00,1269,1269,1269,1269,200,0
2017-05-17,20:20:00,1269,1269,1267,1268,800,0
2017-05-17,20:35:00,1267.45,1267.45,1267.45,1267.45,100,0
2017-05-17,21:05:00,1268.9,1268.9,1267.26,1267.26,200,0
2017-05-17,21:10:00,1268.01,1268.01,1268.01,1268.01,100,0
2017-05-17,21:25:00,1267.62,1267.62,1267.62,1267.62,100,0
2017-05-17,21:30:00,1267.66,1267.66,1267.66,1267.66,100,0
2017-05-17,21:45:00,1267.25,1267.25,1267.25,1267.25,100,0
2017-05-17,22:00:00,1268.9,1269.16,1268.9,1269.16,350,0
2017-05-18,15:40:00,1270,1270,1270,1270,500,0
2017-05-18,15:50:00,1265.51,1265.51,1265,1265,850,0
2017-05-18,15:55:00,1265.68,1272,1265.68,1267,1800,0
2017-05-18,18:25:00,1268.16,1268.16,1268.16,1268.16,100,0
2017-05-18,19:00:00,1269.98,1270,1269.98,1270,612,0
2017-05-18,19:55:00,1270.03,1271,1270,1271,25200,0
2017-05-18,21:20:00,1270.17,1270.36,1270.17,1270.36,200,0
2017-05-18,21:45:00,1270,1270,1270,1270,100,0
2017-05-18,22:00:00,1270,1270,1270,1270,200,0
2017-05-19,15:35:00,1269,1269,1269,1269,287,0
2017-05-19,16:45:00,1269,1269,1268.21,1268.21,500,0
2017-05-19,18:05:00,1272.025,1272.025,1272.025,1272.025,100,0
2017-05-19,18:50:00,1271,1271,1271,1271,482,0
2017-05-19,21:30:00,1271,1271,1271,1271,100,0
2017-05-19,21:50:00,1271,1271,1271,1271,100,0
2017-05-19,21:55:00,1270.01,1270.01,1270.01,1270.01,100,0
2017-05-22,16:40:00,1272.5,1272.5,1272.5,1272.5,100,0
2017-05-22,16:45:00,1270,1276.9002,1270,1276.9002,461,0
2017-05-22,16:50:00,1270,1270,1270,1270,200,0
2017-05-22,17:05:00,1270.5,1270.5,1270.5,1270.5,100,0
2017-05-22,17:10:00,1270.5,1270.5,1270.5,1270.5,100,0
2017-05-22,17:15:00,1271,1271,1271,1271,102,0
2017-05-22,17:30:00,1270.75,1270.75,1270.75,1270.75,300,0
2017-05-22,20:15:00,1274.99,1275,1274.99,1275,2600,0
2017-05-22,20:20:00,1274.99,1275,1274.87,1274.87,452,0
2017-05-22,20:30:00,1272.65,1272.65,1272.65,1272.65,100,0
2017-05-22,20:35:00,1275,1275,1275,1275,100,0
2017-05-22,20:40:00,1275.49,1275.77,1275.49,1275.77,321,0
2017-05-22,20:55:00,1275.05,1275.05,1275.05,1275.05,100,0
2017-05-22,21:15:00,1275.17,1275.17,1274,1274,1982,0
2017-05-22,21:20:00,1275,1275,1275,1275,100,0
2017-05-22,21:25:00,1275,1276,1275,1276,356,0
2017-05-23,21:00:00,1279.9301,1279.9301,1279.9301,1279.9301,100,0
2017-05-23,21:35:00,1272.01,1272.01,1272.01,1272.01,100,0
2017-05-23,21:55:00,1275.1,1275.1,1275.1,1275.1,300,0
2017-05-23,22:00:00,1275.1,1275.1,1275.1,1275.1,390,0
2017-05-24,18:40:00,1275,1275,1275,1275,103,0
2017-05-24,19:20:00,1275.7099,1275.7099,1275.7099,1275.7099,374,0
2017-05-24,19:25:00,1277.4472,1278.785,1276.1222,1277.46,400,0
2017-05-24,20:35:00,1277.2,1277.2,1277.2,1277.2,200,0
2017-05-24,20:40:00,1279.52,1279.52,1279.52,1279.52,200,0
2017-05-24,20:45:00,1277.2,1277.2,1277.2,1277.2,200,0
2017-05-24,21:55:00,1278.01,1278.01,1278,1278,339,0
2017-05-25,16:45:00,1278.75,1278.75,1278.75,1278.75,1800,0
2017-05-25,17:40:00,1280.47,1280.47,1277.141,1277.141,200,0
2017-05-25,19:40:00,1276.5217,1276.5217,1276.5217,1276.5217,100,0
2017-05-25,20:40:00,1277.84,1279.4,1277.84,1279.4,700,0
2017-05-25,21:35:00,1280,1280,1280,1280,120,0
2017-05-25,21:45:00,1280,1280,1279.2,1279.2,1330,0
2017-05-25,21:50:00,1279.1,1279.1,1279.1,1279.1,100,0
2017-05-25,22:00:00,1279.01,1279.01,1279,1279,200,0
2017-05-26,15:45:00,1263.47,1263.47,1263.47,1263.47,100,0
2017-05-26,15:50:00,1264.6248,1264.6248,1264.6248,1264.6248,150,0
2017-05-26,16:05:00,1265,1265,1265,1265,230,0
2017-05-26,16:50:00,1265,1265,1265,1265,100,0
2017-05-26,16:55:00,1265,1265,1265,1265,100,0
2017-05-26,17:15:00,1267,1267,1267,1267,247,0
2017-05-26,17:20:00,1267.1,1267.1,1267.1,1267.1,100,0
2017-05-26,17:35:00,1268.806,1268.806,1268.806,1268.806,630,0
2017-05-26,19:00:00,1267,1267,1267,1267,100,0
2017-05-26,22:00:00,1266,1266,1266,1266,113,0
2017-05-30,15:35:00,1265,1265,1265,1265,352,0
2017-05-30,15:40:00,1264.5,1264.5,1261,1261,2100,0
2017-05-30,15:45:00,1264.25,1264.25,1263,1263,513,0
2017-05-30,15:50:00,1261.2,1261.2,1260,1260,1161,0
2017-05-30,16:00:00,1260,1260,1260,1260,100,0
2017-05-30,16:10:00,1259,1259,1259,1259,400,0
2017-05-30,16:30:00,1261,1261,1260.88,1261,514,0
2017-05-30,16:40:00,1261,1261,1261,1261,1200,0
2017-05-30,17:30:00,1260,1260.5,1260,1260.5,2256,0
2017-05-30,18:45:00,1259.01,1259.01,1259,1259,300,0
2017-05-30,19:50:00,1261.9418,1261.9418,1261.9418,1261.9418,100,0
2017-05-30,20:35:00,1259.15,1259.15,1257.5,1259.02,1873,0
2017-05-30,21:00:00,1259,1259,1259,1259,100,0
2017-05-30,21:55:00,1259.97,1259.97,1259.97,1259.97,100,0
2017-05-30,22:00:00,1260,1260,1260,1260,221,0
2017-05-31,16:00:00,1264.5,1264.5,1263.265,1264.5,400,0
2017-05-31,16:25:00,1262.8807,1262.8807,1262.8807,1262.8807,200,0
2017-05-31,17:40:00,1265,1265,1265,1265,315,0
2017-05-31,18:50:00,1267.4391,1267.4391,1267.4391,1267.4391,100,0
2017-05-31,19:05:00,1266,1266,1265.99,1265.99,200,0
2017-06-01,16:00:00,1261.25,1261.25,1261.25,1261.25,3300,0
2017-06-01,17:45:00,1269.94,1269.94,1269.94,1269.94,1000,0
2017-06-01,18:00:00,1269.94,1269.94,1269.94,1269.94,100,0
2017-06-01,18:15:00,1264.405,1264.405,1264.405,1264.405,100,0
2017-06-01,19:30:00,1265.51,1266.06,1265.015,1265.09,900,0
2017-06-01,22:00:00,1265.81,1266.01,1265.81,1266.0005,300,0
2017-06-02,15:35:00,1267.5,1270,1267.5,1270,808,0
2017-06-02,15:45:00,1270.1515,1270.1515,1270.1515,1270.1515,150,0
2017-06-02,17:25:00,1268.75,1268.75,1268.75,1268.75,3000,0
2017-06-02,18:30:00,1273.39,1278.75,1273.39,1278.75,4743,0
2017-06-02,18:55:00,1273.02,1273.02,1271.14,1271.2,700,0
2017-06-02,19:05:00,1272.5,1272.5,1272.5,1272.5,100,0
2017-06-02,20:05:00,1276,1278,1276,1278,1376,0
2017-06-02,20:10:00,1272.7,1273.8,1271.7,1273.02,910,0
2017-06-02,20:55:00,1274.01,1274.01,1272.79,1272.79,200,0
2017-06-02,21:15:00,1273.01,1273.01,1273,1273,200,0
