Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-17,15:45:00,67.5,67.5,67.5,67.5,400,0
2017-10-17,15:55:00,67.89,68.045,67.88,67.95,400,0
2017-10-17,16:00:00,67.86,67.86,67.86,67.86,100,0
2017-10-17,16:05:00,68.06,68.1,68.06,68.1,399,0
2017-10-17,16:10:00,68.25,68.49,68.25,68.44,300,0
2017-10-17,16:15:00,68.83,68.83,68.83,68.83,100,0
2017-10-17,16:20:00,69.3,69.32,69.22,69.22,1480,0
2017-10-17,16:25:00,68.89,68.9,68.89,68.89,414,0
2017-10-17,16:30:00,68.6484,68.65,68.6484,68.65,680,0
2017-10-17,16:35:00,68.65,68.81,68.65,68.71,400,0
2017-10-17,16:40:00,68.69,68.69,68.69,68.69,200,0
2017-10-17,17:05:00,68.52,68.52,68.52,68.52,100,0
2017-10-17,17:10:00,68.52,68.92,68.52,68.92,1900,0
2017-10-17,17:15:00,68.85,68.85,68.83,68.83,500,0
2017-10-17,17:20:00,68.81,68.88,68.81,68.88,300,0
2017-10-17,17:25:00,68.79,68.79,68.73,68.73,465,0
2017-10-17,17:50:00,68.71,68.8,68.71,68.8,300,0
2017-10-17,18:30:00,68.62,68.62,68.62,68.62,100,0
2017-10-17,18:35:00,68.58,68.69,68.58,68.69,400,0
2017-10-17,19:15:00,68.6,68.63,68.6,68.63,300,0
2017-10-17,19:20:00,68.46,68.46,68.46,68.46,500,0
2017-10-17,19:50:00,68.33,68.33,68.3,68.3,400,0
2017-10-17,20:15:00,67.91,67.91,67.91,67.91,100,0
2017-10-17,20:30:00,68.22,68.22,68.22,68.22,100,0
2017-10-17,20:40:00,68.05,68.05,68.05,68.05,200,0
2017-10-17,20:55:00,68,68,68,68,318,0
2017-10-17,21:45:00,68.19,68.19,68.19,68.19,100,0
2017-10-17,21:55:00,68.07,68.07,67.91,67.91,300,0
2017-10-17,22:00:00,67.88,68.03,67.85,67.86,3102,0
2017-10-18,15:35:00,67.92,67.98,67.92,67.975,530,0
2017-10-18,15:40:00,67.4633,68.34,67.4633,68.34,1400,0
2017-10-18,15:45:00,68.3,68.4,68.3,68.4,300,0
2017-10-18,15:50:00,68.48,68.7,68.48,68.7,700,0
2017-10-18,15:55:00,68.6,68.6,68.6,68.6,100,0
2017-10-18,16:00:00,68.52,68.62,68.42,68.62,600,0
2017-10-18,16:15:00,68.64,68.64,68.64,68.64,100,0
2017-10-18,16:20:00,68.64,68.64,68.64,68.64,100,0
2017-10-18,16:25:00,68.55,68.55,68.55,68.55,100,0
2017-10-18,16:45:00,68.64,68.705,68.6,68.6,2700,0
2017-10-18,16:50:00,68.6,68.75,68.57,68.68,2800,0
2017-10-18,16:55:00,68.8,68.9,68.8,68.9,600,0
2017-10-18,17:05:00,69,69,69,69,100,0
2017-10-18,17:15:00,68.955,69.02,68.955,69.02,413,0
2017-10-18,17:20:00,69.02,69.11,68.96,69.11,400,0
2017-10-18,17:25:00,68.925,68.925,68.7952,68.7952,470,0
2017-10-18,18:05:00,69.16,69.19,68.985,68.985,2769,0
2017-10-18,18:10:00,69.07,69.07,69.015,69.015,300,0
2017-10-18,18:15:00,68.97,69.09,68.9601,68.99,1700,0
2017-10-18,18:20:00,68.91,68.91,68.91,68.91,100,0
2017-10-18,18:30:00,68.9,68.9,68.89,68.89,400,0
2017-10-18,18:35:00,68.99,68.99,68.98,68.98,300,0
2017-10-18,18:40:00,68.99,68.99,68.99,68.99,100,0
2017-10-18,18:45:00,69.08,69.08,68.8,68.8,300,0
2017-10-18,18:50:00,69,69,68.8,68.8,600,0
2017-10-18,19:00:00,68.72,68.725,68.72,68.725,500,0
