Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-28,15:35:00,10.18,10.18,10.18,10.18,509,0
2017-07-28,15:40:00,10.05,10.05,10.05,10.05,300,0
2017-07-28,15:50:00,10.05,10.05,10.05,10.05,5000,0
2017-07-28,15:55:00,10.05,10.05,10.05,10.05,4700,0
2017-07-28,16:20:00,10.06,10.06,10.06,10.06,1000,0
2017-07-28,16:25:00,10.06,10.06,10.06,10.06,9000,0
2017-07-28,16:30:00,10.05,10.07,10.05,10.07,12000,0
2017-07-28,16:35:00,10.05,10.07,10.05,10.05,20300,0
2017-07-28,17:10:00,10.08,10.08,10.08,10.08,3900,0
2017-07-28,17:50:00,10.065,10.065,10.065,10.065,100,0
2017-07-28,18:25:00,10.05,10.08,10.05,10.08,10100,0
2017-07-28,21:30:00,10.05,10.05,10.05,10.05,9910,0
2017-07-28,21:35:00,10.0602,10.0602,10.0602,10.0602,1000,0
2017-07-28,21:45:00,10.05,10.05,10.05,10.05,13996,0
2017-07-28,21:55:00,10.07,10.07,10.0658,10.0658,2400,0
2017-07-28,22:00:00,10.07,10.07,10.07,10.07,1500,0
2017-07-31,17:00:00,10.07,10.07,10.07,10.07,100,0
2017-07-31,17:10:00,10.07,10.07,10.06,10.06,300,0
2017-07-31,17:15:00,10.0507,10.0507,10.05,10.0507,2000,0
2017-07-31,17:50:00,10.05,10.05,10.05,10.05,9500,0
2017-07-31,17:55:00,10.05,10.05,10.05,10.05,1000,0
2017-07-31,18:00:00,10.05,10.05,10.0478,10.05,13500,0
2017-07-31,18:05:00,10.05,10.05,10.05,10.05,1700,0
2017-07-31,18:10:00,10.05,10.05,10.05,10.05,400,0
2017-07-31,18:20:00,10.05,10.06,10.05,10.06,12400,0
2017-07-31,18:30:00,10.05,10.06,10.05,10.05,8700,0
2017-07-31,20:20:00,10.05,10.05,10.05,10.05,4000,0
2017-07-31,20:25:00,10.041,10.05,10.041,10.0429,1100,0
2017-07-31,21:25:00,10.05,10.05,10.05,10.05,10200,0
2017-07-31,22:00:00,10.0499,10.0499,10.0499,10.0499,3000,0
2017-08-01,15:35:00,10.06,10.06,10.05,10.05,8501,0
